loc,t,aDotUA,bDotUA,gDotUA,aUA,bUA,gUA,xUA,yUA,zUA,aDotE,bDotE,gDotE,aE,bE,gE,xE,yE,zE,aDotSH,bDotSH,gDotSH,aSH,bSH,gSH,xSH,ySH,zSH,aDotUB,bDotUB,gDotUB,aUB,bUB,gUB,xUB,yUB,zUB,xHand,yHand,zHand,aHand,bHand,gHand
3,0,0.3447702,-1.192686,-0.1831637,4.70754,-4.573513,3.079762,0.7732584,1.142067,0.412396,0.1170882,-0.03288233,-1.186247,4.659668,-4.456172,1.69715,0.6469583,1.036507,0.3859472,-0.3114455,0.1753042,0.003901079,-0.7485656,1.419726,0.3039117,0.7619361,1.348265,0.3581741,-0.1076969,0.08553514,-0.03284017,-1.021221,0.09500547,0.04139431,0.8391891,1.402716,0.1897719,0.4835833,1.023818,0.2920886,305.6146,192.9498,34.18334
3,0.01111111,0.3565219,-1.163531,-0.1741032,4.708448,-4.561876,3.078578,0.7718524,1.142163,0.4126098,0.131132,-0.03557128,-1.141139,4.660157,-4.444237,1.692691,0.6459818,1.036272,0.384876,-0.3121991,0.1772885,0.032681,-0.7468878,1.421757,0.3058347,0.7615779,1.348423,0.3579326,-0.120591,0.0920826,-0.05296602,-1.022329,0.09691829,0.04221776,0.8393638,1.402734,0.1897674,0.4837747,1.02279,0.2898202,305.8044,192.8954,33.72944
3,0.02222222,0.3518893,-1.102778,-0.171354,4.709712,-4.55064,3.07804,0.7705475,1.14236,0.4129004,0.1266569,-0.02627987,-1.106687,4.661089,-4.433807,1.688916,0.6450636,1.036025,0.3838305,-0.3015611,0.1602235,0.03355134,-0.7461144,1.42326,0.3077642,0.7611691,1.348568,0.3577695,-0.1333162,0.1048643,-0.04749716,-1.022634,0.09878969,0.04315013,0.8393935,1.402763,0.1898062,0.4840862,1.022274,0.289084,306.121,192.8153,33.24057
3,0.03333334,0.341561,-1.055252,-0.1773396,4.711039,-4.539742,3.077685,0.7692642,1.142568,0.413223,0.1188234,-0.01712501,-1.07451,4.662337,-4.423321,1.685188,0.6440051,1.03579,0.3829226,-0.2975553,0.1582,0.01005638,-0.7463173,1.426009,0.308998,0.7605419,1.348695,0.3575749,-0.1449055,0.1133259,-0.02820783,-1.022177,0.1008367,0.04410088,0.8394406,1.402695,0.1896908,0.4840917,1.02162,0.2873608,306.4339,192.6482,32.86827
3,0.04444445,0.3295729,-1.022467,-0.1752818,-1.570467,-4.530774,3.078105,0.7679379,1.142704,0.4135003,0.09843246,0.004983783,-1.009294,4.663296,-4.41302,1.681717,0.6431075,1.035636,0.382091,-0.2944975,0.1721165,-0.0048218,-0.7460867,1.429556,0.3096119,0.7600533,1.348786,0.3574181,-0.1500988,0.1270942,-0.01106237,-1.021667,0.102995,0.04475283,0.8394378,1.402702,0.1897163,0.484211,1.02085,0.2855625,306.7334,192.3577,32.66098
3,0.05555556,0.3011857,-0.9707165,-0.1812436,-1.568978,-4.521389,3.077862,0.7667913,1.142933,0.4137564,0.09560463,0.01631719,-0.964451,4.664715,-4.403733,1.679084,0.6422001,1.035411,0.3812766,-0.2913547,0.1795995,-0.01120775,-0.7456664,1.432829,0.3103094,0.7597172,1.348939,0.3572643,-0.1554167,0.1313583,-0.009949554,-1.021808,0.1048214,0.04577468,0.8395005,1.402711,0.1897545,0.4841702,1.02091,0.285207,307.0839,191.9541,32.58929
3,0.06666667,0.2664245,-0.9246032,-0.1839289,-1.567349,-4.511889,3.077407,0.7655793,1.143113,0.4140275,0.09587169,0.02587587,-0.935526,4.66613,-4.394861,1.677001,0.6414135,1.03535,0.3806245,-0.2892508,0.1923989,-0.01543945,-0.7452047,1.436571,0.3107134,0.7592425,1.349054,0.3570962,-0.1565,0.1377794,-0.01523645,-1.022106,0.106881,0.04648335,0.839536,1.40272,0.1898186,0.48428,1.020542,0.2838443,307.5334,191.3298,32.81712
3,0.07777778,0.2330379,-0.8790188,-0.1842184,-1.565802,-4.5027,3.076646,0.7642978,1.14336,0.4142869,0.09979531,0.03206396,-0.9016143,4.667458,-4.386175,1.675092,0.64048,1.035272,0.3799441,-0.2785067,0.1966087,-0.00807659,-0.7443376,1.43977,0.3110498,0.7587017,1.349257,0.3568971,-0.1586328,0.1463156,-0.01729986,-1.022146,0.1091016,0.04728283,0.8394425,1.402645,0.1898768,0.4843036,1.02038,0.2829054,307.9465,190.7839,32.93363
3,0.08888889,0.2108184,-0.8502141,-0.180108,-1.564112,-4.494612,3.076188,0.7631628,1.143497,0.4144025,0.09872322,0.04242128,-0.8599159,4.66861,-4.377692,1.673268,0.6397259,1.035271,0.379324,-0.2743006,0.1976931,-0.01344417,-0.7440163,1.443034,0.3115345,0.7582467,1.349359,0.356729,-0.1564656,0.1516025,-0.01195664,-1.021981,0.1111048,0.04797125,0.8394082,1.402662,0.1899343,0.4844157,1.020213,0.2816527,308.3827,190.13,33.24475
3,0.1,0.1733184,-0.8068122,-0.1908805,-1.56258,-4.486533,3.075671,0.7621071,1.143693,0.4146273,0.09698202,0.04653221,-0.8314538,4.670499,-4.370052,1.672273,0.6389742,1.03538,0.3788793,-0.2636757,0.1955582,-0.01569898,-0.7436345,1.446083,0.3118506,0.7576247,1.349506,0.3565657,-0.1575284,0.1558714,-0.01299333,-1.022063,0.1132733,0.04859364,0.8394147,1.40266,0.18997,0.4844434,1.020185,0.2808014,308.7747,189.5378,33.50216
3,0.1111111,0.1558592,-0.7761655,-0.1862461,-1.561062,-4.479212,3.075164,0.761171,1.143995,0.4148538,0.098342,0.05161387,-0.7909922,4.671812,-4.362464,1.670741,0.6382983,1.035408,0.3780696,-0.2584276,0.189189,-0.02217263,-0.7434608,1.44884,0.3125017,0.75718,1.349581,0.3563936,-0.1543553,0.1537506,-0.01621945,-1.022284,0.1151696,0.049179,0.8393574,1.402655,0.1900432,0.4845366,1.02045,0.2800385,308.9729,188.9984,33.75409
3,0.1222222,0.1348597,-0.7345031,-0.18096,-1.559762,-4.472669,3.074526,0.7602847,1.144201,0.4150279,0.09765175,0.05189437,-0.7445332,4.67307,-4.355837,1.66982,0.6377162,1.035501,0.377558,-0.2497742,0.1795277,-0.009529822,-0.7426848,1.451102,0.3131987,0.7567827,1.349582,0.3562751,-0.1511595,0.1483989,-0.01306694,-1.022239,0.1168555,0.04992069,0.8392341,1.402671,0.1900141,0.4846054,1.020518,0.2789809,308.9757,188.6375,33.82663
