loc,t,aDotUA,bDotUA,gDotUA,aUA,bUA,gUA,xUA,yUA,zUA,aDotE,bDotE,gDotE,aE,bE,gE,xE,yE,zE,aDotSH,bDotSH,gDotSH,aSH,bSH,gSH,xSH,ySH,zSH,aDotUB,bDotUB,gDotUB,aUB,bUB,gUB,xUB,yUB,zUB,xHand,yHand,zHand,aHand,bHand,gHand
2,0,-0.5117093,-1.477446,-0.261235,-1.261322,-4.197692,3.010602,0.7449378,1.238274,0.4643798,-0.1599169,0.4358542,-1.443669,-1.343556,-4.077203,1.302598,0.6301292,1.09997,0.4410412,-0.1442528,0.09005894,0.03884682,-0.5651036,-4.06451,-0.3274682,0.7597036,1.429383,0.3577542,0.0900536,-0.1056554,-0.0527452,-0.8273739,0.04592581,0.01637631,0.866199,1.503877,0.1631825,0.5107529,1.002427,0.2822713,290.2812,252.9601,345.8624
2,0.01111111,-0.4842755,-1.453496,-0.253446,-1.26077,-4.181471,3.009845,0.743165,1.238381,0.463896,-0.1825536,0.4291768,-1.419114,-1.343071,-4.060683,1.302098,0.6288283,1.099989,0.4389288,-0.1837666,0.08389807,0.02842186,-0.5652953,-4.063152,-0.3251794,0.7596258,1.429338,0.3576825,0.0877031,-0.08222321,-0.07297572,-0.8289201,0.04594019,0.01545725,0.8663808,1.503785,0.163079,0.5123314,1.002481,0.2777443,290.2569,250.3225,346.5064
2,0.02222222,-0.4612803,-1.434384,-0.2418743,-1.260272,-4.166279,3.009403,0.7414064,1.238507,0.4633055,-0.201985,0.4173098,-1.384044,-1.342764,-4.044684,1.301497,0.6275921,1.100148,0.4369411,-0.2029177,0.08610064,0.02962616,-0.5652165,-4.061269,-0.3240622,0.7595787,1.429294,0.3576212,0.07372981,-0.05986886,-0.08350556,-0.830168,0.04613088,0.01495338,0.8665283,1.503753,0.1632085,0.5138993,1.002565,0.2738717,290.1199,248.0327,347.0375
2,0.03333334,-0.4344772,-1.391027,-0.2207327,-1.260143,-4.152054,3.009235,0.7397127,1.2385,0.4627295,-0.2193799,0.3984257,-1.340875,-1.342975,-4.030176,1.300891,0.6263727,1.100097,0.4348791,-0.2124284,0.1021155,0.03083966,-0.5654061,-4.058009,-0.3241195,0.7594738,1.429248,0.3575311,0.06628538,-0.05241901,-0.08130649,-0.8310032,0.04572408,0.01476137,0.8667113,1.503706,0.1632125,0.5152193,1.002522,0.2700674,289.958,246.085,347.4265
2,0.04444445,-0.4130951,-1.32786,-0.1997846,-1.260406,-4.137864,3.008729,0.7380357,1.238581,0.4622393,-0.2275305,0.376964,-1.305968,-1.343148,-4.017031,1.30086,0.6251833,1.100176,0.4330182,-0.2145389,0.1160185,0.0224075,-0.5659782,-4.054884,-0.3246268,0.7592947,1.429246,0.3574281,0.05463623,-0.04284184,-0.07267393,-0.8314229,0.04545537,0.0147414,0.8668319,1.503729,0.1632993,0.5166623,1.002851,0.2664611,289.8531,244.2045,347.7299
2,0.05555556,-0.393607,-1.251145,-0.1709875,-1.26073,-4.125846,3.009428,0.7365304,1.238543,0.4616141,-0.247299,0.3498013,-1.241207,-1.343687,-4.005311,1.301032,0.6240418,1.100152,0.4311068,-0.2230193,0.1256428,0.02251462,-0.566294,-4.051692,-0.3245581,0.7591672,1.429262,0.3573494,0.03977803,-0.03752907,-0.06614199,-0.8319156,0.04514324,0.01504579,0.8670131,1.503691,0.1633534,0.517735,1.002835,0.2631646,289.7835,242.9544,347.7546
2,0.06666667,-0.3735694,-1.168092,-0.1522717,-1.260778,-4.114908,3.010558,0.7350724,1.238523,0.4610105,-0.2679962,0.3254378,-1.157918,-1.343732,-3.994313,1.301238,0.62295,1.100175,0.4291403,-0.2334597,0.1394227,0.04503356,-0.5656288,-4.047167,-0.3254745,0.7590669,1.429305,0.3571949,0.02056055,-0.03116307,-0.06915404,-0.8327742,0.0448507,0.01571212,0.8672745,1.50361,0.1633258,0.5189342,1.003223,0.2607319,289.8006,242.2388,347.3374
2,0.07777778,-0.3627883,-1.079197,-0.1359114,-1.26111,-4.105297,3.011566,0.7336223,1.238506,0.4604089,-0.2728841,0.294332,-1.068906,-1.343831,-3.98439,1.301993,0.6218202,1.100239,0.4274318,-0.2344382,0.1564641,0.04619163,-0.565901,-4.04286,-0.3265645,0.7589651,1.429304,0.3571131,-0.0008213446,-0.01627417,-0.07534591,-0.8338134,0.04527733,0.01613769,0.8675125,1.503551,0.1634221,0.519727,1.003134,0.257719,289.8862,242.0427,346.5295
2,0.08888889,-0.3552445,-1.014995,-0.1226259,-1.261535,-4.095097,3.012206,0.7321212,1.238403,0.4598143,-0.2735543,0.2723137,-1.014203,-1.344029,-3.97456,1.302787,0.6207474,1.100157,0.425452,-0.2334101,0.1479343,0.04720315,-0.5658829,-4.040102,-0.32623,0.7587945,1.429343,0.3570757,-0.01050717,-0.006703372,-0.08377565,-0.834974,0.04557374,0.01645594,0.867696,1.503356,0.1635053,0.5204321,1.003909,0.2560422,289.9877,242.1646,345.6376
2,0.1,-0.3495891,-0.9229584,-0.1021369,-1.261835,-4.087408,3.013279,0.7307287,1.238348,0.4593189,-0.2720293,0.2468951,-0.920197,-1.344538,-3.966792,1.304184,0.6195902,1.100278,0.4240675,-0.226015,0.09877059,0.07032785,-0.5641816,-4.040234,-0.323846,0.7586102,1.429393,0.3570914,-0.01701522,0.008205021,-0.09436006,-0.836183,0.04651237,0.01617231,0.8678168,1.503258,0.1637037,0.5208653,1.004202,0.2535899,290.077,242.3614,344.9053
2,0.1111111,-0.338034,-0.8222805,-0.08618357,-1.262232,-4.080899,3.014854,0.7295076,1.238251,0.4588537,-0.2721958,0.2182247,-0.8317505,-1.344646,-3.960525,1.305718,0.6185235,1.100384,0.4228044,-0.2091085,0.06032063,0.07427664,-0.5629763,-4.040762,-0.3216292,0.7583693,1.429379,0.3571107,-0.0277485,0.02311222,-0.1017231,-0.8376195,0.04776819,0.01593183,0.8679993,1.503301,0.1637571,0.5211709,1.004596,0.2513131,290.1046,242.7244,343.9592
2,0.1222222,-0.3331072,-0.7434281,-0.06729649,-1.263023,-4.075549,3.016644,0.7283818,1.238098,0.4584396,-0.2721713,0.180496,-0.7291588,-1.345115,-3.954323,1.307613,0.6173098,1.100764,0.4219987,-0.1985655,0.05182068,0.06245007,-0.5628245,-4.039666,-0.320709,0.7579144,1.429399,0.3570623,-0.05330415,0.05505045,-0.09722085,-0.8383865,0.05020285,0.01572144,0.8681318,1.503337,0.1639464,0.5210319,1.005428,0.2501634,290.0129,243.4494,342.9571
2,0.1333333,-0.3227783,-0.5844073,-0.03009634,-1.263421,-4.072951,3.019332,0.7274115,1.238079,0.4581411,-0.2773401,0.1485234,-0.6062887,-1.345856,-3.953135,1.310626,0.6162664,1.1011,0.4213758,-0.1845984,0.06128545,0.07412782,-0.5619904,-4.037151,-0.3212683,0.7575465,1.429459,0.3571048,-0.071452,0.07207505,-0.09918446,-0.8395338,0.05210821,0.01584554,0.8682629,1.50329,0.1641445,0.5205055,1.006162,0.2488847,289.912,244.0603,342.3307
2,0.1444445,-0.3202704,-0.5060745,-0.02907457,-1.263294,-4.069633,3.021898,0.7262295,1.238216,0.4578116,-0.2808044,0.1352877,-0.5156469,-1.345754,-3.94942,1.312981,0.614979,1.101778,0.4211771,-0.1598013,0.08338873,0.1049762,-0.5604377,-4.032599,-0.3240793,0.7571095,1.429567,0.3571544,-0.07792947,0.08163513,-0.1076415,-0.8409219,0.05335816,0.01597044,0.8683163,1.503249,0.1643701,0.5196434,1.007138,0.2479458,289.825,244.3825,341.9888
2,0.1555556,-0.3223831,-0.4297475,-0.02899373,-1.262717,-4.069235,3.025531,0.7253203,1.238336,0.4575951,-0.2912874,0.1274715,-0.4024201,-1.345286,-3.947041,1.315914,0.6137792,1.102235,0.4204824,-0.1374187,0.07151848,0.1143588,-0.5590247,-4.031078,-0.324561,0.7566971,1.429718,0.3571329,-0.09290978,0.09653142,-0.1128307,-0.8423302,0.05557564,0.0160799,0.8684111,1.50321,0.1646116,0.5184765,1.008047,0.2468523,289.699,244.6417,341.8116
2,0.1666667,-0.3289953,-0.2885312,-0.03776638,-1.261908,-4.069157,3.029216,0.724328,1.23847,0.4574637,-0.2972915,0.1215444,-0.2929464,-1.343807,-3.948196,1.320094,0.6123619,1.103011,0.4203258,-0.1449521,0.04916294,0.1174844,-0.5575988,-4.030599,-0.3231187,0.7562622,1.429859,0.3572004,-0.1079017,0.1114279,-0.1190889,-0.8439046,0.0579127,0.01625327,0.8686111,1.503181,0.164871,0.5169858,1.009429,0.2463688,289.5032,245.3237,341.369
2,0.1777778,-0.3279462,-0.1784605,-0.03318052,-1.260905,-4.070383,3.033385,0.7234086,1.238705,0.4573801,-0.3057899,0.1162935,-0.1913026,-1.343072,-3.949236,1.324023,0.6110234,1.103592,0.4197221,-0.1524979,0.03857677,0.1110859,-0.5566454,-4.02984,-0.3217447,0.7558807,1.429984,0.3572516,-0.1196299,0.1199352,-0.1189723,-0.8450572,0.06000728,0.01657951,0.8687739,1.502997,0.1651509,0.5156488,1.010912,0.2459032,289.3015,246.3628,340.4565
2,0.1888889,-0.331719,-0.08255622,-0.03426582,-1.259441,-4.072383,3.037404,0.7225481,1.238991,0.4573948,-0.3046963,0.1168878,-0.09597506,-1.341886,-3.951064,1.328299,0.6095019,1.104497,0.4197121,-0.1460928,0.002186239,0.1374845,-0.5540637,-4.030436,-0.3197362,0.7553626,1.430208,0.3573856,-0.1347852,0.1273675,-0.1433333,-0.8474445,0.06228268,0.01708604,0.8688706,1.502934,0.1654375,0.5136235,1.012814,0.2457078,289.0448,248.2667,339.011
2,0.2,-0.3493043,-0.02651978,-0.03595407,-1.257968,-4.074098,3.041267,0.7214938,1.239292,0.4573953,-0.3055414,0.1231848,-0.02936362,-1.340986,-3.95181,1.332888,0.6080636,1.105428,0.4193895,-0.1331768,-0.01187462,0.1671574,-0.551196,-4.029608,-0.3193908,0.7549015,1.43034,0.3575058,-0.1391695,0.1337527,-0.1560766,-0.8495239,0.06458165,0.01713371,0.8690022,1.50289,0.1656742,0.5113248,1.015101,0.2460751,288.8061,250.6069,337.2205
2,0.2111111,-0.4672409,0.05881264,-0.07717758,-1.256022,-4.076457,3.043316,0.7201437,1.239513,0.4575899,-0.2529047,0.129993,0.03983789,-1.337232,-3.954383,1.342518,0.606321,1.107031,0.4195559,-0.1160346,-0.01523541,0.1840723,-0.5485877,-4.028511,-0.3196142,0.7543669,1.430548,0.3575959,-0.1488959,0.1497173,-0.1687737,-0.8518291,0.06760062,0.0171417,0.8690126,1.502814,0.1660078,0.5087336,1.017592,0.2461634,288.5856,253.3862,335.1374
