loc,t,aDotUA,bDotUA,gDotUA,aUA,bUA,gUA,xUA,yUA,zUA,qE,qDotE,emgA,emgB,aDotSH,bDotSH,gDotSH,aSH,bSH,gSH,xSH,ySH,zSH,aDotUB,bDotUB,gDotUB,aUB,bUB,gUB,xUB,yUB,zUB,xHand,yHand,zHand,aHand,bHand,gHand,enable
1,0,0.1531769,-1.140371,-0.09593047,-1.458242,-4.117836,2.989586,0.6312702,1.181908,0.5168581,-1.672721,0.008901828,21.91,7.3,-0.4595791,0.5344462,0.001320434,-0.7496309,-3.995534,-0.09180555,0.6379415,1.456729,0.4245756,-0.3947645,0.4503486,0.09866109,-0.7672743,0.4278933,-0.002350772,0.7945392,1.537686,0.2495553,0.4378196,1.058673,0.3004018,296.6558,238.1189,347.7327,False
1,0.01111111,0.1411106,-1.028449,-0.07411396,-1.459421,-4.11005,2.987519,0.6291939,1.181732,0.515584,-1.672795,-0.006907294,19.73,6.79,-0.4596128,0.5547361,-0.009235129,-0.7506796,-3.985528,-0.09411904,0.6361808,1.456547,0.4234099,-0.3936928,0.4397063,0.09973235,-0.7661105,0.4346415,-0.002794189,0.7937984,1.537615,0.2495754,0.437531,1.058198,0.2976791,296.7843,236.0869,349.159,False
1,0.02222222,0.1225643,-0.8930798,-0.04602787,-1.460654,-4.104285,2.986132,0.6271949,1.181698,0.5144689,-1.672692,0.009559216,17.69,6.32,-0.4532386,0.5707381,-0.01667766,-0.7518626,-3.975565,-0.0966557,0.6343216,1.456423,0.4222615,-0.3839802,0.4194867,0.1156605,-0.764291,0.4402962,-0.002956375,0.7931288,1.537628,0.2494533,0.4378673,1.057322,0.2941812,297.0002,235.1042,349.3228,False
1,0.03333334,0.110648,-0.8334129,-0.03352938,-1.461881,-4.096518,2.984477,0.6250267,1.181524,0.5133147,-1.672401,0.02649831,15.78,5.88,-0.4458122,0.5878085,-0.02517925,-0.7531137,-3.965248,-0.09947279,0.632503,1.456308,0.4211104,-0.3679253,0.4131135,0.1262016,-0.762561,0.44682,-0.003979561,0.7924542,1.537628,0.2492249,0.4386659,1.056128,0.290204,297.2965,234.4532,348.8922,False
1,0.04444445,0.08587126,-0.7524962,-0.02432587,-1.462778,-4.090476,2.983726,0.6232378,1.181318,0.5121014,-1.671999,0.03660366,13.99,5.47,-0.4338779,0.5791411,0.0002541319,-0.7528021,-3.956132,-0.1018901,0.6309159,1.456317,0.4200535,-0.359339,0.4024734,0.1346715,-0.7608119,0.4529061,-0.004601143,0.7917923,1.537651,0.2490795,0.4397043,1.054776,0.2861357,297.6844,233.8134,348.3095,False
1,0.05555556,0.06438856,-0.6971202,-0.01392981,-1.463891,-4.084673,2.983132,0.6214406,1.181243,0.5109289,-1.67212,-0.01126993,12.69,5.01,-0.4104161,0.5364136,0.01369399,-0.7527452,-3.949335,-0.1030944,0.6294888,1.456275,0.4190166,-0.350841,0.3747801,0.1314576,-0.7593109,0.4578154,-0.004410994,0.7911407,1.537599,0.248872,0.4406701,1.053465,0.2823314,298.1177,233.1931,347.7584,False
1,0.06666667,0.0225834,-0.6184078,-0.008951303,-1.464637,-4.080166,2.983643,0.6199446,1.181199,0.5097411,-1.671563,0.05116107,11.47,4.58,-0.3807619,0.4809732,0.006816693,-0.752946,-3.944124,-0.1037408,0.6281871,1.45644,0.4180353,-0.3456325,0.3460009,0.1154787,-0.7584944,0.4621552,-0.003777428,0.7906001,1.537608,0.2487488,0.4413897,1.052316,0.2789435,298.4644,232.6172,347.3984,False
1,0.07777778,-0.005307905,-0.5577632,-0.004963124,-1.465444,-4.075741,2.983963,0.6184065,1.181281,0.5085688,-1.671533,0.002456618,10.33,4.18,-0.352236,0.4234428,-0.006490971,-0.7538434,-3.939968,-0.1037661,0.6270766,1.456505,0.4171174,-0.3362712,0.3214639,0.08454378,-0.7586041,0.4661652,-0.003222425,0.7901522,1.537624,0.2485538,0.4417548,1.051437,0.2760756,298.7328,232.1826,347.1557,False
1,0.08888889,-0.02354266,-0.5226756,-0.002985392,-1.466264,-4.07076,2.9843,0.6169423,1.181238,0.5074916,-1.67078,0.06894819,9.26,3.8,-0.3406515,0.3872193,-0.01313554,-0.7542786,-3.935405,-0.1037512,0.6257131,1.456488,0.4162188,-0.3204358,0.3065381,0.06420492,-0.7585221,0.470688,-0.00354307,0.7895885,1.5376,0.2483852,0.4417045,1.050912,0.2737372,298.9214,231.9179,346.9966,False
1,0.1,-0.05786879,-0.4535474,-0.003294714,-1.466678,-4.06801,2.985768,0.6157504,1.181361,0.5064406,-1.671138,-0.03307917,8.63,3.37,-0.3205611,0.3424541,-0.01884821,-0.7549034,-3.932103,-0.1032425,0.6248559,1.456698,0.4154274,-0.2888026,0.2628135,0.01927755,-0.7598206,0.4727767,-0.002954777,0.7892851,1.537609,0.2481899,0.4412268,1.0508,0.2718679,299.032,231.7889,346.9395,False
