target,ab_slope,ep_slope,ts_slope,js_slope,ab_inter,ep_inter,ts_inter,js_inter
Close,0.0083249,0.015105,0.008287,-0.0038131,-0.11103,-0.20706,-0.036527,0.25307
Mid,3.3691e-05,-0.010833,0.0040068,0.0080092,0.10831,0.43736,0.063382,-0.041526
Far,-0.00034932,-0.0057662,-0.0064941,-0.0080008,0.12676,0.38468,0.39859,0.41576
High,-0.00072811,-0.012079,0.031978,-0.002639,0.12641,0.65135,-0.52239,0.31403
