sub_num,case_nm,target,v_h
16,AB,Close,0.072703
16,EP,Close,0.14452
16,TS,Close,0.14968
16,JS,Close,0.17956
16,AB,Mid,0.043842
16,EP,Mid,0.10909
16,TS,Mid,0.043798
16,JS,Mid,0.12617
16,AB,Far,0.031407
16,EP,Far,0.12313
16,TS,Far,0.070809
16,JS,Far,0.12357
16,AB,High,0.039869
16,EP,High,0.091149
16,TS,High,0.17915
16,JS,High,0.10016
