target,ep_slope,ts_slope,js_slope,ep_inter,ts_inter,js_inter
Close,0.2676,0.50256,-0.18791,-3.39254,-8.41318,9.01114
Mid,-0.29463,0.12821,0.29411,11.0333,-0.979858,-3.77839
Far,-0.47675,-0.21402,-0.23713,16.4955,9.21243,9.37552
High,-0.35904,1.2334,-0.21397,14.3735,-23.5282,9.13006
