sub_num,case_nm,target,iteration,hdiff
16,TS,High,1,82.02465
16,TS,High,2,70.3709
16,TS,High,3,90.06515
16,TS,High,4,35.21736
16,TS,High,5,50.7414
16,TS,High,6,89.9767
16,TS,High,7,63.62662
16,TS,High,8,448.7344
16,TS,High,9,232.2077
16,TS,High,10,104.8636
16,TS,High,11,108.6425
16,TS,High,12,98.88594
16,TS,High,13,181.2643
16,TS,High,14,114.6583
16,TS,High,15,99.98397
16,TS,High,16,20.59105
16,TS,High,17,142.5178
16,TS,High,18,126.971
16,TS,High,19,122.1999
16,TS,High,20,130.1692
16,TS,High,21,82.02465
16,TS,High,22,70.3709
16,TS,High,23,90.06515
16,TS,High,24,35.21736
16,TS,High,25,50.7414
16,TS,High,26,89.9767
16,TS,High,27,63.62662
16,TS,High,28,448.7344
16,TS,High,29,232.2077
16,TS,High,30,104.8636
16,JS,Close,1,197.9709
16,JS,Close,2,51.57163
16,JS,Close,3,25.30781
16,JS,Close,4,14.58618
16,JS,Close,5,68.39836
16,JS,Close,6,37.47471
16,JS,Close,7,39.38094
16,JS,Close,8,52.65306
16,JS,Close,9,111.6705
16,JS,Close,10,76.08563
16,JS,Close,11,20.50799
16,JS,Close,12,26.73137
16,JS,Close,13,70.42205
16,JS,Close,14,39.44521
16,JS,Close,15,87.09592
16,JS,Close,16,49.05178
16,JS,Close,17,44.55354
16,JS,Close,18,27.2375
16,JS,Close,19,29.41034
16,JS,Close,20,124.1144
16,JS,Close,21,197.9709
16,JS,Close,22,51.57163
16,JS,Close,23,25.30781
16,JS,Close,24,14.58618
16,JS,Close,25,68.39836
16,JS,Close,26,37.47471
16,JS,Close,27,39.38094
16,JS,Close,28,52.65306
16,JS,Close,29,111.6705
16,JS,Close,30,76.08563
16,JS,Mid,1,18.92342
16,JS,Mid,2,20.17765
16,JS,Mid,3,77.86468
16,JS,Mid,4,47.38772
16,JS,Mid,5,58.82501
16,JS,Mid,6,77.67331
16,JS,Mid,7,101.5372
16,JS,Mid,8,63.81607
16,JS,Mid,9,93.09213
16,JS,Mid,10,36.14638
16,JS,Mid,11,29.17646
16,JS,Mid,12,26.85359
16,JS,Mid,13,9.878462
16,JS,Mid,14,37.37422
16,JS,Mid,15,13.69463
16,JS,Mid,16,21.80522
16,JS,Mid,17,16.06818
16,JS,Mid,18,24.84289
16,JS,Mid,19,43.65445
16,JS,Mid,20,10.48649
16,JS,Mid,21,18.92342
16,JS,Mid,22,20.17765
16,JS,Mid,23,77.86468
16,JS,Mid,24,47.38772
16,JS,Mid,25,58.82501
16,JS,Mid,26,77.67331
16,JS,Mid,27,101.5372
