loc,t,aDotUA,bDotUA,gDotUA,aUA,bUA,gUA,xUA,yUA,zUA,qE,qDotE,aDotSH,bDotSH,gDotSH,aSH,bSH,gSH,xSH,ySH,zSH,aDotUB,bDotUB,gDotUB,aUB,bUB,gUB,xUB,yUB,zUB,xHand,yHand,zHand,aHand,bHand,gHand,enable
3,0,-0.2139878,-0.7743266,0.1760145,-1.360165,-4.124878,-2.960132,0.6456988,1.126165,0.486182,-1.367063,-0.003088144,-0.1984397,0.1334587,0.04172665,-0.6755577,-4.309237,-0.1613567,0.7031178,1.332024,0.4025955,-0.06291214,0.09397613,-0.02704015,-1.141334,0.1823032,-0.09847064,0.8090957,1.394819,0.2439246,0.4670658,1.001359,0.2932984,296.9381,225.8477,1.040862,False
3,0.01111111,-0.2278559,-0.7614712,0.1940697,-1.361459,-4.11659,-2.958879,0.644183,1.126212,0.4854033,-1.367285,-0.0201655,-0.2028152,0.1335848,0.02897848,-0.6759481,-4.306875,-0.1607713,0.7027521,1.332054,0.4025955,-0.0724719,0.1046743,-0.02907369,-1.141862,0.1838857,-0.09798276,0.8091568,1.394735,0.2439256,0.4669539,1.001576,0.2911902,297.065,224.6962,1.702672,False
3,0.02222222,-0.2406611,-0.7475638,0.2131865,-1.362963,-4.108057,-2.957549,0.6426884,1.126058,0.4844031,-1.367231,0.005240324,-0.2125197,0.1380148,0.01311658,-0.6766325,-4.304396,-0.1600237,0.7023666,1.332007,0.4024959,-0.07770655,0.1185619,-0.0279793,-1.142282,0.1858957,-0.09781311,0.8092734,1.394658,0.2440929,0.4673097,1.001777,0.2883381,297.0356,224.0965,1.663117,False
3,0.03333334,-0.2577672,-0.7241182,0.2226701,-1.364339,-4.10029,-2.955688,0.6412617,1.125655,0.4833686,-1.367332,-0.009122214,-0.2241968,0.1519538,0.009070462,-0.6769415,-4.301046,-0.1598373,0.7019026,1.331919,0.4023614,-0.0819296,0.1409391,-0.03438713,-1.143127,0.1883886,-0.09785493,0.8093095,1.394598,0.2444127,0.4680742,1.002001,0.2849515,296.9996,223.4915,1.386083,False
3,0.04444445,-0.269517,-0.7124131,0.2279508,-1.365625,-4.092017,-2.953958,0.6396691,1.125479,0.4823918,-1.367381,-0.004363343,-0.2400394,0.1829455,0.00626133,-0.677375,-4.296324,-0.1604347,0.7014209,1.331804,0.4022071,-0.08495185,0.162278,-0.0301534,-1.143581,0.1910951,-0.09795453,0.8093282,1.394478,0.2447062,0.4690398,1.002285,0.2812552,296.945,222.839,1.006856,False
3,0.05555556,-0.2919722,-0.6942934,0.2332613,-1.367652,-4.084819,-2.95089,0.6381108,1.125492,0.4818907,-1.367182,0.01843305,-0.2623419,0.2150946,-0.003943449,-0.6782741,-4.29115,-0.1608035,0.7009348,1.331669,0.4020722,-0.0837565,0.1782617,-0.02702503,-1.14402,0.1938515,-0.09820753,0.8093722,1.394395,0.2449613,0.4700238,1.002613,0.2774397,296.7977,222.1655,0.6684419,False
3,0.06666667,-0.3122687,-0.6698021,0.2416674,-1.369114,-4.077583,-2.948328,0.6364992,1.125137,0.48031,-1.367355,-0.0159514,-0.2857693,0.2323286,-0.01212858,-0.6792265,-4.286237,-0.1606461,0.7003558,1.331596,0.4020517,-0.09110388,0.1964086,-0.02591626,-1.144484,0.1967248,-0.09805759,0.8094394,1.394334,0.2451422,0.470889,1.002944,0.2737034,296.6079,221.4931,0.3814915,False
3,0.07777778,-0.3293759,-0.6463625,0.2522105,-1.37091,-4.070585,-2.945454,0.6351125,1.124829,0.479238,-1.366457,0.08242346,-0.2932172,0.2419856,-0.01624805,-0.6799636,-4.281735,-0.1606744,0.6998514,1.33151,0.4019444,-0.1018459,0.2092018,-0.03752849,-1.145503,0.1994168,-0.0976906,0.8095873,1.394274,0.2454324,0.4715993,1.003314,0.2702714,296.4891,220.8689,0.06738647,False
3,0.08888889,-0.3422555,-0.612254,0.2626973,-1.372933,-4.064126,-2.942411,0.6337197,1.124433,0.4779713,-1.367074,-0.0570435,-0.3080143,0.2580075,-0.0117333,-0.6805809,-4.276322,-0.160922,0.6992695,1.331474,0.4019172,-0.1082551,0.2092338,-0.03850589,-1.146174,0.2019219,-0.09724347,0.8096433,1.394131,0.2456865,0.4719874,1.003803,0.2672422,296.4135,220.4689,359.7231,False
3,0.1,-0.3594348,-0.5675468,0.2656733,-1.374856,-4.058592,-2.938936,0.6322801,1.124167,0.476897,-1.367111,-0.002571984,-0.3088897,0.2610486,0.00854026,-0.6802848,-4.271448,-0.1612856,0.6987305,1.331421,0.4018075,-0.1145899,0.2167265,-0.03737776,-1.14676,0.2047256,-0.09694918,0.8097467,1.393983,0.2460008,0.4718723,1.004371,0.264396,296.2508,220.1661,359.6328,False
3,0.1111111,-0.3722965,-0.5377716,0.2633762,-1.376377,-4.052974,-2.935618,0.6308715,1.123966,0.4756908,-1.367234,-0.01116906,-0.3129087,0.2683432,0.03207425,-0.6796882,-4.266049,-0.1618749,0.6981902,1.331371,0.40166,-0.1135559,0.2209657,-0.04166746,-1.147625,0.207473,-0.09690498,0.8097649,1.39392,0.2462401,0.4715703,1.005038,0.2618378,296.0193,219.9605,359.5878,False
3,0.1222222,-0.388426,-0.4888635,0.2567482,-1.378201,-4.048385,-2.931669,0.6295065,1.12371,0.4745791,-1.367181,0.005083324,-0.3137693,0.2702989,0.05447194,-0.6788435,-4.260953,-0.1623303,0.6976985,1.3313,0.4015837,-0.1157776,0.2230783,-0.04909904,-1.148643,0.2100784,-0.09661842,0.8098743,1.393734,0.2465618,0.4711334,1.005766,0.2594554,295.7686,219.8388,359.5099,False
3,0.1333333,-0.4109659,-0.4336047,0.2436817,-1.379604,-4.044962,-2.927186,0.6282957,1.123409,0.473609,-1.367484,-0.02773477,-0.3042754,0.2489448,0.05527852,-0.6787194,-4.257576,-0.1619873,0.6971412,1.331162,0.4015739,-0.1179109,0.2273487,-0.05121275,-1.1495,0.2129737,-0.0964794,0.8099265,1.393672,0.2469928,0.4706089,1.00656,0.2572096,295.5522,219.718,359.418,False
3,0.1444445,-0.440989,-0.3676558,0.2422986,-1.38172,-4.042245,-2.921926,0.6270472,1.1231,0.4727449,-1.36725,0.02182369,-0.2885078,0.237285,0.03800581,-0.6791908,-4.254018,-0.1620502,0.6966138,1.330957,0.401541,-0.1168676,0.2315919,-0.05443432,-1.150417,0.2158207,-0.09638619,0.810021,1.393467,0.2473435,0.47003,1.007421,0.2550295,295.3408,219.5555,359.377,False
3,0.1555556,-0.4592461,-0.3197998,0.2367387,-1.383633,-4.039803,-2.916698,0.6258767,1.122798,0.4718072,-1.367074,0.0159276,-0.2854417,0.2373875,0.02306485,-0.6798699,-4.249991,-0.1621498,0.6960844,1.330795,0.4015422,-0.1105192,0.2283575,-0.05664206,-1.151357,0.2184006,-0.09649298,0.8100772,1.393315,0.2476497,0.4694183,1.008354,0.2528999,295.0985,219.4024,359.3055,False
3,0.1666667,-0.4818759,-0.2336376,0.2277697,-1.385648,-4.039401,-2.910861,0.6247518,1.122355,0.4710441,-1.366616,0.04197567,-0.2858324,0.2291852,-0.01747886,-0.6816771,-4.24686,-0.1614315,0.6954232,1.330535,0.4016442,-0.09644651,0.2325975,-0.04193144,-1.151538,0.2214569,-0.09715079,0.8099983,1.393126,0.2480648,0.4687816,1.009365,0.2508655,294.8246,219.2378,359.2121,False
3,0.1777778,-0.4980181,-0.1804491,0.2221802,-1.387798,-4.038793,-2.904893,0.6236657,1.12202,0.4701562,-1.366874,-0.02384889,-0.2870808,0.2207909,-0.0335141,-0.6828318,-4.243761,-0.1606163,0.6948735,1.33042,0.401691,-0.1018785,0.2315367,-0.04930708,-1.152512,0.224123,-0.09694865,0.8099518,1.392969,0.2485273,0.4680525,1.010478,0.2489159,294.5429,219.1781,359.0367,False
3,0.1888889,-0.5281426,-0.08694027,0.196151,-1.389472,-4.040362,-2.897935,0.622641,1.121812,0.4693961,-1.3669,-0.001966569,-0.2842216,0.2082422,-0.06453221,-0.684818,-4.241134,-0.1595407,0.6943513,1.330236,0.4017575,-0.1042023,0.2336299,-0.06419709,-1.153968,0.2268646,-0.09681576,0.809968,1.392823,0.249017,0.4672155,1.011702,0.2470409,294.2232,219.1052,358.9129,False
3,0.2,-0.546446,-0.02961453,0.1692383,-1.390798,-4.041375,-2.891271,0.6216643,1.121594,0.4685543,-1.366938,-0.003333511,-0.2768235,0.1986221,-0.06573725,-0.6857901,-4.238449,-0.1588,0.69394,1.33006,0.4018581,-0.09607825,0.2409294,-0.09629508,-1.156406,0.2296948,-0.0971396,0.8100274,1.392612,0.2495201,0.4662088,1.013031,0.2452876,293.8604,219.076,358.7691,False
3,0.2111111,-0.5529834,0.01286172,0.1477053,-1.39195,-4.042564,-2.884846,0.6206678,1.121224,0.4676042,-1.366565,0.03430854,-0.2672099,0.1921308,-0.05841329,-0.6864388,-4.235395,-0.1584352,0.6934899,1.329834,0.4018931,-0.08664756,0.2408398,-0.1081442,-1.158239,0.2324195,-0.09762962,0.8100573,1.392413,0.24997,0.4650188,1.014474,0.2436616,293.5049,219.0978,358.6411,False
3,0.2222222,-0.5659328,0.05847594,0.1187163,-1.392834,-4.044479,-2.877849,0.6195511,1.121076,0.4668143,-1.366938,-0.03431002,-0.2650916,0.1889261,-0.05846018,-0.6874098,-4.232427,-0.1578914,0.6929528,1.329589,0.4020181,-0.07299412,0.2311405,-0.1189558,-1.16011,0.2346385,-0.09816145,0.8099992,1.392238,0.2504625,0.4635989,1.016072,0.2422062,293.1607,219.0928,358.5934,False
3,0.2333333,-0.5766897,0.08385121,0.0887637,-1.393268,-4.046091,-2.870946,0.6184368,1.121033,0.466053,-1.367452,-0.04649365,-0.2654034,0.167813,-0.08205518,-0.6892223,-4.230907,-0.1561126,0.6925813,1.329406,0.4020712,-0.06567103,0.2172375,-0.1232725,-1.16178,0.2365827,-0.09844055,0.8100513,1.392054,0.2508574,0.4619909,1.017825,0.2409176,292.7454,219.0589,358.6928,False
3,0.2444444,-0.599137,0.09635984,0.05036724,-1.393007,-4.047496,-2.863476,0.6173158,1.120978,0.4653628,-1.367225,0.02124153,-0.2666295,0.134794,-0.08124332,-0.6901651,-4.23033,-0.1534886,0.6921741,1.329286,0.4021449,-0.05194698,0.2022387,-0.1266092,-1.163459,0.2383323,-0.09900568,0.8100533,1.391879,0.251251,0.4602327,1.019661,0.2397364,292.2623,219.0189,358.8543,False
3,0.2555556,-0.6087987,0.112182,0.02579248,-1.392983,-4.049359,-2.856084,0.6161885,1.120951,0.464596,-1.367387,-0.01488985,-0.2612685,0.1251041,-0.0717786,-0.6907942,-4.228807,-0.1519592,0.6918095,1.329164,0.4022424,-0.03623118,0.187197,-0.1395626,-1.165612,0.2398531,-0.0996198,0.8100765,1.391704,0.2515941,0.4583515,1.021556,0.23866,291.8169,218.9568,359.0207,False
3,0.2666667,-0.6216843,0.1300343,-0.01583534,-1.392077,-4.051727,-2.848295,0.6150901,1.121007,0.4638927,-1.36697,0.03838786,-0.2420232,0.1024711,-0.05081622,-0.690726,-4.228011,-0.1505197,0.6914973,1.328989,0.4023168,-0.02687822,0.1711323,-0.1502921,-1.167789,0.241154,-0.1000696,0.8100877,1.391537,0.2518854,0.4564226,1.023504,0.2377007,291.3907,218.7942,359.2981,False
3,0.2777778,-0.6302993,0.1489944,-0.05108908,-1.391056,-4.054336,-2.840629,0.6139935,1.12105,0.4632595,-1.367256,-0.02635773,-0.2334489,0.09275171,-0.04031291,-0.6909444,-4.226982,-0.1490734,0.6912047,1.328853,0.4024026,-0.01942728,0.1593873,-0.1460943,-1.169414,0.242479,-0.1006286,0.8101078,1.391349,0.2522283,0.4544714,1.025492,0.2368152,290.973,218.5522,359.6655,False
3,0.2888889,-0.6368028,0.1786918,-0.07254392,-1.390482,-4.057643,-2.832707,0.6128024,1.121234,0.4626842,-1.367163,0.008863229,-0.2335389,0.07036465,-0.03729453,-0.6913263,-4.226802,-0.1465069,0.6909279,1.328814,0.4025474,-0.01101746,0.1412309,-0.1472158,-1.171147,0.2433947,-0.1011676,0.8101523,1.391112,0.2525396,0.4524904,1.027523,0.2359475,290.553,218.3092,0.04286928,False
3,0.3,-0.6465468,0.2201048,-0.09193131,-1.390094,-4.06163,-2.82434,0.6116883,1.121432,0.4621885,-1.367477,-0.02862061,-0.2336687,0.04371823,-0.03643991,-0.6916421,-4.227585,-0.1432216,0.6905828,1.328748,0.4026456,-0.004967213,0.1102601,-0.1599804,-1.173349,0.2433498,-0.1012502,0.8102121,1.390893,0.2527857,0.4504925,1.029598,0.2351083,290.1391,217.922,0.537738,False
3,0.3111111,-0.6519675,0.2498406,-0.1070126,-1.389461,-4.065855,-2.816218,0.6105073,1.121637,0.4616647,-1.367531,-0.00463773,-0.2315806,0.03411196,-0.03546327,-0.6919558,-4.227489,-0.1407017,0.6902832,1.328622,0.4027705,0.004468478,0.1016639,-0.167539,-1.175552,0.2441394,-0.1018662,0.8102257,1.390735,0.2531691,0.4484689,1.03172,0.2343292,289.7296,217.4969,1.028743,False
3,0.3222222,-0.6638199,0.2848592,-0.1274284,-1.388836,-4.070713,-2.807429,0.609444,1.121831,0.4612355,-1.367348,0.01687223,-0.2272221,0.02757835,-0.02063895,-0.6917098,-4.22731,-0.1384466,0.689949,1.328653,0.4028649,0.007551193,0.08885282,-0.170736,-1.177608,0.2445498,-0.1022015,0.8101803,1.390581,0.2534263,0.4463537,1.033921,0.2336336,289.3401,217.1688,1.411345,False
3,0.3333333,-0.6778011,0.3241022,-0.1521376,-1.387851,-4.076312,-2.798457,0.6083305,1.122131,0.4608254,-1.367749,-0.03674513,-0.2131815,0.03161961,-0.001551721,-0.6912016,-4.226396,-0.1372825,0.6896474,1.328677,0.4029732,0.003311343,0.0825004,-0.1663952,-1.179391,0.2452091,-0.1022851,0.8101437,1.390454,0.2537682,0.4441186,1.036233,0.2330614,288.9411,216.875,1.80661,False
3,0.3444445,-0.6928059,0.3484573,-0.1703689,-1.386971,-4.081457,-2.789376,0.6072459,1.122564,0.4604363,-1.367373,0.03474543,-0.2086821,0.06134401,0.009298053,-0.6909955,-4.223608,-0.1371608,0.6892745,1.32872,0.4030743,0.0004084185,0.08791067,-0.1471899,-1.180451,0.2464549,-0.1027112,0.8100961,1.390222,0.2541144,0.4417538,1.038656,0.2326317,288.4964,216.5112,2.330528,False
3,0.3555556,-0.7024681,0.3696822,-0.180058,-1.386445,-4.086761,-2.78029,0.6060863,1.123069,0.4600604,-1.367417,-0.004184992,-0.2127606,0.09972069,0.008573055,-0.6912506,-4.220004,-0.137405,0.6889138,1.328837,0.4031208,-0.009945415,0.08910133,-0.1257435,-1.181263,0.2474628,-0.1026755,0.8100561,1.390093,0.2543724,0.4392766,1.041187,0.2323779,288.0343,216.1182,2.928801,False
3,0.3666667,-0.7099419,0.3685057,-0.1960208,-1.385422,-4.091409,-2.771319,0.6049732,1.123562,0.4596162,-1.367385,0.003111049,-0.2168913,0.1156741,0.015131,-0.691102,-4.217061,-0.1370377,0.6885762,1.32894,0.4032366,-0.01306043,0.08807604,-0.11931,-1.182542,0.2483648,-0.1027509,0.8100555,1.389988,0.2546427,0.4366607,1.04384,0.2322982,287.5847,215.6986,3.599128,False
3,0.3777778,-0.7152987,0.3705324,-0.2120048,-1.384294,-4.096326,-2.76225,0.6038843,1.124098,0.4592493,-1.367549,-0.01492225,-0.2314845,0.1090338,0.05568674,-0.6893656,-4.215137,-0.1354809,0.6883512,1.329027,0.403275,-0.0142762,0.07528462,-0.1245786,-1.184137,0.2486744,-0.1025562,0.8100523,1.389853,0.254806,0.4339583,1.046643,0.2323716,287.1476,215.3514,4.262123,False
3,0.3888889,-0.7163818,0.3757961,-0.2237651,-1.383052,-4.101611,-2.75334,0.6027774,1.124593,0.4589434,-1.367696,-0.01318496,-0.2356652,0.1047009,0.06740766,-0.6883547,-4.21329,-0.13412,0.6880753,1.329118,0.4033315,-0.01561438,0.06246027,-0.1394362,-1.186274,0.2487419,-0.1023589,0.8100563,1.389719,0.2550454,0.4312038,1.049602,0.2325249,286.6772,215.0365,4.956367,False
3,0.4,-0.7292097,0.3820466,-0.2440314,-1.381537,-4.107196,-2.74351,0.6016652,1.12505,0.458621,-1.367776,-0.00713836,-0.2248197,0.04989333,0.1201505,-0.6849799,-4.214807,-0.1308994,0.687875,1.329288,0.4033113,-0.01483226,0.05281159,-0.1564631,-1.188644,0.2487458,-0.1022308,0.8100178,1.389577,0.2552226,0.4285082,1.052678,0.2326906,286.1574,214.557,5.843384,False
3,0.4111111,-0.7399211,0.4011573,-0.2515828,-1.380669,-4.113356,-2.733726,0.6006395,1.125515,0.4584191,-1.368106,-0.03019954,-0.213302,0.009346515,0.1207895,-0.6835291,-4.216413,-0.1275841,0.6877152,1.329279,0.4033437,-0.006355166,0.06871144,-0.1662221,-1.190999,0.24991,-0.102896,0.8100194,1.389367,0.2553444,0.4259315,1.055819,0.2328342,285.6125,213.8778,6.864185,False
3,0.4222222,-0.7463927,0.4212967,-0.2655263,-1.379681,-4.119684,-2.723883,0.5996048,1.125938,0.4581666,-1.367379,0.06691143,-0.2092845,-0.01293088,0.1056608,-0.682835,-4.21768,-0.1243614,0.6875358,1.329299,0.4033682,-0.008578509,0.07295274,-0.174731,-1.193355,0.250643,-0.1029911,0.8100053,1.38918,0.2555389,0.4234517,1.05896,0.2329499,285.0468,212.9903,8.010242,False
