sub_num,case_nm,s_h_close,s_h_mid,s_h_far,s_h_high
3,JS,-1.8503,-1.5482,-2.1745,-2.2937
3,JS,-2.3451,-1.4356,-1.8052,-1.6421
3,JS,-1.7335,-1.436,-1.907,-2.2871
3,JS,-1.5827,-1.7896,-1.6566,-2.1408
3,JS,-1.4296,-1.4427,-1.8845,-2.3316
3,JS,-1.8052,-1.607,-1.8665,-2.4947
3,JS,-1.9519,-1.4504,-2.0835,-1.8715
3,JS,-2.0229,-1.4373,-2.1799,-2.3668
3,JS,-1.8199,-1.5851,-2.4347,-2.1656
3,JS,-1.907,-1.5829,-1.7338,-2.2251
4,AB,-1.5316,-1.3951,-1.8137,-1.4631
4,AB,-1.4076,-1.4269,-1.4112,-1.4397
4,AB,-1.5357,-1.4029,-1.4052,-1.4073
4,AB,-1.5251,-1.5196,-1.4017,-1.5183
4,AB,-1.3945,-1.3974,-1.4064,-1.5426
4,AB,-1.4433,-1.4176,-1.4104,-1.5469
4,AB,-1.3998,-1.4364,-1.3965,-1.6138
4,AB,-1.5672,-1.4026,-1.4012,-1.4081
4,AB,-1.5223,-1.4048,-1.4085,-1.466
4,AB,-1.4238,-1.3947,-1.4261,-1.4352
4,EP,-2.7323,-2.0354,-2.04,-1.9732
4,EP,-2.4656,-2.0724,-3.7853,-1.8455
4,EP,-2.3827,-1.9264,-2.6608,-2.2658
4,EP,-2.5424,-3.4361,-5.296,-3.9914
4,EP,-2.0294,-3.8199,-2.1931,-3.053
4,EP,-1.8667,-1.9832,-4.9221,-2.7542
4,EP,-2.1921,-6.4274,-4.9015,-2.2468
4,EP,-2.0899,-1.9526,-3.8087,-4.5354
4,EP,-2.1832,-2.1031,-2.0825,-3.2312
4,EP,-2.2378,-1.903,-4.9391,-2.4109
4,TS,-2.2967,-3.786,-2.6015,-3.4802
4,TS,-2.4158,-2.7955,-3.1769,-2.0389
4,TS,-3.6234,-2.1042,-3.2741,-3.4909
4,TS,-2.0607,-2.0748,-3.0043,-2.7114
4,TS,-2.0896,-2.7987,-2.2925,-2.6567
4,TS,-2.0995,-2.7716,-2.3054,-2.2321
4,TS,-2.0963,-2.2551,-2.3806,-2.5001
4,TS,-2.1127,-2.6432,-2.686,-2.4762
4,TS,-3.1169,-1.9249,-2.1748,-2.3746
4,TS,-3.3686,-2.4815,-2.3306,-1.6418
4,JS,-2.6335,-1.7851,-2.2363,-2.4077
4,JS,-1.8663,-2.5461,-2.0211,-2.6904
4,JS,-4.7977,-2.389,-2.6209,-2.2557
4,JS,-1.8042,-2.0369,-2.4698,-2.2608
4,JS,-2.8955,-2.4118,-2.4742,-3.105
4,JS,-2.0751,-1.8844,-2.4385,-1.9355
4,JS,-1.9764,-1.9633,-2.0684,-2.5439
4,JS,-1.8175,-1.9732,-2.1575,-2.1473
4,JS,-6.9736,-3.0105,-2.2517,-2.8277
4,JS,-2.7703,-2.132,-2.3292,-2.1308
5,AB,-1.9073,-1.653,-1.4259,-1.3954
5,AB,-1.616,-1.4556,-1.4128,-1.3995
5,AB,-1.3985,-1.7085,-1.4338,-1.4775
5,AB,-1.5139,-1.4477,-1.4083,-1.4087
5,AB,-1.6544,-1.4786,-1.4285,-1.4603
5,AB,-1.6416,-1.4783,-1.4214,-1.4683
5,AB,-1.541,-1.4949,-1.3969,-1.3975
5,AB,-1.5068,-1.4825,-1.4067,-1.4344
5,AB,-1.4023,-1.4533,-1.4068,-1.4288
5,AB,-1.5238,-1.392,-1.4063,-1.4889
5,EP,-1.7677,-1.4533,-2.0569,-2.0652
5,EP,-1.6734,-1.417,-2.6306,-2.4124
5,EP,-1.6469,-1.8716,-2.5809,-1.4362
5,EP,-1.6528,-1.4383,-2.1219,-1.4718
5,EP,-1.9821,-1.4381,-1.6404,-2.345
5,EP,-1.8094,-1.4682,-1.8658,-1.6269
5,EP,-1.8517,-1.487,-1.8605,-1.5149
5,EP,-1.5419,-2.2103,-2.0478,-1.7823
5,EP,-1.5957,-1.4366,-1.8427,-2.5667
5,EP,-1.7165,-1.4523,-3.2594,-1.6113
5,TS,-1.9011,-1.6247,-2.9134,-4.0764
5,TS,-1.853,-1.6729,-2.0709,-1.6335
5,TS,-2.4994,-1.7928,-2.0551,-1.5127
5,TS,-1.8217,-1.8955,-2.8048,-2.0673
5,TS,-3.0211,-2.0287,-2.6634,-1.4564
5,TS,-3.5863,-1.903,-2.7906,-1.8211
5,TS,-2.2616,-1.5684,-2.0599,-1.4128
5,TS,-1.6162,-1.8958,-2.4909,-1.9003
5,TS,-2.046,-1.6111,-2.0973,-1.5581
5,TS,-3.6777,-1.7371,-2.2113,-1.4738
5,JS,-1.9403,-1.5312,-2.1638,-2.2049
5,JS,-2.03,-1.9322,-1.7987,-2.3456
5,JS,-2.4575,-1.6323,-1.5226,-1.8314
5,JS,-2.0864,-1.4253,-1.8909,-1.5943
