loc,t,aDotUA,bDotUA,gDotUA,aUA,bUA,gUA,xUA,yUA,zUA,aDotE,bDotE,gDotE,aE,bE,gE,xE,yE,zE,aDotSH,bDotSH,gDotSH,aSH,bSH,gSH,xSH,ySH,zSH,aDotUB,bDotUB,gDotUB,aUB,bUB,gUB,xUB,yUB,zUB,xHand,yHand,zHand,aHand,bHand,gHand
0,0,1.248904,-1.013587,0.4067107,-1.472784,-4.478423,-3.011008,0.7840639,1.206593,0.4435191,-0.5550165,-0.0236578,-1.053155,-1.528023,-4.339632,1.396422,0.6433073,1.076619,0.4132366,-0.1313427,0.2234996,0.03996775,-0.5863754,-4.475266,0.06223781,0.8022472,1.432561,0.3668575,0.04010093,-0.07331326,0.06385788,-0.9178361,0.00811625,-0.008800682,0.89353,1.504458,0.1524503,0.4616699,1.033113,0.2918203,284.2993,173.0001,76.44065
0,0.01111111,1.187562,-1.025493,0.3385336,-1.473494,-4.466972,-3.003289,0.7812657,1.205536,0.4428098,-0.5974786,0.05386794,-1.049697,-1.528651,-4.328153,1.384081,0.6405397,1.074675,0.4108725,-0.09575278,0.1105625,0.06375846,-0.5849628,-4.480425,0.06635026,0.8024713,1.431922,0.3666103,0.05710673,-0.07016104,0.05941246,-0.9173008,0.007260176,-0.009534383,0.8935103,1.504404,0.1522388,0.4609308,1.028818,0.2883244,284.4314,176.3632,72.53594
0,0.02222222,1.059322,-1.054353,0.2558138,-1.471997,-4.45488,-2.997094,0.7784901,1.204559,0.4421017,-0.5961486,0.1580065,-1.046078,-1.527596,-4.315789,1.3752,0.6377082,1.073319,0.4086516,-0.0594962,0.01277255,0.03220162,-0.5861149,-4.485631,0.07005099,0.802403,1.43101,0.3664238,0.06027783,-0.05311982,0.05298918,-0.9170595,0.007349792,-0.01029685,0.8936079,1.504416,0.1521018,0.4602007,1.025207,0.2845092,284.7212,179.1451,69.03693
0,0.03333334,0.8668462,-1.072764,0.164529,-1.470208,-4.442684,-2.99178,0.7757881,1.203753,0.4413962,-0.5738657,0.2346743,-1.044475,-1.524667,-4.303658,1.370207,0.635144,1.072482,0.4066105,-0.06867583,-0.01874461,-0.07867143,-0.5908191,-4.487165,0.07243878,0.8021447,1.430071,0.366271,0.06465001,-0.01797374,0.05402876,-0.9164001,0.008734769,-0.01205959,0.893563,1.50428,0.1521068,0.4595488,1.022504,0.2805139,284.6391,182.9571,64.13744
0,0.04444445,0.6195573,-1.102707,0.07798719,-1.465563,-4.430019,-2.988799,0.7732723,1.203156,0.4408071,-0.4983189,0.3482971,-1.038664,-1.520944,-4.29114,1.36893,0.6326319,1.072203,0.4050376,-0.1355715,-0.001350299,-0.2006638,-0.5969087,-4.485344,0.07455014,0.8015459,1.429355,0.3661819,0.06384411,0.01930621,0.06897606,-0.9151351,0.01058553,-0.01378692,0.8934848,1.504227,0.152159,0.4589019,1.020991,0.2765235,284.3324,186.236,59.60276
0,0.05555556,0.4584795,-1.110449,0.04695988,-1.463042,-4.417758,-2.985015,0.7708074,1.202645,0.440176,-0.4622649,0.3906188,-1.036947,-1.518297,-4.27871,1.367526,0.6302617,1.071956,0.4031415,-0.2009569,0.04873809,-0.2426327,-0.6009045,-4.480826,0.07527957,0.8008943,1.428659,0.3661203,0.0566064,0.04808189,0.08185661,-0.9137924,0.0124877,-0.01533422,0.8934362,1.504088,0.1521051,0.4582812,1.01969,0.2722605,284.0268,188.7008,55.98409
0,0.06666667,0.236009,-1.11597,0.01359263,-1.459218,-4.405554,-2.981783,0.7685087,1.202549,0.4398808,-0.4202434,0.4422407,-1.027293,-1.515292,-4.266209,1.370044,0.6277834,1.072713,0.4021289,-0.2995554,0.2456388,-0.2582064,-0.6034238,-4.464402,0.06832819,0.7999996,1.428239,0.3659253,0.03138614,0.0875448,0.1045349,-0.9118195,0.01527762,-0.01648763,0.8933452,1.504042,0.1522989,0.4572181,1.020788,0.269657,283.3752,189.4983,53.93238
0,0.07777778,0.08916205,-1.106521,0.01643544,-1.456159,-4.3938,-2.978054,0.766229,1.202466,0.4394083,-0.4017936,0.4645221,-1.020795,-1.513094,-4.254184,1.372669,0.6255196,1.073348,0.4004376,-0.3285529,0.3414353,-0.257626,-0.6058857,-4.452717,0.06303702,0.7993109,1.42792,0.3657103,0.02077462,0.1014269,0.1057194,-0.9107654,0.01724517,-0.01750682,0.8933342,1.503955,0.1522748,0.4561425,1.022975,0.267107,283.0298,188.522,53.84578
0,0.08888889,-0.2415411,-1.045143,0.004486658,-1.451971,-4.381895,-2.975486,0.7640877,1.203125,0.4392121,-0.3580751,0.4891779,-1.012619,-1.510307,-4.244003,1.384393,0.6229062,1.075546,0.3996437,-0.3635643,0.4454966,-0.1972986,-0.6056443,-4.437747,0.05594849,0.798416,1.427842,0.3652799,0.0003110766,0.1089526,0.08357506,-0.9105737,0.0191456,-0.01798086,0.8932518,1.50396,0.152365,0.4551386,1.026566,0.2636573,283.0392,185.5575,55.80343
0,0.1,-0.4765331,-1.008058,-0.05355509,-1.44707,-4.372049,-2.971456,0.7622226,1.203652,0.438992,-0.3548909,0.5220128,-0.9620181,-1.505229,-4.233475,1.394856,0.6202061,1.077141,0.3982856,-0.3821251,0.5258909,-0.07538799,-0.6021061,-4.424042,0.04926023,0.797806,1.427781,0.364867,-0.01586454,0.111141,0.06563966,-0.9105289,0.02078557,-0.018232,0.8931098,1.503941,0.1524734,0.4536103,1.030818,0.2608255,283.0728,181.52,58.8234
0,0.1111111,-0.5669388,-0.9846379,-0.06995436,-1.441325,-4.364024,-2.963784,0.7604493,1.204494,0.438724,-0.4289236,0.5728006,-0.8889349,-1.501049,-4.22311,1.402189,0.6178105,1.079307,0.3971858,-0.3804833,0.5382926,0.01627152,-0.5985369,-4.412976,0.04425322,0.7971627,1.427853,0.3645043,-0.03302765,0.1271759,0.05092202,-0.9105753,0.02331917,-0.01879526,0.892974,1.50395,0.1525526,0.4521306,1.036961,0.2580889,282.8232,176.5396,62.86131
0,0.1222222,-0.8909669,-0.7908365,-0.06215584,-1.435964,-4.356035,-2.9594,0.7584156,1.2053,0.4383562,-0.4099856,0.5780801,-0.838522,-1.498734,-4.219482,1.421347,0.6154416,1.082857,0.3967247,-0.3669668,0.5059466,0.1151223,-0.5939169,-4.405797,0.04179911,0.7966644,1.427916,0.3641219,-0.05126239,0.1304268,0.03834305,-0.9104629,0.02523358,-0.01890684,0.8927753,1.504001,0.1526759,0.4501413,1.043676,0.2564334,282.0749,171.7517,66.76907
0,0.1333333,-1.397884,-0.6576124,-0.2049566,-1.43213,-4.351945,-2.960084,0.7568953,1.206354,0.4383252,-0.2961983,0.5113719,-0.7124155,-1.487579,-4.215869,1.452303,0.6132182,1.087474,0.3965511,-0.360215,0.4621249,0.1532453,-0.590679,-4.399605,0.04039722,0.7961707,1.428155,0.3638439,-0.07379004,0.1358241,0.02261124,-0.9108086,0.0273974,-0.01871776,0.8925962,1.504056,0.1526699,0.4481096,1.050585,0.2542644,281.2931,166.6015,71.06989
0,0.1444445,-1.64839,-0.5719768,-0.2629799,-1.425718,-4.352859,-2.955079,0.7556537,1.207793,0.4384174,-0.3160323,0.5306665,-0.5123464,-1.478818,-4.211294,1.476779,0.6107905,1.091112,0.3963888,-0.3076288,0.3545762,0.1715969,-0.5886465,-4.399576,0.04202042,0.7957613,1.428552,0.3637347,-0.08772637,0.1113666,0.02061755,-0.9106519,0.028054,-0.01771881,0.8924471,1.504167,0.1526885,0.4457543,1.057141,0.2516025,280.4694,160.8373,76.12729
0,0.1555556,-1.877129,-0.3766188,-0.3055328,-1.419039,-4.352405,-2.94781,0.7542701,1.209147,0.4383013,-0.3764017,0.5556076,-0.3968196,-1.470719,-4.212898,1.505275,0.6080177,1.096267,0.3968503,-0.2736047,0.3312863,0.1531371,-0.5878433,-4.394555,0.03976446,0.7953923,1.428908,0.3635962,-0.08342876,0.09857206,0.02695686,-0.9100937,0.0290206,-0.0176224,0.8922195,1.5043,0.1526706,0.4426172,1.067477,0.251464,279.7714,153.5874,83.17829
0,0.1666667,-2.088526,-0.142613,-0.3354174,-1.412562,-4.357175,-2.937315,0.7528896,1.210822,0.4383783,-0.4869363,0.5846697,-0.2076493,-1.46387,-4.217847,1.534068,0.6050658,1.101716,0.3975418,-0.2362686,0.26967,0.1366599,-0.5868019,-4.392648,0.0394004,0.7950445,1.429374,0.3633788,-0.06925191,0.1038433,0.05556988,-0.9084873,0.0307181,-0.01839658,0.8920076,1.504425,0.1526196,0.4387398,1.078526,0.2523749,279.4371,145.1738,91.88618
0,0.1777778,-2.255812,0.01176971,-0.3731505,-1.406052,-4.363948,-2.926287,0.7514517,1.212531,0.438448,-0.5785655,0.614589,-0.01446838,-1.455075,-4.222435,1.5646,0.6019801,1.107268,0.3982949,-0.216849,0.1982969,0.1468908,-0.5847396,-4.393445,0.04181908,0.7948505,1.429704,0.3630641,-0.05313072,0.1123174,0.06604876,-0.907511,0.03275901,-0.01964268,0.8918599,1.504505,0.1524813,0.4353567,1.087955,0.2519807,279.4295,136.5085,100.5955
0,0.1888889,-2.57085,0.3058707,-0.5069305,-1.398275,-4.373952,-2.913755,0.7499096,1.214414,0.4386096,-0.6669393,0.6767935,0.180318,-1.442039,-4.234937,1.604295,0.5983748,1.114104,0.4000938,-0.1970509,0.08627614,0.1984926,-0.580869,-4.399045,0.04790761,0.7946519,1.430352,0.3628173,-0.05343328,0.09102529,0.04366647,-0.9077486,0.03313092,-0.01930419,0.8917339,1.504617,0.152282,0.4306683,1.100226,0.2547139,279.8067,126.7546,110.9136
0,0.2,-2.675211,0.4551719,-0.5724651,-1.390101,-4.382325,-2.901118,0.7484157,1.216269,0.4387343,-0.7373882,0.7432418,0.2969413,-1.430954,-4.24414,1.637218,0.5952387,1.120058,0.4011245,-0.1892955,0.05100773,0.2313319,-0.5771022,-4.399835,0.05051644,0.7945044,1.430842,0.3623717,-0.05479448,0.07399248,0.02022866,-0.9084197,0.03330842,-0.01880858,0.8916041,1.504742,0.1522288,0.4265616,1.111238,0.2565316,280.4464,118.3649,119.7867
0,0.2111111,-2.784173,0.6774895,-0.6629463,-1.380957,-4.396845,-2.882595,0.7468024,1.218364,0.4389093,-0.8879534,0.8414468,0.479922,-1.418784,-4.259502,1.673588,0.59114,1.127009,0.4032946,-0.182455,-0.003505506,0.2789998,-0.5724225,-4.403891,0.05566007,0.7946391,1.431478,0.3619814,-0.043231,0.04733288,0.01262846,-0.9085539,0.03278511,-0.0183878,0.8915362,1.504825,0.1519301,0.4212838,1.12442,0.2609124,281.3836,111.2091,127.9623
0,0.2222222,-2.860937,0.8969796,-0.7428284,-1.372853,-4.414385,-2.861428,0.7452253,1.2205,0.4392345,-1.053463,0.9275596,0.6926042,-1.406877,-4.277205,1.709951,0.587404,1.134166,0.4054039,-0.2118076,-0.05704517,0.3301092,-0.5672544,-4.408368,0.06272836,0.7947922,1.432086,0.3615465,-0.03385302,0.01748354,0.0007974813,-0.9087307,0.03176831,-0.01773026,0.8913777,1.5049,0.1517096,0.4162347,1.137314,0.2652026,282.419,104.9843,135.2429
0,0.2333333,-2.914356,1.094514,-0.8185903,-1.365566,-4.4346,-2.838015,0.7435228,1.22258,0.4394758,-1.218803,1.001102,0.9007847,-1.395004,-4.29722,1.747301,0.5830454,1.141526,0.4081624,-0.2357524,-0.1297842,0.3874948,-0.5612809,-4.416226,0.0728047,0.795109,1.432809,0.3611474,-0.02429205,0.003608027,0.001749875,-0.9086705,0.0311936,-0.01743998,0.8913254,1.504959,0.1514258,0.4108327,1.150718,0.2707793,283.4571,99.7664,141.6835
0,0.2444444,-2.931304,1.223531,-0.8583816,-1.359052,-4.453814,-2.815406,0.7419708,1.224817,0.4397521,-1.32132,1.048701,1.023139,-1.384171,-4.316294,1.783082,0.5795233,1.148629,0.410342,-0.2395328,-0.191793,0.4373325,-0.5551721,-4.424911,0.08294761,0.7955005,1.43354,0.3607728,-0.0212096,-0.013443,-0.004690251,-0.9089656,0.03027189,-0.01676034,0.8912674,1.504984,0.1511149,0.4057211,1.164022,0.2771111,284.5361,95.8421,146.8172
0,0.2555556,-2.908247,1.393049,-0.9068428,-1.353531,-4.477234,-2.789061,0.7403822,1.22706,0.4402235,-1.461602,1.10333,1.197683,-1.374244,-4.339955,1.819051,0.575147,1.155986,0.4135013,-0.2296951,-0.2195823,0.4648481,-0.5494533,-4.432113,0.09129183,0.7958254,1.434333,0.3604467,-0.02895545,-0.0176663,-0.03017665,-0.9102205,0.02988639,-0.0159265,0.8913678,1.504991,0.1507101,0.4004194,1.177469,0.2841514,285.7135,93.3576,150.6487
0,0.2666667,-2.822858,1.533446,-0.939274,-1.349334,-4.502167,-2.760771,0.738441,1.229338,0.4406526,-1.593877,1.14034,1.350177,-1.365465,-4.364281,1.852282,0.5714221,1.163082,0.4158947,-0.2101625,-0.2527352,0.5061275,-0.5427842,-4.440973,0.1004728,0.7962595,1.435133,0.3601227,-0.04307878,-0.03571946,-0.05027055,-0.9114099,0.02870062,-0.01413633,0.8914599,1.504964,0.150311,0.3950672,1.189921,0.2911135,286.8951,91.66628,153.8768
0,0.2777778,-2.691953,1.641071,-0.9592426,-1.346432,-4.526592,-2.732469,0.7365526,1.231545,0.4409881,-1.712651,1.155698,1.4752,-1.358693,-4.388336,1.882401,0.5673479,1.169775,0.4185534,-0.2226197,-0.3008316,0.5368966,-0.5365663,-4.451697,0.1124981,0.7966985,1.436026,0.3598201,-0.0497951,-0.05166657,-0.07577285,-0.9130318,0.02728462,-0.01248064,0.8916241,1.504974,0.1498592,0.3898452,1.202389,0.2987381,288.0231,90.09739,156.8324
0,0.2888889,-2.528527,1.716119,-0.962761,-1.344794,-4.550657,-2.703759,0.7346972,1.233882,0.4413278,-1.812254,1.150651,1.564826,-1.353349,-4.41256,1.909805,0.5636511,1.176677,0.4212937,-0.2553726,-0.3457568,0.5614284,-0.5302631,-4.463747,0.1267571,0.7971359,1.436985,0.3594282,-0.05329542,-0.07188161,-0.09811815,-0.9147947,0.02549351,-0.01062628,0.8918089,1.50495,0.1493995,0.3851907,1.213852,0.3058075,288.9915,88.84794,159.6436
0,0.3,-2.359242,1.761891,-0.95128,-1.34434,-4.573468,-2.676343,0.7328143,1.236199,0.4415641,-1.872506,1.121773,1.619147,-1.349178,-4.436009,1.935854,0.5602955,1.183268,0.4234376,-0.2881244,-0.3491976,0.6021119,-0.5230912,-4.473368,0.1393478,0.7975324,1.438085,0.3589606,-0.05775154,-0.07931664,-0.1140512,-0.9164662,0.0241317,-0.009029448,0.8919843,1.504956,0.1488769,0.3803712,1.225424,0.3138522,289.7525,87.5919,162.4965
0,0.3111111,-2.239829,1.770015,-0.9405878,-1.344003,-4.595473,-2.649743,0.7308468,1.238434,0.4418523,-1.892093,1.098644,1.629916,-1.345908,-4.458632,1.961513,0.5564972,1.189696,0.4262977,-0.2909443,-0.3622061,0.6542774,-0.514846,-4.484828,0.1526199,0.7978909,1.43907,0.3585489,-0.06657319,-0.08673494,-0.139528,-0.918928,0.02255245,-0.00702169,0.8921953,1.504912,0.1484053,0.3759548,1.235212,0.3208894,290.2888,86.06296,165.6962
0,0.3222222,-2.048959,1.752601,-0.919778,-1.344943,-4.616703,-2.623303,0.7291436,1.240747,0.4421079,-1.909166,1.051217,1.634518,-1.343552,-4.480175,1.983157,0.5533195,1.195876,0.4283459,-0.3002473,-0.3432672,0.7044916,-0.5059623,-4.494299,0.1644366,0.7982762,1.440192,0.3580692,-0.0849262,-0.09413567,-0.159578,-0.9213712,0.02085881,-0.004381433,0.8924273,1.504881,0.1479769,0.3713153,1.245526,0.3272747,290.802,84.76733,168.5427
0,0.3333333,-1.885651,1.723919,-0.8874047,-1.346868,-4.635983,-2.598611,0.7270604,1.242924,0.4424007,-1.897598,0.9820466,1.608637,-1.342816,-4.500581,2.002819,0.5501775,1.201574,0.4309022,-0.3225862,-0.2901591,0.7293618,-0.4976361,-4.500233,0.1739289,0.7985893,1.441321,0.3576064,-0.08821033,-0.1101021,-0.163813,-0.9232429,0.01869765,-0.002063683,0.892634,1.504843,0.147543,0.3672131,1.253435,0.3338674,290.9053,83.25669,171.6804
