loc,t,aDotUA,bDotUA,gDotUA,aUA,bUA,gUA,xUA,yUA,zUA,aDotE,bDotE,gDotE,aE,bE,gE,xE,yE,zE,aDotSH,bDotSH,gDotSH,aSH,bSH,gSH,xSH,ySH,zSH,aDotUB,bDotUB,gDotUB,aUB,bUB,gUB,xUB,yUB,zUB,xHand,yHand,zHand,aHand,bHand,gHand
3,0,-0.1506499,-1.782385,0.4568307,-1.526815,-4.451187,-3.060904,0.717921,1.258067,0.4155656,0.04758418,0.8546305,-1.581987,4.635453,-4.345395,0.9541773,0.6212003,1.085964,0.375838,-0.5837474,0.4463316,-0.1712797,-0.6207275,-4.493558,-0.1606634,0.7487557,1.474611,0.3277718,0.1905851,0.1360864,0.1314995,-1.250761,-0.05382515,-0.009013735,0.8148055,1.521413,0.1244116,0.5048482,0.9970623,0.2793233,303.5727,264.9113,351.0803
3,0.01111111,-0.1538854,-1.84341,0.3847708,-1.527269,-4.429624,-3.059999,0.7147632,1.257501,0.415312,0.05829055,0.9200926,-1.602746,4.635528,-4.323359,0.9545475,0.618686,1.085564,0.3736126,-0.6135103,0.5028444,-0.1575204,-0.6233778,-4.481727,-0.1625197,0.747993,1.473972,0.3281095,0.1759515,0.177672,0.1476337,-1.248614,-0.05036331,-0.01151205,0.8149548,1.521566,0.1252214,0.5042068,0.9964398,0.2737649,303.4164,265.0865,349.7322
3,0.02222222,-0.1465738,-1.833087,0.2702515,-1.526143,-4.410336,-3.059629,0.7117772,1.257252,0.4150263,0.06816314,0.9589953,-1.532215,4.637966,-4.303287,0.9545644,0.6163433,1.085213,0.3717674,-0.6273178,0.5284474,-0.1479693,-0.6258152,-4.470397,-0.1641106,0.7471054,1.473495,0.3284017,0.1557528,0.2182613,0.1329185,-1.247578,-0.046237,-0.01377307,0.8150845,1.521782,0.1259487,0.503676,0.9959986,0.2682387,302.9453,265.62,347.4016
3,0.03333334,-0.1102538,-1.853318,0.1553225,-1.524218,-4.391949,-3.059949,0.7089529,1.257097,0.4150331,0.08821392,0.9935865,-1.458064,4.641645,-4.282362,0.953214,0.6145093,1.085204,0.3703566,-0.6346617,0.5392051,-0.1149635,-0.6270535,-4.460328,-0.165206,0.7464559,1.47326,0.3285882,0.1278297,0.2290641,0.09584672,-1.247738,-0.04325879,-0.01531131,0.8152542,1.521674,0.1265344,0.5036514,0.995841,0.2627781,302.5529,264.8547,346.0314
3,0.04444445,-0.06824219,-1.84484,0.0503573,-1.517855,-4.373827,-3.062008,0.706115,1.25761,0.4152389,0.1486829,1.08577,-1.342199,4.645635,-4.262922,0.9507412,0.6124907,1.085391,0.3692103,-0.6140133,0.5853863,0.006265637,-0.6240767,-4.445392,-0.1711718,0.7460065,1.473222,0.3287362,0.07775725,0.2314015,0.09410176,-1.246504,-0.04047139,-0.01555899,0.8153121,1.521604,0.1272272,0.5037952,0.9958144,0.2578345,302.3175,262.8955,345.8431
3,0.05555556,-0.0550717,-1.906912,-0.06489418,-1.510915,-4.353058,-3.063816,0.7036166,1.258484,0.415496,0.1974251,1.203625,-1.289176,4.651677,-4.240214,0.9487048,0.6107821,1.086253,0.3684688,-0.5751606,0.6103617,0.157341,-0.6179823,-4.429697,-0.1791437,0.7453935,1.473132,0.3288976,0.0651391,0.2516855,0.1070263,-1.24454,-0.03664177,-0.01714783,0.8152685,1.521754,0.1278618,0.5041116,0.996581,0.2537416,301.9358,260.0688,346.3351
3,0.06666667,-0.06161451,-1.95102,-0.1647523,-1.504336,-4.330217,-3.064769,0.7008777,1.259131,0.4159159,0.2149713,1.308336,-1.290024,4.658471,-4.217762,0.9472639,0.6088109,1.086859,0.3674025,-0.4978006,0.5438914,0.3703622,-0.6064891,-4.419452,-0.1848268,0.7448103,1.473255,0.3288855,0.07686497,0.2633631,0.1016281,-1.243663,-0.03311281,-0.01955106,0.8152626,1.52207,0.1284962,0.5041431,0.9984521,0.2513066,301.4268,257.5801,346.717
3,0.07777778,-0.08758426,-2.015269,-0.3009197,-1.494589,-4.30584,-3.064882,0.6990807,1.260485,0.4163494,0.2118935,1.471039,-1.279626,4.66843,-4.193657,0.9461104,0.6074874,1.08788,0.3669466,-0.4200371,0.3905106,0.3855107,-0.6016299,-4.420023,-0.1827807,0.744076,1.473164,0.3288501,0.0937034,0.2665329,0.07169464,-1.243685,-0.02978,-0.02222062,0.8152523,1.522173,0.1289531,0.5043058,0.9998686,0.248138,300.8626,254.9529,347.5903
3,0.08888889,-0.09802605,-1.97207,-0.3582561,-1.488266,-4.285768,-3.065413,0.6975515,1.260931,0.4166723,0.2032232,1.488289,-1.242948,4.675726,-4.174191,0.944919,0.6065407,1.088385,0.3659018,-0.3786775,0.3029902,0.3377126,-0.6004736,-4.419143,-0.1806025,0.7435033,1.473233,0.3291258,0.09449232,0.2772334,0.02908672,-1.244796,-0.02615903,-0.02432078,0.8149936,1.522269,0.1294304,0.5042275,1.002155,0.2464082,299.9436,251.9827,349.637
3,0.1,-0.1395325,-1.822285,-0.3405381,-1.486227,-4.272172,-3.068393,0.6963177,1.261053,0.4168968,0.2377041,1.311932,-1.151007,4.679969,-4.158959,0.9462581,0.605737,1.089292,0.3653248,-0.2128693,0.2226911,0.2308969,-0.6018824,-4.419212,-0.183516,0.742697,1.473111,0.3295169,0.066557,0.2550033,0.009032281,-1.245199,-0.02378962,-0.02494823,0.8146842,1.522237,0.1297919,0.5039992,1.004863,0.245361,298.6545,250.1631,351.1764
3,0.1111111,-0.4283969,-1.461894,-0.3060545,-1.485796,-4.259219,-3.074839,0.6953485,1.261174,0.4170307,0.3264824,1.115667,-1.106039,4.683011,-4.153905,0.9608477,0.6055126,1.09018,0.3647506,-0.1321117,0.2011635,0.1710433,-0.6022488,-4.416287,-0.1869941,0.7419491,1.472942,0.3298747,0.04943575,0.2401601,0.007010255,-1.245154,-0.02148985,-0.02566861,0.8143945,1.522324,0.1302933,0.5038347,1.007115,0.2437243,297.3229,249.4596,351.7158
3,0.1222222,-0.6740171,-1.128517,-0.2255588,-1.486757,-4.254645,-3.088245,0.695127,1.260888,0.4173825,0.5443065,0.8031964,-0.9294316,4.683233,-4.151131,0.9765617,0.6056612,1.091226,0.3650291,-0.03007011,0.1849201,0.1015204,-0.6036475,-4.413848,-0.1921431,0.74122,1.472936,0.3301293,0.03563904,0.2434098,0.01352473,-1.244578,-0.01841935,-0.02655145,0.814163,1.522396,0.1307355,0.5035625,1.009698,0.2430443,295.941,250.6432,351.1798
3,0.1333333,-0.6840225,-0.7531304,-0.06112373,-1.487628,-4.255137,-3.086396,0.6958017,1.260777,0.4177912,0.3725954,0.564381,-0.6930702,4.679222,-4.153547,0.9843923,0.6058564,1.091894,0.3646394,0.01886506,0.206131,0.07892296,-0.6039245,-4.408615,-0.1979227,0.7404928,1.472654,0.3303425,0.04320752,0.2518854,0.02306711,-1.244091,-0.01523581,-0.02843564,0.813849,1.522417,0.1312093,0.5024378,1.012786,0.243194,294.973,252.0696,350.7698
