loc,t,aDotUA,bDotUA,gDotUA,aUA,bUA,gUA,xUA,yUA,zUA,qE,qDotE,emgA,emgB,aDotSH,bDotSH,gDotSH,aSH,bSH,gSH,xSH,ySH,zSH,aDotUB,bDotUB,gDotUB,aUB,bUB,gUB,xUB,yUB,zUB,xHand,yHand,zHand,aHand,bHand,gHand,enable
2,0,-0.5180957,-1.148461,-0.03257197,4.710283,-4.110511,2.78379,0.6155104,1.148039,0.5018668,-1.840055,-0.135058,6.55,12.28,-0.5186877,0.4004071,0.1296785,-1.000281,-3.658819,-0.4510306,0.5722389,1.360357,0.4400206,-0.3470993,0.1660789,-0.05360371,-0.7341371,0.85265,-0.5614631,0.7311084,1.510767,0.3270526,0.4644309,1.026698,0.2992683,302.7332,245.8223,338.8838,True
2,0.01111111,-0.571376,-1.166134,-0.08882469,4.708448,-4.096723,2.792023,0.6129911,1.148156,0.4996843,-1.838959,0.1018124,5.96,12.12,-0.4688818,0.3256903,0.1275079,-0.9994396,-3.656995,-0.4485453,0.5722038,1.36127,0.438904,-0.3300281,0.1074966,-0.06107075,-0.7344551,0.8507313,-0.5569804,0.7318549,1.51111,0.3262279,0.4632456,1.027829,0.2951367,302.3578,246.3135,337.8639,True
2,0.02222222,-0.6439005,-1.169144,-0.1675591,4.70812,-4.082788,2.801314,0.6105629,1.148512,0.4975965,-1.839975,-0.09345092,5.45,11.94,-0.4351824,0.2126829,0.1241372,-0.9975306,-3.65802,-0.4441668,0.5722563,1.362255,0.4378703,-0.3195651,0.03820005,-0.09402484,-0.7354484,0.8469205,-0.5508943,0.7327961,1.511387,0.3254554,0.4627356,1.029754,0.2898597,301.8983,246.1524,337.0985,True
2,0.03333334,-0.6866039,-1.155708,-0.200606,4.706858,-4.070275,2.810049,0.6080638,1.148727,0.4956601,-1.839343,0.05900704,4.98,11.76,-0.4010915,0.1400033,0.1445235,-0.995227,-3.657685,-0.4412445,0.5727187,1.363206,0.4369371,-0.310423,-0.02265611,-0.1536127,-0.7373899,0.8411898,-0.5435821,0.7338815,1.51172,0.3245189,0.462832,1.032326,0.2837721,301.2605,245.6197,336.3286,True
2,0.04444445,-0.749671,-1.115865,-0.2540984,4.707738,-4.058433,2.820358,0.6056017,1.149341,0.4937716,-1.838797,0.04981032,4.53,11.6,-0.3095818,0.1101459,0.2466894,-0.990004,-3.653971,-0.4426605,0.5731356,1.364725,0.4362137,-0.2948893,-0.07390673,-0.2111697,-0.7399353,0.8349532,-0.536171,0.7350358,1.511955,0.323678,0.4634945,1.035455,0.2772982,300.5625,244.7885,335.6197,True
2,0.05555556,-0.792477,-1.076945,-0.2980249,4.708954,-4.046874,2.830451,0.6031231,1.149949,0.4919283,-1.839896,-0.1003907,4.12,11.45,-0.2645597,0.04678205,0.2936688,-0.9853041,-3.65288,-0.4414839,0.5733975,1.365992,0.4353776,-0.2877803,-0.1091556,-0.2548335,-0.742485,0.8290645,-0.5287768,0.73629,1.512304,0.3226316,0.4644795,1.039017,0.2708261,299.8021,243.7493,334.9482,True
2,0.06666667,-0.8750302,-0.9639688,-0.3904342,-1.569289,-4.037797,2.8426,0.6007642,1.151093,0.4902797,-1.83902,0.08126127,3.73,11.35,-0.253205,-0.1366472,0.3134096,-0.978374,-3.658832,-0.4358705,0.5739099,1.367342,0.4345212,-0.2980009,-0.1637014,-0.3334368,-0.746076,0.8197299,-0.5183231,0.7378104,1.512596,0.3215392,0.465411,1.042816,0.2647023,298.9799,242.8566,334.1461,True
2,0.07777778,-0.9084184,-0.8738585,-0.4315857,-1.565539,-4.029239,2.853473,0.5985174,1.152012,0.4884186,-1.839685,-0.06106054,3.37,11.25,-0.2907619,-0.3050219,0.3380339,-0.9707211,-3.665991,-0.4274427,0.5746173,1.368593,0.4337032,-0.3078233,-0.1914875,-0.3631128,-0.7489938,0.8126311,-0.509226,0.7391663,1.512969,0.3204687,0.4659422,1.046697,0.2591641,298.1684,241.943,333.5789,True
2,0.08888889,-0.9612693,-0.7071376,-0.4764908,-1.559514,-4.024979,2.865859,0.5963534,1.153373,0.4868124,-1.838279,0.1294392,3.03,11.15,-0.3001788,-0.3424993,0.3666028,-0.96428,-3.668816,-0.4218666,0.5750211,1.370043,0.4328423,-0.3293518,-0.2160968,-0.3916172,-0.7520874,0.8047,-0.499038,0.7406808,1.513213,0.3194091,0.4658801,1.050554,0.254393,297.355,240.981,333.3542,True
2,0.1,-1.00994,-0.5072366,-0.5014352,-1.553328,-4.023465,2.878283,0.5942802,1.154698,0.4854081,-1.839966,-0.1547218,2.71,11.07,-0.2473316,-0.2993817,0.4164763,-0.957939,-3.667072,-0.4218253,0.5755321,1.371485,0.4320285,-0.3509052,-0.2236487,-0.4191098,-0.755877,0.7977183,-0.4892909,0.7422161,1.51358,0.3183956,0.4650075,1.054376,0.2504908,296.6037,239.872,333.6167,True
2,0.1111111,-1.041311,-0.3753037,-0.50881,-1.547407,-4.022147,2.890901,0.5921606,1.156103,0.4840372,-1.839228,0.06913742,2.41,10.99,-0.2012756,-0.248449,0.4249321,-0.9530526,-3.665394,-0.4221339,0.5760986,1.372983,0.4311035,-0.3596692,-0.2237303,-0.445659,-0.7597775,0.7906268,-0.4799189,0.7438146,1.513829,0.3173528,0.4633035,1.058166,0.2474401,295.8563,239.0344,334.0216,True
2,0.1222222,-1.094203,-0.1849042,-0.5219414,-1.540375,-4.024312,2.904719,0.5899742,1.157765,0.4829841,-1.839659,-0.03971312,2.05,10.84,-0.2031248,-0.2347855,0.4485013,-0.94688,-3.665069,-0.4198117,0.5765494,1.374745,0.430316,-0.3610835,-0.2366069,-0.4839861,-0.7645786,0.7824662,-0.4696421,0.745695,1.514039,0.3161652,0.4606916,1.061965,0.2452263,295.1704,238.2661,334.6402,True
