loc,t,aDotUA,bDotUA,gDotUA,aUA,bUA,gUA,xUA,yUA,zUA,aDotE,bDotE,gDotE,aE,bE,gE,xE,yE,zE,aDotSH,bDotSH,gDotSH,aSH,bSH,gSH,xSH,ySH,zSH,aDotUB,bDotUB,gDotUB,aUB,bUB,gUB,xUB,yUB,zUB,xHand,yHand,zHand,aHand,bHand,gHand
2,0,-0.275075,-1.419764,-0.4224058,-1.436299,-4.220399,2.956931,0.720396,1.168868,0.4531391,-0.1437758,0.3137796,-1.432026,-1.502622,-4.116083,1.467617,0.6237661,1.041208,0.4047949,-0.1936934,0.122637,-0.003433036,-0.5622759,-4.224978,-0.2367675,0.7189376,1.370266,0.3636892,-0.04666802,0.1151592,-0.01326066,-0.9050514,0.09699672,-0.07240815,0.7949493,1.434487,0.2159526,0.5092708,1.006259,0.2707436,286.7629,243.9611,1.435623
2,0.01111111,-0.2938079,-1.409634,-0.4123042,-1.434103,-4.203928,2.958335,0.7182529,1.168946,0.4530799,-0.1602493,0.32394,-1.442754,-1.501101,-4.100115,1.46912,0.6220818,1.04149,0.4032843,-0.204305,0.133337,-0.003278602,-0.5627781,-4.22155,-0.237045,0.7183965,1.37019,0.3634276,-0.05301373,0.1183847,-0.01000621,-0.9051648,0.09871858,-0.0726473,0.7948313,1.43436,0.2157879,0.5092833,1.006677,0.2675245,286.6818,243.8257,0.6389747
2,0.02222222,-0.3261241,-1.369133,-0.4108458,-1.430278,-4.174441,2.962392,0.7140985,1.16929,0.4529254,-0.202878,0.3221755,-1.392018,-1.496956,-4.069478,1.472602,0.6186697,1.042065,0.4003994,-0.2191534,0.1322038,0.01170603,-0.5627835,-4.215986,-0.2363694,0.7173479,1.370057,0.362916,-0.05289867,0.1290332,-0.004679073,-0.9053656,0.102691,-0.07405852,0.7946136,1.434238,0.2156303,0.5090719,1.007565,0.2611062,286.5641,243.8995,358.6725
2,0.03333334,-0.3496649,-1.327865,-0.3974121,-1.428359,-4.160571,2.964508,0.7118977,1.169291,0.4527676,-0.2187007,0.3204181,-1.354374,-1.49519,-4.055753,1.47509,0.6169003,1.042594,0.3988707,-0.2382784,0.1332768,0.01928171,-0.5625758,-4.213122,-0.2355409,0.7167484,1.369972,0.3626547,-0.05483321,0.1439531,0.007058105,-0.9051019,0.1054073,-0.075156,0.7944797,1.43416,0.2155662,0.5086874,1.008044,0.2581897,286.5237,243.8679,357.8984
2,0.04444445,-0.407998,-1.248444,-0.4173861,-1.426189,-4.147734,2.965337,0.7095572,1.169261,0.4524562,-0.2022437,0.3133682,-1.308161,-1.491519,-4.043589,1.47964,0.6151316,1.043242,0.3976068,-0.262762,0.1505009,0.01104205,-0.5633901,-4.208975,-0.2352112,0.7160242,1.369885,0.3624332,-0.06749274,0.1578668,0.01250834,-0.904964,0.1081773,-0.07567558,0.7943445,1.434098,0.2156069,0.5080522,1.008754,0.2557061,286.5017,243.6194,357.4584
2,0.05555556,-0.4669054,-1.176533,-0.4376138,-1.423991,-4.133619,2.963758,0.7072955,1.169222,0.4521081,-0.1434676,0.3029516,-1.285588,-1.487536,-4.031751,1.484918,0.6132784,1.043755,0.3963571,-0.2777126,0.1634987,-0.005805943,-0.5646173,-4.205095,-0.2348557,0.7152344,1.369703,0.3621593,-0.07280128,0.1696077,0.00723999,-0.9052159,0.1109145,-0.07643485,0.7941015,1.433992,0.2156641,0.5073122,1.009631,0.2530554,286.4936,243.2834,357.0851
2,0.06666667,-0.4944491,-1.028839,-0.3856609,-1.421192,-4.124537,2.963871,0.705278,1.1692,0.4517155,-0.1227532,0.299913,-1.169833,-1.486139,-4.024314,1.490025,0.6112347,1.044379,0.3953054,-0.2947802,0.187209,-0.02894241,-0.5664725,-4.200418,-0.2349939,0.7143942,1.369558,0.3620131,-0.08650698,0.186725,0.01270278,-0.9050758,0.1143777,-0.07708679,0.7939372,1.433901,0.2156553,0.5061202,1.010775,0.2509611,286.4673,243.4538,356.4003
2,0.07777778,-0.5209777,-0.9325849,-0.3707998,-1.419592,-4.116147,2.966225,0.7032901,1.169252,0.4512491,-0.1525937,0.2815412,-1.073497,-1.483378,-4.016486,1.495369,0.6092106,1.044911,0.3940582,-0.3224626,0.2409271,-0.06560445,-0.5697801,-4.192943,-0.2366136,0.7134556,1.369326,0.3617105,-0.09597483,0.2006158,0.01705655,-0.9049587,0.1176965,-0.07779999,0.7938242,1.43386,0.2156422,0.5047932,1.011955,0.2490688,286.2386,244.4023,355.0069
2,0.08888889,-0.5463491,-0.8148179,-0.3412286,-1.417135,-4.111427,2.971802,0.701422,1.169134,0.4509339,-0.2339873,0.2821374,-0.9207195,-1.480565,-4.010512,1.501158,0.6070009,1.045147,0.3923817,-0.3264876,0.2652256,-0.04086171,-0.5702355,-4.185591,-0.2389742,0.7125111,1.369123,0.3614118,-0.1032106,0.2240931,0.02672309,-0.9045714,0.1221916,-0.07919335,0.7935679,1.433847,0.2158263,0.5031875,1.013064,0.2473326,285.9647,245.3342,353.8494
2,0.1,-0.5807465,-0.6923398,-0.3251415,-1.414418,-4.109448,2.980586,0.6995999,1.16896,0.4505484,-0.3592026,0.2925102,-0.7531322,-1.477216,-4.006195,1.50795,0.6045079,1.045821,0.3911736,-0.3633771,0.3162167,-0.007179225,-0.5703138,-4.17566,-0.2419018,0.7116371,1.368992,0.3610907,-0.1115211,0.2358359,0.04172352,-0.9037586,0.1258665,-0.08003465,0.7935081,1.433851,0.2158906,0.5011584,1.014497,0.246141,285.7708,245.938,353.299
