loc,t,aDotUA,bDotUA,gDotUA,aUA,bUA,gUA,xUA,yUA,zUA,qE,qDotE,aDotSH,bDotSH,gDotSH,aSH,bSH,gSH,xSH,ySH,zSH,aDotUB,bDotUB,gDotUB,aUB,bUB,gUB,xUB,yUB,zUB,xHand,yHand,zHand,aHand,bHand,gHand,enable
1,0,-0.2118522,-1.631995,-0.2207852,-1.507,-4.213944,-3.124763,0.6851539,1.12195,0.4747498,-1.467381,0.02343943,-0.3146344,0.1547156,-0.004915247,-0.6173239,-4.416449,-0.03576226,0.7291384,1.351954,0.4103763,-0.0626644,0.2134148,0.0903836,-0.9765013,0.2059192,-0.3722945,0.838236,1.384009,0.2517684,0.492713,0.9909711,0.2868941,300.0787,250.903,341.6831,False
1,0.01111111,-0.2566978,-1.61197,-0.2400486,-1.503173,-4.196867,-3.121604,0.6831051,1.122201,0.4745216,-1.467154,0.02078491,-0.2892738,0.154847,-0.03069764,-0.6186678,-4.413331,-0.03603044,0.728588,1.351903,0.4102674,-0.06164049,0.2102087,0.08718954,-0.9764054,0.2088609,-0.373302,0.8380979,1.383926,0.2519271,0.4930698,0.9915452,0.2843339,299.8873,248.1529,343.4119,False
1,0.02222222,-0.2888537,-1.54505,-0.2595929,-1.499303,-4.181891,-3.118326,0.6811526,1.1226,0.4742036,-1.466182,0.08896457,-0.2818725,0.1548788,-0.03714939,-0.619332,-4.410163,-0.03569062,0.7281867,1.35196,0.4101362,-0.05208321,0.2059155,0.08392845,-0.9764032,0.2120321,-0.3750349,0.8380498,1.383784,0.2522697,0.4941995,0.9920723,0.2805391,299.7772,246.4698,343.8905,False
1,0.03333334,-0.3006249,-1.513068,-0.2523209,-1.496366,-4.166368,-3.115721,0.6791754,1.122974,0.4738948,-1.46628,-0.009406335,-0.279703,0.1537511,-0.03185207,-0.6195199,-4.407346,-0.03492043,0.7277534,1.351998,0.4100008,-0.04787344,0.1973697,0.08282489,-0.9764193,0.2144877,-0.3760074,0.8379787,1.383789,0.2523954,0.4959136,0.9925733,0.275852,299.7045,244.8017,343.9679,False
1,0.04444445,-0.3123798,-1.481084,-0.2451021,-1.493315,-4.151076,-3.113178,0.677296,1.123335,0.4735076,-1.466644,-0.03284317,-0.2624852,0.127771,0.002913799,-0.618336,-4.406308,-0.03343838,0.7275479,1.352069,0.4097981,-0.04808518,0.1824452,0.07006677,-0.9766211,0.2165608,-0.3762354,0.8378974,1.383837,0.2523723,0.4979309,0.9931145,0.2707079,299.6522,242.9499,343.9716,False
1,0.05555556,-0.3583615,-1.413007,-0.2465528,-1.489847,-4.137418,-3.108719,0.6758457,1.123637,0.4731247,-1.46759,-0.08595559,-0.2421589,0.08580525,0.03643113,-0.6168392,-4.407073,-0.03082822,0.7272392,1.352126,0.4096279,-0.04406123,0.1621636,0.05194899,-0.9771212,0.2179504,-0.3768442,0.8378338,1.383926,0.2525885,0.4999555,0.9937923,0.265612,299.6107,241.146,343.9055,False
1,0.06666667,-0.371509,-1.259623,-0.2464574,-1.486503,-4.128042,-3.104692,0.6741688,1.123951,0.4727368,-1.467964,-0.03346936,-0.2325553,0.0728842,0.04582019,-0.6160706,-4.406215,-0.02913924,0.7269268,1.352165,0.4094493,-0.04749759,0.1525634,0.03282073,-0.9777524,0.2195521,-0.3766927,0.8378057,1.383952,0.2525804,0.501836,0.9946526,0.2609503,299.4913,239.5523,343.8506,False
1,0.07777778,-0.3685409,-1.127344,-0.2206626,-1.484529,-4.119776,-3.101384,0.6726575,1.124298,0.4724643,-1.466404,0.1431095,-0.2230445,0.07614134,0.03511778,-0.6160477,-4.404416,-0.02839223,0.726625,1.352137,0.4092796,-0.04651054,0.1525519,0.02749143,-0.9781551,0.2216766,-0.3769603,0.8377337,1.383764,0.2524915,0.5034885,0.9956584,0.2569418,299.261,238.123,343.9499,False
1,0.08888889,-0.3784314,-0.9556471,-0.1876341,-1.483298,-4.114243,-3.097219,0.6713088,1.124575,0.4721253,-1.46726,-0.07926482,-0.2262437,0.0911461,0.02676542,-0.616036,-4.40189,-0.02774268,0.7264992,1.352223,0.4091172,-0.04116479,0.1567831,0.02742754,-0.9786712,0.2238254,-0.3778363,0.8376452,1.383522,0.2523534,0.5047024,0.9967737,0.2536516,299.0223,236.8325,344.1599,False
1,0.1,-0.3915384,-0.7958067,-0.1800833,-1.481347,-4.110713,-3.092646,0.6699759,1.124923,0.4720647,-1.468423,-0.1052453,-0.2176238,0.09848672,0.0342181,-0.6154618,-4.399684,-0.02741059,0.7263151,1.352219,0.4090209,-0.04229472,0.1546582,0.02424586,-0.9791016,0.2258594,-0.3781076,0.8375679,1.383449,0.2523282,0.5051049,0.9979845,0.251121,298.7976,235.8124,344.321,False
1,0.1111111,-0.4056404,-0.6840411,-0.1903646,-1.478549,-4.106186,-3.088125,0.6687342,1.125162,0.4716666,-1.468075,0.03265725,-0.1994298,0.09080431,0.04890698,-0.6144605,-4.398355,-0.02684173,0.7262439,1.352233,0.4087446,-0.03290867,0.1396964,0.0103544,-0.979705,0.2272457,-0.3787015,0.8375645,1.383564,0.252526,0.5047555,0.9993058,0.2494535,298.5456,235.2328,344.4232,False
1,0.1222222,-0.4100294,-0.6265789,-0.1992459,-1.475762,-4.101228,-3.083893,0.6674314,1.125479,0.4713256,-1.467943,0.01174652,-0.1876839,0.07036805,0.06352974,-0.613227,-4.398172,-0.02531707,0.7261999,1.352292,0.4085619,-0.02471272,0.1108485,-0.01205903,-0.9807543,0.2268606,-0.3785138,0.837641,1.383516,0.2523825,0.5036828,1.000708,0.2485621,298.2725,234.9585,344.5811,False
1,0.1333333,-0.4187182,-0.5713717,-0.2262256,-1.471967,-4.096478,-3.079346,0.6662895,1.125706,0.4708383,-1.468062,-0.01069216,-0.1611,0.02210607,0.08415705,-0.6115246,-4.400623,-0.02246323,0.7262979,1.352312,0.408386,-0.01233423,0.07666172,-0.03660946,-0.9816577,0.2260626,-0.3779284,0.8375895,1.383528,0.2521961,0.5020123,1.002181,0.2483451,297.953,234.7351,344.9873,False
1,0.1444445,-0.4219958,-0.5459334,-0.2455579,-1.468213,-4.09147,-3.075048,0.665094,1.126057,0.4704678,-1.468469,-0.03707379,-0.1316101,-0.03548421,0.07590425,-0.6109456,-4.404704,-0.01865358,0.7263726,1.352319,0.4082904,-0.007212751,0.05850113,-0.05049102,-0.982781,0.2255283,-0.3776906,0.8376615,1.383465,0.2520144,0.4999951,1.003672,0.2485141,297.5832,234.5133,345.6699,False
1,0.1555556,-0.4349784,-0.479068,-0.2800589,-1.463641,-4.0883,-3.069989,0.6642609,1.126503,0.4701114,-1.468334,0.01268168,-0.1108097,-0.08319549,0.04224776,-0.6116344,-4.408678,-0.01477122,0.7264085,1.352306,0.4080918,-0.006228037,0.05636135,-0.05794276,-0.9837158,0.2259769,-0.377811,0.8376027,1.383566,0.2520766,0.4979541,1.005137,0.2487699,297.1987,234.2874,346.4422,False
