loc,t,aDotUA,bDotUA,gDotUA,aUA,bUA,gUA,xUA,yUA,zUA,qE,qDotE,emgA,emgB,aDotSH,bDotSH,gDotSH,aSH,bSH,gSH,xSH,ySH,zSH,aDotUB,bDotUB,gDotUB,aUB,bUB,gUB,xUB,yUB,zUB,xHand,yHand,zHand,aHand,bHand,gHand,enable
3,0,-0.2784176,-0.6059421,0.285104,-1.410299,-4.192857,-2.945109,0.6669053,1.313501,0.4938436,-1.16024,0.008821215,4.3,0,-0.2870281,0.2593097,-0.1239017,-0.5191476,-4.203743,-0.1715576,0.7285265,1.571096,0.3974161,-0.1527985,0.2073652,0.003980858,-0.6768371,0.2637563,0.03274117,0.8351597,1.623243,0.208508,0.4444335,1.11781,0.3000553,307.8303,237.521,352.8594,False
3,0.01111111,-0.2784176,-0.6059421,0.285104,-1.410299,-4.192857,-2.945109,0.6669053,1.313501,0.4938436,-1.160477,-0.02174735,4.3,0,-0.2870281,0.2593097,-0.1239017,-0.5191476,-4.203743,-0.1715576,0.7285265,1.571096,0.3974161,-0.1527985,0.2073652,0.003980858,-0.6768371,0.2637563,0.03274117,0.8351597,1.623243,0.208508,0.443265,1.118019,0.2975092,307.7559,237.009,353.2806,False
3,0.02222222,-0.2765012,-0.5580451,0.2762734,-1.411986,-4.187684,-2.942983,0.6653391,1.313139,0.4929397,-1.163584,-0.283855,5.3,0,-0.2880269,0.2497052,-0.1164591,-0.5205595,-4.199073,-0.1723992,0.7276987,1.570831,0.3974013,-0.1612673,0.2148277,0.009395391,-0.6764206,0.2679606,0.03151665,0.834951,1.623281,0.2088702,0.4426531,1.118471,0.2946485,307.5675,236.4977,353.2828,False
3,0.03333334,-0.2746824,-0.5302604,0.2655897,-1.414631,-4.176658,-2.938761,0.6622877,1.312426,0.4910941,-1.157509,0.5578414,5.3,0,-0.2858467,0.2378713,-0.109208,-0.5231301,-4.19126,-0.1728924,0.7260057,1.570422,0.3972387,-0.1697655,0.2148785,0.00836608,-0.6762725,0.2757311,0.02967188,0.8346069,1.623182,0.2094545,0.4425504,1.119089,0.2919688,307.2204,236.1778,352.8984,False
3,0.04444445,-0.2652133,-0.4868584,0.237461,-1.41584,-4.171413,-2.936646,0.6607112,1.312159,0.4902494,-1.160173,-0.2485326,5.3,0,-0.2793044,0.2198019,-0.09316976,-0.5241783,-4.187135,-0.173506,0.7250632,1.570216,0.397181,-0.1806124,0.2127854,-0.01176329,-0.6769415,0.2793306,0.02914191,0.8344257,1.623165,0.2097819,0.4416938,1.11936,0.2884648,307.1553,236.1101,352.5891,False
3,0.05555556,-0.2558229,-0.4571106,0.2127645,-1.41648,-4.167469,-2.934685,0.6592208,1.311969,0.489496,-1.161081,-0.08025029,5.3,0,-0.2845099,0.2112352,-0.0793021,-0.5248723,-4.18325,-0.173531,0.7241684,1.570103,0.3970866,-0.1903235,0.2128456,-0.02766622,-0.677774,0.2832339,0.02861939,0.8342247,1.623185,0.2101028,0.4410538,1.119758,0.2847344,307.0357,235.7235,352.44,False
3,0.06666667,-0.2432327,-0.4338216,0.1817038,-1.416551,-4.163065,-2.933028,0.6577596,1.311832,0.4888289,-1.16103,0.005188528,5.3,0,-0.2854123,0.1983999,-0.06122025,-0.5251498,-4.179922,-0.1733092,0.7231749,1.569876,0.3970001,-0.195656,0.2107293,-0.02762727,-0.6779401,0.2868944,0.02814189,0.8340577,1.623179,0.2103937,0.4407225,1.120323,0.2811385,306.834,235.2284,352.187,False
3,0.07777778,-0.2327925,-0.4008478,0.1591331,-1.41699,-4.160105,-2.931112,0.6562879,1.311824,0.4883237,-1.161359,-0.03024462,5.3,0,-0.2832696,0.1845514,-0.0612755,-0.526076,-4.17733,-0.1725888,0.7222468,1.569855,0.3969252,-0.2031012,0.2107354,-0.02543711,-0.6780089,0.2904976,0.02789448,0.8338792,1.623153,0.2106471,0.4405343,1.121001,0.277875,306.6149,234.7817,351.833,False
3,0.08888889,-0.2275915,-0.3849778,0.1398551,-1.417118,-4.156073,-2.929321,0.6547616,1.311797,0.4877267,-1.161591,-0.02092178,6.9,0,-0.2831931,0.185596,-0.05275272,-0.5267333,-4.173309,-0.1730804,0.7214137,1.569844,0.3967917,-0.2127131,0.2086356,-0.02749369,-0.6782443,0.2941693,0.02780127,0.8336209,1.623016,0.210885,0.4402858,1.121714,0.2751049,306.3969,234.3728,351.5287,False
3,0.1,-0.2129017,-0.3905755,0.0717477,-1.415334,-4.148169,-2.925684,0.6517143,1.312315,0.486825,-1.161515,0.007056537,6.9,0,-0.3031619,0.1908126,-0.01848295,-0.5266646,-4.164089,-0.1736972,0.719766,1.569962,0.3965762,-0.2149404,0.1862957,-0.03390714,-0.6788531,0.2998106,0.02827824,0.8332007,1.622781,0.2114978,0.439845,1.12239,0.272907,306.214,233.9964,351.3587,False
3,0.1111111,-0.2129017,-0.3905755,0.0717477,-1.415334,-4.148169,-2.925684,0.6517143,1.312315,0.486825,-1.159016,0.2283835,6.9,0,-0.3031619,0.1908126,-0.01848295,-0.5266646,-4.164089,-0.1736972,0.719766,1.569962,0.3965762,-0.2149404,0.1862957,-0.03390714,-0.6788531,0.2998106,0.02827824,0.8332007,1.622781,0.2114978,0.4388722,1.122931,0.2711404,306.1526,233.753,351.2794,False
3,0.1222222,-0.2108536,-0.4047243,0.02173614,-1.411964,-4.13919,-2.922584,0.6484714,1.312883,0.4856226,-1.163621,-0.4230157,8.1,0,-0.2952209,0.1512433,0.03779731,-0.5243593,-4.159271,-0.1717001,0.7182247,1.570391,0.3962777,-0.2141901,0.1469562,-0.06489795,-0.6813357,0.302847,0.03059626,0.8329809,1.622622,0.2118828,0.4372914,1.123431,0.2695172,306.234,233.4711,351.4543,False
3,0.1333333,-0.2151371,-0.4145284,-0.004819689,-1.409894,-4.133984,-2.920932,0.6470346,1.313322,0.4852438,-1.159461,0.3842231,8.1,0,-0.2843308,0.1256011,0.06427401,-0.5227146,-4.15801,-0.1702098,0.7175304,1.570612,0.3961301,-0.2102308,0.1129471,-0.09588932,-0.6834832,0.3030467,0.03255395,0.8329201,1.622583,0.2119837,0.4360751,1.124171,0.2686363,306.0524,233.2411,351.6913,False
3,0.1444445,-0.2163378,-0.3987354,-0.03476059,-1.407385,-4.130645,-2.919202,0.6454869,1.313799,0.4847248,-1.161372,-0.1784904,8.1,0,-0.2703164,0.1031833,0.08327305,-0.5211199,-4.156926,-0.1686817,0.7168897,1.570916,0.3959558,-0.2102937,0.1001846,-0.1001786,-0.6846753,0.3043393,0.03392921,0.8328935,1.622464,0.2121005,0.4343101,1.124821,0.267597,306.1115,232.842,352.1727,False
3,0.1555556,-0.2185637,-0.3871202,-0.04867349,-1.405506,-4.126928,-2.917186,0.6440196,1.314288,0.4843173,-1.161403,-0.0009193167,8.1,0,-0.2660393,0.0967845,0.08535251,-0.5202741,-4.154974,-0.1675296,0.7161582,1.57101,0.3957932,-0.2136102,0.07677712,-0.1097963,-0.6862918,0.3042246,0.03653937,0.8328353,1.622348,0.2121456,0.4326363,1.125608,0.2665854,306.0359,232.3657,352.7247,False
3,0.1666667,-0.2229855,-0.3638549,-0.07437744,-1.402939,-4.124357,-2.91505,0.6425632,1.31489,0.4838493,-1.161536,-0.01233203,8.1,0,-0.2616346,0.08928174,0.1023461,-0.5184935,-4.152916,-0.1666968,0.7156557,1.571359,0.3955431,-0.2136571,0.06400241,-0.1119518,-0.687478,0.3047809,0.0385442,0.8326939,1.62239,0.2122715,0.4313042,1.126564,0.2656567,305.8844,231.9777,353.0958,False
