loc,t,aDotUA,bDotUA,gDotUA,aUA,bUA,gUA,xUA,yUA,zUA,qE,qDotE,emgA,emgB,aDotSH,bDotSH,gDotSH,aSH,bSH,gSH,xSH,ySH,zSH,aDotUB,bDotUB,gDotUB,aUB,bUB,gUB,xUB,yUB,zUB,xHand,yHand,zHand,aHand,bHand,gHand,enable
0,0,0.2200756,-0.4474809,0.04718343,-1.466012,-4.294055,2.900501,0.6820657,1.131216,0.4584627,-1.733494,-0.04247713,5,9.1,-0.2287835,0.4301683,0.08731066,-1.040098,-3.693052,-0.7946769,0.6117096,1.323392,0.3558855,-0.2499855,0.2259493,0.4149234,-0.2968189,0.8652445,-0.5463174,0.6831735,1.43175,0.2175865,0.4889342,1.010304,0.2870793,298.8405,247.5431,346.4379,False
0,0.01111111,0.214793,-0.484754,0.05372667,-1.4683,-4.287646,2.897681,0.6804073,1.130317,0.4581327,-1.733075,0.0386553,5,9.1,-0.2382078,0.4428781,0.1002629,-1.042986,-3.687536,-0.7945903,0.6102371,1.3222,0.3554089,-0.2422577,0.2494116,0.4425324,-0.2935794,0.8866642,-0.5643808,0.6818469,1.43128,0.2175941,0.4883292,1.009441,0.2855767,298.7359,245.9073,347.6583,False
0,0.02222222,0.198859,-0.5231167,0.05709978,-1.470806,-4.280811,2.895306,0.6786126,1.12923,0.4576828,-1.732783,0.02633914,4.2,9.6,-0.2530272,0.4823529,0.09856866,-1.047126,-3.681117,-0.7946319,0.608533,1.321037,0.3547227,-0.2305135,0.2781442,0.438136,-0.291809,0.9074628,-0.5821065,0.6806892,1.430814,0.2176218,0.4879067,1.00825,0.2838551,298.7824,245.5382,347.6782,False
0,0.03333334,0.1594945,-0.565818,0.04769944,-1.472914,-4.273371,2.894033,0.6768767,1.128207,0.4574077,-1.732702,0.007228661,4.2,9.6,-0.2754316,0.5176653,0.08518216,-1.051715,-3.674966,-0.7938838,0.6070956,1.320023,0.3540673,-0.223399,0.281268,0.3965159,-0.2911027,0.9225078,-0.594111,0.6796013,1.430298,0.2176299,0.4877113,1.006743,0.281979,298.9619,245.4543,347.3274,False
0,0.04444445,0.1414091,-0.5892886,0.04460962,-1.475038,-4.266537,2.89234,0.6751678,1.127149,0.4569037,-1.732271,0.03943454,4.2,9.6,-0.2807612,0.5134401,0.08307391,-1.054982,-3.669838,-0.7934737,0.6056387,1.319107,0.3532662,-0.2215271,0.2737639,0.3666852,-0.2900731,0.9365919,-0.6051538,0.6785826,1.429763,0.2175784,0.4877284,1.004988,0.2800025,299.2326,245.276,346.9907,False
0,0.05555556,0.1148341,-0.6384003,0.02670931,-1.476901,-4.258012,2.891105,0.6734265,1.126268,0.4564793,-1.731186,0.09889778,4.2,9.6,-0.2891882,0.4760189,0.1041788,-1.056596,-3.665044,-0.7923578,0.6043364,1.318183,0.3526092,-0.2143598,0.2609306,0.3346814,-0.2893162,0.9493941,-0.6151489,0.6775086,1.42927,0.217541,0.4878374,1.003054,0.2779306,299.5471,245.0372,346.6721,False
0,0.06666667,0.1010394,-0.6853634,0.008800708,-1.478714,-4.249088,2.88952,0.671677,1.125425,0.4560046,-1.731737,-0.05104122,4.2,9.6,-0.2976281,0.4503679,0.1189828,-1.058305,-3.660121,-0.7913666,0.6028718,1.317242,0.3520186,-0.2143925,0.2545367,0.3325624,-0.2878057,0.9645925,-0.6273028,0.6764446,1.428695,0.2174721,0.4879974,1.001094,0.2758184,299.9086,244.7322,346.394,False
0,0.07777778,0.07449146,-0.7579555,-0.01965571,-1.480242,-4.238174,2.888625,0.6699776,1.124605,0.4555027,-1.731393,0.03211772,5.9,10.4,-0.3061092,0.451423,0.1233281,-1.060779,-3.654846,-0.7902526,0.6017054,1.316276,0.3514121,-0.204743,0.2641193,0.3388599,-0.2866062,0.9826138,-0.6425065,0.6754937,1.428182,0.2173905,0.4881376,0.999247,0.273694,300.2536,244.4346,346.1534,False
0,0.08888889,0.04897708,-0.8124354,-0.04605151,-1.481739,-4.227198,2.887888,0.6681609,1.123744,0.455122,-1.731849,-0.04192421,5.9,10.4,-0.2899901,0.4758335,0.1308282,-1.064095,-3.648311,-0.7908432,0.6005671,1.315332,0.3507972,-0.1961773,0.2566452,0.3483935,-0.2846589,0.9990868,-0.6562391,0.6744468,1.427598,0.2173948,0.4883168,0.9976473,0.2715618,300.5625,244.0894,345.9913,False
0,0.1,0.03196666,-0.8412549,-0.05445248,-1.483455,-4.21699,2.887148,0.6665548,1.122772,0.4547257,-1.731227,0.0574713,5.9,10.4,-0.2623967,0.4950649,0.113678,-1.067961,-3.642788,-0.791513,0.5995771,1.31439,0.3502955,-0.186429,0.2481338,0.3706994,-0.2822759,1.017022,-0.6717416,0.6736619,1.427165,0.2173903,0.4885744,0.9963615,0.2693866,300.7578,243.7154,345.8806,False
0,0.1111111,0.01597537,-0.8252411,-0.03959406,-1.485791,-4.208489,2.886657,0.6650022,1.121726,0.4543815,-1.731204,0.001700041,5.9,10.4,-0.232733,0.5111428,0.09009564,-1.07219,-3.637718,-0.7922862,0.5987943,1.313587,0.3498986,-0.1814112,0.2470028,0.3323148,-0.2821161,1.030174,-0.6824494,0.6730279,1.426735,0.2172697,0.4889689,0.9953879,0.2670844,300.8339,243.263,345.8091,False
0,0.1222222,0.01595201,-0.8038695,-0.02369722,-1.488167,-4.200572,2.885815,0.6634945,1.120739,0.454004,-1.731511,-0.0278676,5.9,10.4,-0.2201483,0.4973968,0.07176918,-1.075686,-3.633494,-0.7922481,0.5979839,1.312824,0.3494041,-0.1742279,0.2362882,0.3013821,-0.2816937,1.041857,-0.6919239,0.6726202,1.42637,0.2170942,0.4894479,0.9946745,0.2646207,300.7956,242.7725,345.6546,False
0,0.1333333,0.004174903,-0.7558378,0.002752885,-1.490826,-4.194317,2.885698,0.6619918,1.119913,0.4535968,-1.731653,-0.01267791,13.9,10.4,-0.2162633,0.4101717,0.05404131,-1.076928,-3.631984,-0.7907444,0.5974144,1.312666,0.3489547,-0.1596718,0.2148923,0.262949,-0.2813757,1.050569,-0.698936,0.6722062,1.426165,0.2168884,0.4899848,0.9941356,0.2620713,300.6656,242.3548,345.3463,False
0,0.1444445,-0.004386544,-0.7142115,0.0249713,-1.49355,-4.188169,2.88547,0.6606386,1.119164,0.4530747,-1.732237,-0.0531868,13.9,10.4,-0.2194767,0.3504353,0.06747229,-1.077668,-3.629241,-0.7895993,0.5968183,1.312135,0.3483791,-0.1481808,0.1850087,0.2426591,-0.2804671,1.058231,-0.705021,0.6718605,1.42588,0.2166264,0.490465,0.9936672,0.2595443,300.5173,242.0627,344.8972,False
0,0.1555556,-0.01613174,-0.6929249,0.02382091,-1.49551,-4.181481,2.885517,0.6594356,1.118604,0.4524794,-1.73186,0.03498546,13.9,10.4,-0.2173475,0.2618228,0.09236345,-1.076338,-3.627792,-0.7879596,0.5964702,1.311975,0.3478994,-0.1240136,0.1188708,0.2180644,-0.2785645,1.059961,-0.7061153,0.6714504,1.425892,0.216383,0.4908293,0.9931925,0.2571518,300.4116,241.8303,344.4382,False
0,0.1666667,-0.02572339,-0.6908641,0.01104195,-1.497208,-4.173895,2.885473,0.6581001,1.118119,0.4519429,-1.732068,-0.01925558,13.9,10.4,-0.2150992,0.2254367,0.1144452,-1.0761,-3.624971,-0.7871692,0.5958563,1.311718,0.3475766,-0.1102455,0.09433305,0.2147976,-0.2769879,1.066906,-0.7119514,0.671039,1.425738,0.2162607,0.4909868,0.9926976,0.2549774,300.4,241.6876,344.0058,False
0,0.1777778,-0.04170141,-0.6962857,-0.007041261,-1.498511,-4.166126,2.885901,0.6571189,1.117854,0.4513083,-1.731922,0.0135952,42.3,9.3,-0.2072958,0.2261973,0.1527343,-1.075717,-3.620562,-0.7872754,0.5956943,1.311749,0.34724,-0.09873132,0.04635218,0.2019881,-0.2749501,1.068267,-0.7125785,0.6708881,1.425814,0.2161164,0.4910268,0.9922264,0.2530706,300.4259,241.5942,343.7163,False
0,0.1888889,-0.07046934,-0.689988,-0.02089808,-1.499813,-4.158761,2.887011,0.6563189,1.117723,0.4507258,-1.732066,-0.01317909,42.3,9.3,-0.1975383,0.2730176,0.1572442,-1.077978,-3.615458,-0.7878618,0.5956899,1.311823,0.3470085,-0.09351899,0.03780939,0.1902407,-0.2738603,1.073528,-0.7166785,0.6707926,1.425853,0.2160854,0.4910729,0.9918202,0.251385,300.4643,241.4291,343.6192,False
0,0.2,-0.1088762,-0.6485027,-0.02532145,-1.500888,-4.153035,2.889027,0.6558735,1.117856,0.4502311,-1.731742,0.02987534,42.3,9.3,-0.1720108,0.2858087,0.1475089,-1.079693,-3.611757,-0.788644,0.5957652,1.31218,0.3468204,-0.0877721,0.0227748,0.1135104,-0.2746534,1.070457,-0.7129468,0.6711502,1.426227,0.2160094,0.4912107,0.9915071,0.2498196,300.4998,241.2179,343.6045,False
0,0.2111111,-0.1409045,-0.5963745,-0.03084888,-1.501672,-4.148061,2.891313,0.6554333,1.118029,0.4498684,-1.731222,0.04737649,42.3,9.3,-0.1443343,0.2654672,0.1513738,-1.079992,-3.608502,-0.7894531,0.5957539,1.312549,0.3467402,-0.08800324,0.009956107,0.08902697,-0.2742832,1.070019,-0.7114283,0.6712488,1.426505,0.2159364,0.4915833,0.9913498,0.2482977,300.5483,240.9947,343.6164,False
0,0.2222222,-0.200683,-0.4877368,-0.01742327,-1.502516,-4.146192,2.895278,0.6554573,1.118642,0.4495738,-1.730608,0.05585856,42.3,9.3,-0.09446463,0.1737009,0.1545087,-1.077897,-3.607857,-0.7904089,0.5960753,1.313314,0.3467062,-0.07077506,-0.03922488,-0.007985942,-0.2754417,1.055839,-0.6975088,0.6718365,1.426889,0.215764,0.4922079,0.9914168,0.2467477,300.6168,240.7617,343.5743,False
0,0.2333333,-0.2626797,-0.3140295,0.01595359,-1.503185,-4.148434,2.900388,0.6560823,1.119745,0.4496043,-1.730609,-0.0003366098,92.2,7.5,-0.05475232,0.03224038,0.1094225,-1.07503,-3.611358,-0.7894845,0.5965776,1.314402,0.3470244,-0.05303456,-0.06381838,-0.04751028,-0.27583,1.047772,-0.6897007,0.6721801,1.427404,0.2157335,0.4930033,0.9917981,0.2451718,300.6796,240.4902,343.4717,False
