loc,t,aDotUA,bDotUA,gDotUA,aUA,bUA,gUA,xUA,yUA,zUA,qE,qDotE,emgA,emgB,aDotSH,bDotSH,gDotSH,aSH,bSH,gSH,xSH,ySH,zSH,aDotUB,bDotUB,gDotUB,aUB,bUB,gUB,xUB,yUB,zUB,xHand,yHand,zHand,aHand,bHand,gHand,enable
1,0,0.009045921,-0.6595883,0.1673013,-1.504173,-4.245354,-3.103832,0.6724425,1.164165,0.4676073,-1.277071,0.04921234,25,8.6,-0.1395163,0.5858478,0.04375078,-0.8476804,-4.096395,-0.4451881,0.6624385,1.375385,0.3913941,-0.09428805,0.2521163,0.3871154,-0.6662728,0.4963282,-0.225504,0.7420406,1.468048,0.2515817,0.4902616,0.9893215,0.289629,309.2076,248.9046,343.0622,False
1,0.01111111,-0.00599492,-0.6191079,0.1745874,-1.506016,-4.239864,-3.103387,0.6709658,1.163525,0.4668806,-1.277532,-0.04234854,25,8.6,-0.1428648,0.5603688,0.03502575,-0.8498904,-4.089955,-0.4477591,0.6612285,1.374942,0.3910134,-0.1028603,0.2489396,0.3829287,-0.6628293,0.502034,-0.228504,0.7410449,1.468039,0.251565,0.4895572,0.989054,0.2876385,309.1319,247.2076,344.4859,False
1,0.02222222,-0.01569539,-0.5668964,0.1839425,-1.508019,-4.235285,-3.103205,0.6696047,1.162849,0.4661503,-1.277315,0.02033179,25,8.6,-0.1441356,0.5499111,0.01363466,-0.8529146,-4.083447,-0.4504029,0.6599941,1.374541,0.390661,-0.1028834,0.2500039,0.3786583,-0.6595931,0.5080124,-0.2321427,0.7400939,1.467965,0.2515061,0.4892081,0.9886177,0.2852423,309.1402,246.663,344.5628,False
1,0.03333334,-0.02430231,-0.5349232,0.1923357,-1.510241,-4.230254,-3.102901,0.6680438,1.162333,0.4654298,-1.277335,-0.001874573,25,8.6,-0.1445179,0.5129151,-0.01864994,-0.8561253,-4.078835,-0.451739,0.6588089,1.374185,0.3902464,-0.1031593,0.2414517,0.3477768,-0.6574115,0.5129018,-0.2348399,0.7392073,1.467938,0.2514508,0.4891843,0.9880781,0.2825322,309.238,246.3976,344.2097,False
1,0.04444445,-0.03722433,-0.4773894,0.2038062,-1.512631,-4.226644,-3.102197,0.6667221,1.161658,0.4646406,-1.277863,-0.0481342,25,8.6,-0.1448388,0.4523234,-0.03303586,-0.8581488,-4.075665,-0.4521155,0.6576392,1.373925,0.3898823,-0.1119326,0.2329226,0.3201616,-0.6553507,0.5175104,-0.2369108,0.7382596,1.467901,0.2513537,0.4893337,0.9874735,0.2796747,309.341,246.0865,343.7876,False
1,0.05555556,-0.03943982,-0.4486102,0.2100752,-1.514838,-4.222404,-3.101818,0.6654698,1.16103,0.4638107,-1.277938,-0.006311652,39.6,7.5,-0.140736,0.4214607,-0.03868828,-0.8603134,-4.071632,-0.4532362,0.6564158,1.373577,0.3894141,-0.1196886,0.2297159,0.2850647,-0.6540324,0.5221836,-0.2389846,0.7374629,1.467889,0.25126,0.4895294,0.9868636,0.2768787,309.4502,245.7897,343.3369,False
1,0.06666667,-0.0469679,-0.4155772,0.216338,-1.517338,-4.218797,-3.101226,0.6642584,1.160627,0.4630032,-1.277776,0.01491462,39.6,7.5,-0.1322066,0.4053878,-0.03144319,-0.8621611,-4.066945,-0.4550954,0.6552866,1.373405,0.3890173,-0.1220399,0.2286312,0.2584516,-0.6526998,0.5270432,-0.2413801,0.7366512,1.467892,0.2511275,0.4896162,0.9862952,0.2742593,309.5734,245.5321,342.926,False
1,0.07777778,-0.05131869,-0.3793402,0.2247122,-1.5199,-4.215552,-3.100675,0.663133,1.16034,0.4621489,-1.278187,-0.03766201,39.6,7.5,-0.1214548,0.3699698,-0.005231965,-0.8630086,-4.062812,-0.4567494,0.6541531,1.373157,0.3886442,-0.1264379,0.2275608,0.2425086,-0.6510976,0.5318925,-0.2436673,0.7358187,1.467913,0.2508965,0.4895091,0.9858103,0.2719098,309.6463,245.3811,342.5791,False
1,0.08888889,-0.05778969,-0.3399265,0.2277563,-1.522407,-4.212917,-3.099987,0.6620818,1.160113,0.461329,-1.278184,0.0007705964,39.6,7.5,-0.1204363,0.3347371,0.002968069,-0.8638325,-4.059652,-0.4575047,0.6530312,1.373036,0.3882217,-0.134058,0.2083919,0.2287397,-0.6495301,0.5352604,-0.2445948,0.7350522,1.467896,0.2506714,0.4892589,0.9854608,0.2698665,309.6803,245.2902,342.3421,False
1,0.1,-0.05998694,-0.3111801,0.2265734,-1.524644,-4.210281,-3.099329,0.6611221,1.159872,0.4604936,-1.278343,-0.01454366,45.9,5.3,-0.1298839,0.3014587,0.03470755,-0.8634634,-4.056198,-0.4579188,0.651988,1.373079,0.3877003,-0.148036,0.1839181,0.2214215,-0.6476339,0.5380313,-0.244659,0.7344198,1.467909,0.2504923,0.4888916,0.9852993,0.2681071,309.7315,245.2817,342.1499,False
