loc,t,aDotUA,bDotUA,gDotUA,aUA,bUA,gUA,xUA,yUA,zUA,qE,qDotE,aDotSH,bDotSH,gDotSH,aSH,bSH,gSH,xSH,ySH,zSH,aDotUB,bDotUB,gDotUB,aUB,bUB,gUB,xUB,yUB,zUB,xHand,yHand,zHand,aHand,bHand,gHand,enable
2,0,-0.1935669,-1.292832,-0.03300979,-1.444944,-3.995134,3.018806,0.5762552,1.283746,0.5379884,-1.524348,-0.01267254,-0.5440587,0.4826839,-0.03635671,-0.7009792,-4.015936,-0.1891172,0.5741376,1.53472,0.4508944,-0.3412546,0.4559221,0.07182757,-0.682377,0.5251508,-0.0869365,0.7173691,1.624632,0.2659423,0.4083013,1.115345,0.3074235,304.3952,230.7016,349.6289,False
2,0.01111111,-0.1935682,-1.300365,-0.04788616,-1.445666,-3.980411,3.019072,0.5730101,1.283494,0.5368752,-1.524366,-0.001600172,-0.54602,0.4719679,-0.009737205,-0.7010458,-4.008463,-0.1887779,0.5722476,1.534603,0.4503157,-0.3445998,0.4442797,0.0590133,-0.6826156,0.5322855,-0.08860683,0.7167301,1.624673,0.2664213,0.4077411,1.115262,0.3041546,304.4417,229.1463,350.4847,False
2,0.02222222,-0.1904257,-1.292987,-0.06604211,-1.446078,-3.966284,3.019336,0.5697483,1.283345,0.5357306,-1.524504,-0.01261505,-0.5522658,0.4548795,0.01477322,-0.7008098,-4.001274,-0.1879055,0.5702524,1.534505,0.4495647,-0.3478672,0.4400552,0.05369099,-0.682614,0.5397869,-0.0903291,0.7160532,1.624649,0.266783,0.4079683,1.115106,0.3001371,304.4406,227.9996,350.6519,False
2,0.03333334,-0.1883498,-1.281291,-0.07036496,-1.446904,-3.952389,3.019698,0.5664843,1.283098,0.5346086,-1.524434,0.006469436,-0.5544143,0.4548855,0.01265568,-0.7017989,-3.993591,-0.1875923,0.5681962,1.53438,0.4488397,-0.3499503,0.4379019,0.06115065,-0.6821048,0.5474156,-0.09237467,0.7153672,1.624694,0.2672222,0.4088858,1.114922,0.2956357,304.4358,227.0183,350.3424,False
2,0.04444445,-0.183131,-1.250425,-0.07905251,-1.447291,-3.939421,3.019939,0.5633271,1.28301,0.5335088,-1.524511,-0.007101572,-0.5532734,0.4719107,0.0212075,-0.7023597,-3.984568,-0.188372,0.5661605,1.53428,0.4480217,-0.3542131,0.4261729,0.0696405,-0.6815205,0.5546038,-0.09378242,0.7146173,1.62468,0.2674823,0.410276,1.114728,0.2909012,304.4543,225.9933,349.886,False
2,0.05555556,-0.1768217,-1.221679,-0.08346115,-1.44785,-3.926644,3.020049,0.5601964,1.282837,0.5323391,-1.524465,0.004286886,-0.557535,0.4889671,0.01807443,-0.7034479,-3.975505,-0.1890338,0.5641438,1.533984,0.447139,-0.3627504,0.4230132,0.06969438,-0.6811786,0.5618206,-0.0951124,0.7139701,1.624609,0.2677732,0.4118372,1.114547,0.286182,304.4918,224.9106,349.4153,False
2,0.06666667,-0.1707124,-1.138659,-0.1020024,-1.447257,-3.916831,3.020472,0.5573994,1.282896,0.5312705,-1.524695,-0.0211053,-0.5597827,0.5103126,-0.002109837,-0.7053446,-3.96627,-0.1897915,0.5619924,1.533841,0.4462843,-0.3710455,0.4432193,0.08689164,-0.6801468,0.5708752,-0.0977737,0.7131786,1.624567,0.2680545,0.4133017,1.114398,0.2816968,304.5279,223.8842,348.9571,False
2,0.07777778,-0.1698543,-1.074781,-0.1087187,-1.447071,-3.906736,3.021103,0.5545152,1.282944,0.5301805,-1.524864,-0.01522068,-0.5556705,0.5114178,-0.02343208,-0.7073212,-3.958003,-0.1900211,0.560008,1.533705,0.4454114,-0.3791659,0.4750622,0.1222438,-0.6782528,0.5815153,-0.1014366,0.7124109,1.624685,0.2683227,0.4144656,1.114312,0.2776371,304.5535,222.9377,348.5962,False
2,0.08888889,-0.1702247,-0.9565674,-0.1157098,-1.446302,-3.90012,3.022162,0.5519039,1.283062,0.5292144,-1.524888,-0.002141331,-0.5514044,0.5199324,-0.02450124,-0.7086448,-3.949143,-0.1909018,0.557641,1.533668,0.4443514,-0.3832669,0.4771259,0.1425308,-0.6765335,0.590344,-0.1039256,0.711574,1.624637,0.268471,0.4151844,1.114283,0.2740996,304.5583,222.0977,348.3584,False
2,0.1,-0.1664449,-0.8042673,-0.1228547,-1.445395,-3.895826,3.023432,0.5493505,1.283202,0.5283206,-1.52461,0.02548351,-0.5511522,0.5816594,0.003329083,-0.7093356,-3.935969,-0.1948227,0.5552624,1.533658,0.4432511,-0.3968564,0.5048106,0.1598049,-0.6749036,0.6008887,-0.1072876,0.710678,1.624557,0.2686467,0.4153351,1.114344,0.271207,304.5693,221.364,348.2499,False
2,0.1111111,-0.1668176,-0.6839125,-0.1277284,-1.44418,-3.892313,3.02485,0.5468965,1.283397,0.5274975,-1.524551,0.005121839,-0.5424764,0.6263525,0.0193493,-0.7102326,-3.923127,-0.1988875,0.5529388,1.533605,0.4422109,-0.393362,0.5302594,0.1833314,-0.6728551,0.612174,-0.1118512,0.7097934,1.624583,0.268856,0.4148443,1.114495,0.2689041,304.5834,220.7822,348.2551,False
2,0.1222222,-0.176191,-0.4240837,-0.1449637,-1.441975,-3.896066,3.028037,0.5445089,1.283789,0.5273488,-1.524613,-0.005684055,-0.5221204,0.6614613,0.0310057,-0.7111844,-3.909985,-0.2038005,0.5505257,1.53362,0.4410229,-0.3848108,0.5195105,0.1959923,-0.6709557,0.6212969,-0.1149021,0.7088034,1.624652,0.2689233,0.413637,1.114762,0.2671764,304.5881,220.3551,348.3136,False
2,0.1333333,-0.2278213,-0.2730891,-0.1690962,-1.439059,-3.897132,3.032421,0.5420898,1.284042,0.5265501,-1.524556,0.005231014,-0.504971,0.681653,0.04371536,-0.712011,-3.897559,-0.2081037,0.5481466,1.533546,0.4400053,-0.3902999,0.4950424,0.192732,-0.6694617,0.6289139,-0.1161322,0.7078543,1.624685,0.2689545,0.4116792,1.115156,0.2659835,304.5581,220.0984,348.4434,False
2,0.1444445,-0.2742042,-0.08470463,-0.1763802,-1.436175,-3.902541,3.037804,0.5397761,1.28434,0.5261195,-1.523716,0.07672884,-0.4601114,0.6837014,0.06045994,-0.7124648,-3.885632,-0.2136151,0.5459432,1.533732,0.4388402,-0.3871844,0.4801177,0.1915773,-0.6679693,0.6370082,-0.1182814,0.7068932,1.62473,0.2689047,0.4090402,1.115707,0.2653398,304.5052,219.8845,348.6223,False
2,0.1555556,-0.2926515,0.02704887,-0.182257,-1.433632,-3.905726,3.041933,0.537303,1.284521,0.5253448,-1.52221,0.137256,-0.4600555,0.6815514,0.06791975,-0.713015,-3.874146,-0.2171563,0.5436523,1.533769,0.4376481,-0.3840201,0.463024,0.1999872,-0.666113,0.6450905,-0.1203032,0.7059381,1.624802,0.2688978,0.405477,1.116459,0.2652919,304.4432,219.8167,348.7805,False
