loc,t,aDotUA,bDotUA,gDotUA,aUA,bUA,gUA,xUA,yUA,zUA,qE,qDotE,aDotSH,bDotSH,gDotSH,aSH,bSH,gSH,xSH,ySH,zSH,aDotUB,bDotUB,gDotUB,aUB,bUB,gUB,xUB,yUB,zUB,xHand,yHand,zHand,aHand,bHand,gHand,enable
2,0,-0.1745965,-0.917115,0.3519398,-1.404467,-4.104357,-2.996933,0.5995576,1.271252,0.4869258,-1.097476,0.04564979,-0.4947065,0.3440263,-0.2226503,-0.4961586,-4.676952,0.3277896,0.6521055,1.515475,0.3921087,-0.259099,0.3776141,0.08619032,-0.7953994,0.1117301,0.003151319,0.7133709,1.539878,0.2371664,0.4120255,1.049355,0.2974133,312.8802,235.8714,352.175,False
2,0.01111111,-0.1609026,-0.8819445,0.3442727,-1.406742,-4.095292,-2.99712,0.5977876,1.27096,0.486377,-1.097479,-0.0007639733,-0.4568977,0.3576054,-0.1504306,-0.4937277,-4.668801,0.3242548,0.6509485,1.515385,0.3921676,-0.2474543,0.3680226,0.07755863,-0.7948849,0.1169582,0.001761148,0.7130768,1.539906,0.2375627,0.4120266,1.049552,0.2941499,312.9381,233.6411,353.7168,False
2,0.02222222,-0.1335025,-0.8297323,0.3195037,-1.408641,-4.087559,-2.997407,0.5961177,1.270692,0.4859231,-1.097433,0.004088022,-0.4161638,0.3809401,-0.1133435,-0.4922502,-4.658312,0.3180352,0.6497399,1.515094,0.3921659,-0.234654,0.3456031,0.08382075,-0.7936859,0.1210375,0.0009177253,0.712643,1.540003,0.2379403,0.4127089,1.04943,0.2904158,312.9568,232.6007,353.7461,False
2,0.03333334,-0.1028227,-0.8063924,0.2724708,-1.408983,-4.079368,-2.998485,0.5944054,1.270437,0.4853349,-1.097476,-0.004162237,-0.4003153,0.3821105,-0.1305033,-0.4928899,-4.648407,0.3131345,0.6485326,1.514896,0.3922265,-0.2260088,0.342362,0.1007964,-0.7919986,0.1262946,-0.0005587312,0.7123101,1.540067,0.2383409,0.4138779,1.049047,0.286496,313.0192,232.0944,353.0383,False
2,0.04444445,-0.07210464,-0.797004,0.2137765,-1.40835,-4.070153,-3.000093,0.5925832,1.270402,0.4847395,-1.097645,-0.01549788,-0.4212774,0.4048554,-0.2207925,-0.4968132,-4.634236,0.3063232,0.6472749,1.514585,0.3922958,-0.2237876,0.3444455,0.1114616,-0.7901508,0.1315727,-0.00195263,0.7117961,1.540044,0.2387831,0.4153126,1.048454,0.2826801,313.1424,231.5528,352.2939,False
2,0.05555556,-0.06584998,-0.791893,0.1647311,-1.407222,-4.061602,-3.000946,0.5908735,1.270164,0.4841411,-1.098187,-0.0496253,-0.4258636,0.4018545,-0.264452,-0.4997763,-4.622673,0.3011305,0.6461012,1.514415,0.3924689,-0.2121082,0.3295191,0.1092143,-0.7890291,0.1361182,-0.003247192,0.7114978,1.540117,0.2391491,0.4167392,1.047731,0.2792472,313.3167,230.9473,351.67,False
2,0.06666667,-0.06502419,-0.7666172,0.1091866,-1.405311,-4.053784,-3.001396,0.5892782,1.270188,0.4839516,-1.098369,-0.01623331,-0.3856552,0.3840021,-0.3063865,-0.5033971,-4.612564,0.2951289,0.6450304,1.514217,0.3925464,-0.2005044,0.328445,0.0942165,-0.7884464,0.140961,-0.004836833,0.7112324,1.540041,0.239424,0.4179166,1.046907,0.2763736,313.5169,230.2523,351.3082,False
2,0.07777778,-0.06635977,-0.7231923,0.06102588,-1.403487,-4.04731,-3.001769,0.5877727,1.27011,0.4837122,-1.097481,0.08110152,-0.3611379,0.3808383,-0.3044433,-0.5050866,-4.60249,0.2895439,0.643931,1.514068,0.3926282,-0.1910627,0.3220738,0.07496074,-0.7882743,0.1457914,-0.006517021,0.711012,1.540031,0.2397435,0.4187302,1.046033,0.2741525,313.7249,229.5281,351.2066,False
2,0.08888889,-0.07419043,-0.6531437,0.01806984,-1.401577,-4.042293,-3.001469,0.5861996,1.270221,0.4836328,-1.096903,0.05199035,-0.3054705,0.3807656,-0.2686428,-0.5056341,-4.592948,0.2827055,0.6429643,1.514014,0.3926914,-0.1879155,0.3209929,0.06854995,-0.7876847,0.15044,-0.007816644,0.7108581,1.540133,0.240006,0.4190979,1.045149,0.2725903,313.931,228.8928,351.2474,False
2,0.1,-0.08846472,-0.5778779,-0.03980671,-1.398798,-4.038179,-3.000678,0.5846278,1.270328,0.4835496,-1.096865,0.003049499,-0.2390246,0.3880677,-0.2137016,-0.504733,-4.583775,0.2752207,0.642193,1.514036,0.3926418,-0.1857886,0.3209676,0.06642226,-0.7868171,0.1551206,-0.009269931,0.7107368,1.54003,0.2402368,0.4190502,1.044405,0.2717324,314.1498,228.3557,351.3784,False
