sub_num,case_nm,target,d_sh
6,TS,Close,0.0022035
6,TS,Close,-0.0070926
6,TS,Close,0.0033618
6,JS,Close,-0.0014445
6,JS,Close,-0.012536
6,JS,Close,-0.015607
6,JS,Close,-0.016886
6,JS,Close,-0.0058195
6,JS,Close,-0.0074858
6,JS,Close,0.012192
6,JS,Close,0.0080974
6,JS,Close,-0.018763
6,JS,Close,0.0089178
7,AB,Close,0.0064327
7,AB,Close,0.0013227
7,AB,Close,-0.018624
7,AB,Close,-0.015408
7,AB,Close,0.0001566
7,AB,Close,-0.00040736
7,AB,Close,0.0033614
7,AB,Close,-0.0015936
7,AB,Close,-0.0088856
7,AB,Close,-0.0089512
7,EP,Close,-0.009292
7,EP,Close,0.004423
7,EP,Close,-0.019345
7,EP,Close,0.0080631
7,EP,Close,0.026893
7,EP,Close,0.0072176
7,EP,Close,0.022932
7,EP,Close,0.013639
7,EP,Close,0.016377
7,EP,Close,-0.025308
7,TS,Close,0.010937
7,TS,Close,0.0073636
7,TS,Close,0.0096478
7,TS,Close,-0.0060946
7,TS,Close,0.02831
7,TS,Close,-0.012608
7,TS,Close,0.0037005
7,TS,Close,0.0063707
7,TS,Close,0.0051431
7,TS,Close,-0.01336
7,JS,Close,0.0081109
7,JS,Close,-0.011095
7,JS,Close,-0.011257
7,JS,Close,0.027301
7,JS,Close,0.0045311
7,JS,Close,0.0039547
7,JS,Close,0.023107
7,JS,Close,-0.0048186
7,JS,Close,-0.0037684
7,JS,Close,0.0076516
8,AB,Close,0.0031397
8,AB,Close,0.013103
8,AB,Close,-0.00089676
8,AB,Close,0.003162
8,AB,Close,-0.011643
8,AB,Close,0.018891
8,AB,Close,0.015348
8,AB,Close,0.00037953
8,AB,Close,0.017465
8,AB,Close,-0.0073338
8,EP,Close,-0.01985
8,EP,Close,0.0011063
8,EP,Close,0.014224
8,EP,Close,0.0035704
8,EP,Close,0.004412
8,EP,Close,0.0044887
8,EP,Close,-0.0064798
8,EP,Close,0.015096
8,EP,Close,0.016283
8,EP,Close,-0.011746
8,TS,Close,0.0079784
8,TS,Close,0.011392
8,TS,Close,-0.006494
8,TS,Close,0.00049329
8,TS,Close,0.0012191
8,TS,Close,-0.0081489
8,TS,Close,-0.0028457
8,TS,Close,0.014351
8,TS,Close,0.0023258
8,TS,Close,-0.004545
8,JS,Close,-0.018394
8,JS,Close,-0.016111
8,JS,Close,-0.0057648
8,JS,Close,-0.0069987
8,JS,Close,0.0099346
8,JS,Close,-0.0075406
8,JS,Close,-0.0039415
8,JS,Close,-0.014193
8,JS,Close,-0.010274
8,JS,Close,-0.016953
9,AB,Close,0.0050774
9,AB,Close,0.0030371
9,AB,Close,-0.0016247
9,AB,Close,0.0084923
9,AB,Close,0.0029924
9,AB,Close,-0.0074692
9,AB,Close,0.0017755
9,AB,Close,-0.0053126
9,AB,Close,0.0097717
9,AB,Close,0.0035825
9,EP,Close,-0.027235
9,EP,Close,0.0055337
9,EP,Close,0.028165
9,EP,Close,0.0042775
9,EP,Close,0.022979
9,EP,Close,0.010808
9,EP,Close,0.01602
9,EP,Close,0.023105
9,EP,Close,0.011844
9,EP,Close,0.0033871
9,TS,Close,0.024737
9,TS,Close,0.005036
9,TS,Close,-0.0005453
9,TS,Close,0.011394
9,TS,Close,0.016957
9,TS,Close,-0.035527
9,TS,Close,-0.0065723
9,TS,Close,-0.022635
9,TS,Close,-0.030137
9,TS,Close,0.024597
9,JS,Close,0.050649
9,JS,Close,-0.0094732
9,JS,Close,0.04452
9,JS,Close,0.044363
9,JS,Close,0.028048
9,JS,Close,0.055754
9,JS,Close,0.027773
9,JS,Close,0.010012
9,JS,Close,0.01505
9,JS,Close,0.02733
10,AB,Close,0.018248
10,AB,Close,0.02136
10,AB,Close,0.010166
10,AB,Close,0.0043958
10,AB,Close,0.0089459
10,AB,Close,0.016353
10,AB,Close,0.013469
10,AB,Close,0.021673
10,AB,Close,0.018855
10,AB,Close,-0.013375
10,EP,Close,-0.01456
10,EP,Close,0.0036463
10,EP,Close,-0.012796
10,EP,Close,-0.019257
10,EP,Close,-0.0089361
10,EP,Close,-0.0038265
10,EP,Close,-0.0046967
10,EP,Close,-0.0045866
10,EP,Close,0.00055856
10,EP,Close,-0.01681
10,TS,Close,-0.022883
10,TS,Close,-0.008085
10,TS,Close,-0.013463
10,TS,Close,-0.0055139
10,TS,Close,-0.0015523
10,TS,Close,-0.017264
10,TS,Close,-0.0042197
10,TS,Close,0.00071161
10,TS,Close,0.00043389
10,TS,Close,0.010856
10,JS,Close,0.0053477
10,JS,Close,-0.0044202
10,JS,Close,-0.019072
10,JS,Close,-0.03005
10,JS,Close,-0.016017
10,JS,Close,-0.013502
10,JS,Close,-0.0254
10,JS,Close,-0.028567
10,JS,Close,-0.018218
10,JS,Close,-0.015571
11,AB,Close,0.0019268
11,AB,Close,-0.0055484
11,AB,Close,-0.0036564
11,AB,Close,-0.0022173
11,AB,Close,-0.003485
11,AB,Close,0.014892
11,AB,Close,0.00032076
11,AB,Close,0.0027572
11,AB,Close,-0.0025173
11,AB,Close,-0.0033804
11,EP,Close,0.0090996
11,EP,Close,0.032851
11,EP,Close,0.020379
11,EP,Close,0.027074
11,EP,Close,0.051307
11,EP,Close,0.039027
11,EP,Close,0.013572
11,EP,Close,0.012804
11,EP,Close,0.011001
11,EP,Close,0.025405
11,TS,Close,0.047411
11,TS,Close,0.029573
11,TS,Close,0.0073311
11,TS,Close,0.051602
11,TS,Close,0.018277
11,TS,Close,0.00809
11,TS,Close,0.024614
11,TS,Close,0.0036472
11,TS,Close,0.02299
11,TS,Close,0.00016364
11,JS,Close,0.010884
11,JS,Close,0.0030994
11,JS,Close,0.021103
11,JS,Close,0.032984
11,JS,Close,0.0053771
11,JS,Close,0.018858
11,JS,Close,-0.0081899
11,JS,Close,0.012449
11,JS,Close,0.015604
11,JS,Close,0.025395
12,AB,Close,0.016273
12,AB,Close,0.0015492
12,AB,Close,0.011961
12,AB,Close,0.013128
12,AB,Close,0.0015583
12,AB,Close,0.0062787
12,AB,Close,0.021205
12,AB,Close,0.0052873
12,AB,Close,0.011085
12,AB,Close,0.019003
12,EP,Close,0.0039377
12,EP,Close,0.01977
12,EP,Close,0.012945
12,EP,Close,0.02393
12,EP,Close,0.0077125
12,EP,Close,0.00115
12,EP,Close,0.0063869
12,EP,Close,0.018963
12,EP,Close,0.014738
12,EP,Close,-0.0026538
12,TS,Close,0.025823
12,TS,Close,0.021476
12,TS,Close,0.02381
12,TS,Close,0.013747
12,TS,Close,0.021429
12,TS,Close,0.010937
12,TS,Close,0.022267
12,TS,Close,0.025595
12,TS,Close,0.015829
12,TS,Close,-0.0012104
12,JS,Close,0.027208
12,JS,Close,0.026733
12,JS,Close,0.021891
12,JS,Close,0.021865
12,JS,Close,0.015417
12,JS,Close,0.024087
12,JS,Close,0.024951
12,JS,Close,0.017956
12,JS,Close,0.0075469
12,JS,Close,0.016942
13,AB,Close,0.0011772
13,AB,Close,0.001061
13,AB,Close,-0.0043567
13,AB,Close,0.0013446
13,AB,Close,-0.011105
13,AB,Close,0.0054586
13,AB,Close,-0.001191
13,AB,Close,-0.0025447
13,AB,Close,-0.0021158
13,AB,Close,0.0011259
13,EP,Close,-0.014918
13,EP,Close,-0.005455
13,EP,Close,-0.007603
13,EP,Close,-0.0013552
13,EP,Close,-0.0021295
13,EP,Close,-0.007556
13,EP,Close,0.0025867
13,EP,Close,0.0060026
13,EP,Close,-0.003182
13,EP,Close,0.018138
13,TS,Close,0.0053432
13,TS,Close,0.021027
13,TS,Close,0.028626
13,TS,Close,0.020464
13,TS,Close,0.0049326
13,TS,Close,0.018606
13,TS,Close,0.003091
13,TS,Close,0.0051529
13,TS,Close,0.0067987
13,TS,Close,0.0066865
13,JS,Close,0.023025
13,JS,Close,0.01648
13,JS,Close,0.0042998
13,JS,Close,0.003182
13,JS,Close,0.014955
13,JS,Close,0.015942
13,JS,Close,0.020794
13,JS,Close,0.012265
13,JS,Close,0.018758
