sub_num,case_nm,target,h_diff
9,EP,Close,73.63912
9,EP,Close,116.408
9,EP,Close,67.87246
9,EP,Close,76.59165
9,EP,Close,88.99131
9,TS,Close,43.00592
9,TS,Close,46.69758
9,TS,Close,35.47515
9,TS,Close,42.83689
9,TS,Close,34.49296
9,TS,Close,58.29107
9,TS,Close,55.17214
9,TS,Close,140.3849
9,TS,Close,232.6596
9,TS,Close,127.667
9,JS,Close,73.10259
9,JS,Close,244.4393
9,JS,Close,73.94653
9,JS,Close,183.9825
9,JS,Close,125.5675
9,JS,Close,124.3944
9,JS,Close,293.0005
9,JS,Close,174.6038
9,JS,Close,115.5967
9,JS,Close,89.09168
10,EP,Close,11.09088
10,EP,Close,45.83251
10,EP,Close,33.98394
10,EP,Close,83.09664
10,EP,Close,108.566
10,EP,Close,69.5114
10,EP,Close,56.94326
10,EP,Close,36.38323
10,EP,Close,217.4026
10,EP,Close,32.03298
10,TS,Close,21.11855
10,TS,Close,10.02171
10,TS,Close,19.90787
10,TS,Close,53.95478
10,TS,Close,22.65805
10,TS,Close,44.79363
10,TS,Close,43.98303
10,TS,Close,12.61778
10,TS,Close,24.79669
10,TS,Close,33.8221
10,JS,Close,47.50791
10,JS,Close,7.558797
10,JS,Close,43.07824
10,JS,Close,52.3183
10,JS,Close,37.10237
10,JS,Close,32.54744
10,JS,Close,23.54934
10,JS,Close,18.53233
10,JS,Close,44.77513
10,JS,Close,40.32359
11,EP,Close,47.4402
11,EP,Close,28.4736
11,EP,Close,23.753
11,EP,Close,97.384
11,EP,Close,31.1669
11,EP,Close,53.8328
11,EP,Close,27.2563
11,EP,Close,16.5741
11,EP,Close,42.3102
11,EP,Close,20.1949
11,TS,Close,32.76
11,TS,Close,8.00767
11,TS,Close,28.5922
11,TS,Close,9.45177
11,TS,Close,27.7994
11,TS,Close,45.5918
11,TS,Close,18.1467
11,TS,Close,61.4908
11,TS,Close,32.0043
11,TS,Close,38.1609
11,JS,Close,25.4753
11,JS,Close,22.3394
11,JS,Close,27.9616
11,JS,Close,21.6568
11,JS,Close,43.5757
