sub_num,case_nm,target,iteration,time
1,TS,Far,5,4.2
1,TS,Far,19,4.2
1,EP,Close,17,4.1889
1,TS,Mid,26,4.1778
1,TS,High,15,4.17777
1,JS,High,13,4.15555
1,TS,Close,21,4.1555
1,TS,Far,23,4.1555
1,EP,Far,23,4.1222
1,EP,Close,18,4.1111
1,EP,Close,29,4.1111
1,EP,Far,15,4.1111
1,TS,Far,24,4.1
1,EP,Far,18,4.0889
1,JS,Far,12,4.08888
1,EP,Far,5,4.0778
1,EP,Far,28,4.0778
1,JS,Close,26,4.0778
1,AB,Far,20,4.0667
1,EP,Far,17,4.0444
1,EP,Far,12,4.0333
1,EP,Far,30,4.0222
1,JS,Mid,24,4.0222
1,TS,Close,9,4.0111
1,TS,Far,2,4.0111
1,JS,Far,9,3.98888
1,JS,Mid,25,3.9778
1,JS,Close,18,3.9667
1,EP,Far,16,3.9444
1,TS,Mid,14,3.9444
1,EP,Mid,5,3.9333
1,JS,High,29,3.9111
1,EP,Close,16,3.9
1,EP,Mid,8,3.8778
1,TS,Mid,10,3.8778
1,EP,Mid,23,3.8667
1,EP,Far,25,3.8444
1,JS,Far,16,3.82221
1,TS,Mid,18,3.8222
1,TS,Mid,12,3.8111
1,EP,High,26,3.79999
1,JS,High,14,3.79999
1,TS,Close,24,3.7889
1,TS,Close,7,3.7778
1,TS,Close,19,3.7778
1,JS,Close,7,3.7778
1,TS,High,18,3.77777
1,EP,High,5,3.74443
1,EP,Far,3,3.7222
1,TS,Close,30,3.7222
1,TS,Close,20,3.6778
1,TS,Far,9,3.6778
1,TS,Far,20,3.6667
1,EP,High,14,3.66666
1,TS,Far,17,3.6555
1,AB,Far,2,3.6222
1,EP,Close,8,3.6111
1,JS,Mid,27,3.5667
1,EP,Mid,25,3.5555
1,EP,Far,24,3.5444
1,EP,High,13,3.53333
1,EP,Close,26,3.5333
1,TS,Mid,16,3.5333
1,EP,Mid,10,3.5111
1,TS,Far,12,3.5
1,EP,Close,23,3.4889
1,TS,High,19,3.48888
1,TS,Far,10,3.4555
1,JS,High,1,3.44444
1,JS,Far,8,3.43333
1,TS,Close,6,3.4333
1,TS,Far,8,3.4333
1,JS,High,30,3.42222
1,TS,Far,26,3.4222
1,EP,Mid,7,3.4111
1,JS,Mid,3,3.4111
1,EP,Close,28,3.3889
1,TS,Mid,22,3.3889
1,EP,High,17,3.38888
1,EP,Close,9,3.3778
1,JS,Mid,10,3.3667
1,JS,High,28,3.36666
1,JS,Mid,2,3.3555
1,AB,Far,5,3.3333
1,TS,Far,6,3.3333
1,EP,Mid,15,3.3222
1,EP,Mid,18,3.3222
1,TS,Mid,23,3.3
1,JS,Close,16,3.3
1,JS,Mid,30,3.3
1,JS,Far,15,3.29999
1,EP,High,6,3.28888
1,EP,Close,27,3.2555
1,TS,Far,28,3.2555
1,TS,Mid,5,3.2222
1,JS,Far,10,3.19999
1,EP,Mid,24,3.1889
1,TS,Mid,19,3.1667
1,AB,Mid,5,3.1444
1,EP,Close,25,3.1333
1,EP,Mid,20,3.1333
1,TS,Far,18,3.1333
1,JS,Mid,4,3.1333
1,EP,Mid,6,3.1111
1,JS,Close,28,3.1
1,EP,Mid,30,3.0889
1,EP,Close,22,3.0778
1,EP,Mid,3,3.0556
1,EP,Close,12,3.0222
1,EP,Mid,28,3.0222
1,TS,Close,13,3.0111
1,JS,Mid,21,3.0111
1,TS,High,10,3
1,EP,Mid,29,2.9889
1,TS,Mid,11,2.9778
1,JS,Mid,5,2.9667
1,AB,Mid,3,2.9444
1,EP,Close,7,2.9444
1,JS,Mid,8,2.9444
1,JS,Close,15,2.8667
1,JS,Mid,18,2.8667
1,EP,Close,24,2.8556
1,JS,Close,24,2.8556
1,EP,Mid,13,2.8333
1,EP,Mid,11,2.8222
1,JS,Mid,15,2.8222
1,EP,Mid,12,2.8
1,JS,Close,25,2.8
1,EP,Close,5,2.7889
1,EP,Mid,14,2.7889
1,AB,High,27,2.7778
1,EP,Mid,19,2.7667
1,TS,Mid,3,2.7667
1,EP,Mid,16,2.7556
1,JS,Mid,6,2.7556
1,JS,Mid,28,2.7444
1,TS,Close,10,2.7333
1,EP,High,7,2.71111
1,AB,Far,16,2.7
1,AB,Far,19,2.7
1,AB,High,29,2.7
1,EP,Close,10,2.6778
1,EP,Close,13,2.6778
1,JS,Mid,9,2.6778
1,JS,Close,4,2.6667
1,AB,Close,14,2.6444
1,TS,Mid,9,2.6333
1,EP,Mid,1,2.6222
1,JS,Mid,13,2.6
1,EP,Mid,27,2.5778
1,EP,Close,15,2.5444
1,AB,Mid,7,2.5333
1,EP,Close,1,2.5333
1,JS,Close,8,2.5222
1,EP,Mid,17,2.4889
1,EP,Mid,22,2.4889
1,AB,Far,13,2.4667
1,AB,Far,23,2.4667
1,AB,High,19,2.4333
1,JS,Mid,20,2.4333
1,AB,Far,17,2.4111
1,JS,Mid,7,2.4111
1,AB,Far,25,2.3778
1,JS,Close,5,2.3778
1,JS,Mid,23,2.3778
1,EP,Close,11,2.3667
1,AB,High,11,2.3556
1,JS,Close,27,2.3444
1,EP,Close,14,2.3333
1,JS,Close,17,2.3333
1,AB,Far,11,2.3222
1,AB,Far,24,2.3222
1,AB,Far,30,2.3222
1,TS,Mid,25,2.3222
1,AB,Far,29,2.3
1,AB,Far,14,2.2667
1,AB,High,10,2.2667
1,AB,Far,8,2.2556
1,AB,High,26,2.2556
1,AB,Far,1,2.2333
1,AB,Far,28,2.2333
1,AB,High,16,2.2333
1,AB,High,24,2.2222
1,AB,Far,21,2.2111
1,AB,Mid,24,2.2
1,AB,Far,22,2.1778
1,JS,Close,11,2.1778
1,AB,Far,27,2.1556
1,JS,Mid,17,2.1556
1,AB,Far,26,2.1444
1,JS,Close,12,2.1444
1,AB,Far,9,2.1333
1,JS,Close,20,2.1222
1,JS,Mid,16,2.1111
1,AB,Far,3,2.0667
1,AB,High,3,2.0667
1,EP,Mid,21,2.0556
1,AB,High,5,2.0333
1,AB,Far,7,2.0222
1,AB,Far,12,2.0222
1,AB,High,2,2.0222
1,AB,Mid,12,2.0111
1,EP,Mid,26,2.0111
1,JS,Mid,12,2.0111
1,AB,Far,6,2
1,AB,High,1,2
1,JS,Close,21,2
1,AB,High,14,1.9889
1,TS,Mid,24,1.9889
1,AB,High,13,1.9778
1,AB,Close,24,1.9667
1,AB,Far,4,1.9667
1,AB,High,6,1.9667
1,JS,Mid,29,1.9667
1,AB,Mid,17,1.9556
1,JS,Close,23,1.9444
1,JS,Close,29,1.9333
1,AB,Mid,27,1.9111
1,AB,High,9,1.9111
1,AB,High,30,1.9111
1,JS,Close,10,1.9111
1,AB,Mid,21,1.9
1,JS,Close,6,1.9
1,AB,Close,25,1.8889
1,JS,Mid,19,1.8889
1,AB,Close,21,1.8778
1,AB,Mid,1,1.8778
1,AB,High,4,1.8778
1,AB,High,22,1.8778
1,AB,High,7,1.8667
1,AB,High,20,1.8667
1,AB,High,15,1.8556
1,AB,Far,18,1.8333
1,AB,Far,15,1.8222
1,AB,High,25,1.8222
1,AB,Close,22,1.8111
1,AB,Close,23,1.8111
1,TS,Close,8,1.8111
1,AB,High,28,1.8
1,AB,High,23,1.7778
1,AB,Mid,25,1.7667
1,AB,Mid,20,1.7556
1,AB,High,18,1.7556
1,AB,High,12,1.7444
1,AB,Close,15,1.7111
1,AB,Close,27,1.7111
1,AB,Mid,2,1.7111
1,AB,Close,7,1.7
1,AB,Mid,13,1.7
1,AB,Mid,22,1.7
1,AB,Mid,26,1.7
1,AB,High,8,1.6667
1,AB,Mid,23,1.6556
1,AB,Mid,15,1.6444
1,AB,High,17,1.6444
1,AB,Mid,11,1.6333
1,AB,Close,9,1.6222
1,AB,Mid,18,1.6111
1,AB,Mid,30,1.6111
1,AB,Close,4,1.5889
1,AB,Mid,16,1.5778
1,AB,Close,5,1.5667
1,AB,Mid,9,1.5667
1,AB,Close,19,1.5556
1,AB,Close,20,1.5556
1,AB,Close,29,1.5556
1,AB,Mid,19,1.5444
1,AB,Mid,14,1.5333
1,AB,Close,3,1.5222
1,AB,Close,11,1.5111
1,AB,Mid,8,1.5111
1,AB,Mid,29,1.5111
1,AB,Close,13,1.4889
1,AB,Close,30,1.4889
1,AB,Mid,6,1.4889
1,AB,Close,1,1.4778
1,AB,Mid,28,1.4778
1,AB,Mid,4,1.4667
1,AB,Close,8,1.4556
1,AB,Close,16,1.4444
1,JS,Mid,22,1.4444
1,AB,Mid,10,1.4333
1,AB,Close,2,1.4222
1,AB,Close,18,1.4222
1,JS,Close,30,1.3667
1,AB,Close,12,1.3444
1,AB,Close,6,1.3333
1,AB,Close,17,1.3222
1,AB,Close,10,1.3
1,AB,Close,26,1.1333
2,EP,Far,11,4.605965
2,TS,Close,4,13.4779
2,TS,Close,21,11.689
2,JS,Close,24,11.2556
2,JS,Close,18,10.3334
2,EP,Far,22,10.0001
2,TS,Close,10,9.05561
2,JS,Close,25,8.90005
2,TS,Close,20,8.47782
2,EP,High,11,8.4112
2,EP,High,18,7.8445
2,EP,Mid,17,7.6334
2,JS,Far,19,7.6334
2,EP,Far,21,7.5667
2,JS,Close,1,7.4667
2,EP,Close,27,7.4445
2,TS,Far,23,7.4223
2,EP,Far,29,7.18892
2,EP,High,20,7.0778
2,EP,Far,25,6.97781
2,JS,Far,1,6.8334
2,EP,Mid,26,6.7778
2,JS,Mid,2,6.7667
2,JS,High,25,6.7111
2,TS,Close,6,6.58891
