sub_num,case_nm,h_diff_close,h_diff_mid,h_diff_far,h_diff_high
4,TS,80.57331,88.8097,150.4334,123.9264
4,TS,48.47887,71.99134,76.20606,161.1192
4,TS,118.3121,44.05266,78.10211,61.74837
4,TS,155.3896,85.2752,72.328,45.17743
4,JS,92.01079,18.77262,61.76619,25.75485
4,JS,27.48993,26.95132,37.22361,34.3384
4,JS,76.39484,43.22095,27.7035,34.88932
4,JS,15.22484,60.8123,67.05522,34.61415
4,JS,80.49614,63.61292,19.09402,55.76071
4,JS,31.29238,14.86526,31.78824,58.25391
4,JS,12.03525,26.26525,35.64622,26.26294
4,JS,30.97764,24.97111,122.9673,57.08165
4,JS,180.2862,77.22221,61.61314,49.64396
4,JS,102.0125,56.88089,36.05962,32.19124
5,AB,0,0,0,0
5,AB,0,0,0,0
5,AB,0,0,0,0
5,AB,0,0,0,0
5,AB,0,0,0,0
5,AB,0,0,0,0
5,AB,0,0,0,0
5,AB,0,0,0,0
5,AB,0,0,0,0
5,AB,0,0,0,0
5,EP,52.7075,8.77709,56.8273,67.8495
5,EP,41.35577,12.4351,74.2107,74.0864
5,EP,29.02503,39.6709,82.34,29.1803
5,EP,22.61495,33.156,80.2139,25.345
5,EP,21.78144,21.6273,34.7744,44.2997
5,EP,21.65947,16.2913,45.1407,34.3719
5,EP,22.20159,13.2756,63.947,15.8946
5,EP,22.32437,76.8759,77.5389,15.0616
5,EP,35.18908,36.5358,52.6912,14.6316
5,EP,31.66629,25.0158,39.4757,23.4407
5,TS,38.1254,10.0149,47.0028,83.5308
5,TS,20.88351,20.6683,24.3892,26.2108
5,TS,26.91771,37.7947,31.344,37.6809
5,TS,21.22114,23.4229,27.1433,26.1854
5,TS,138.5288,27.9167,25.334,33.5893
5,TS,181.7597,8.73977,47.6732,31.8745
5,TS,23.49372,20.7213,30.5283,22.3652
5,TS,7.555106,9.35658,32.7007,30.0315
5,TS,46.25668,10.5052,22.9595,13.2853
5,TS,30.46346,12.4375,21.0566,29.2489
5,JS,102.9817,26.1274,67.1586,69.6159
5,JS,65.65614,16.917,20.642,87.2156
5,JS,64.48235,55.8901,43.7281,80.8474
5,JS,69.68772,28.4882,36.6146,57.3546
5,JS,50.93187,34.8715,38.4249,64.4958
5,JS,71.43127,39.8287,65.2866,46.0372
5,JS,59.53327,35.3137,19.3425,64.4471
5,JS,73.10581,25.8506,54.3078,74.0703
5,JS,48.7156,33.4578,24.5461,48.0234
5,JS,44.04974,41.6916,23.9608,95.0273
6,AB,0,0,0,0
6,AB,0,0,0,0
6,AB,0,0,0,0
6,AB,0,0,0,0
6,AB,0,0,0,0
6,AB,0,0,0,0
6,AB,0,0,0,0
6,AB,0,0,0,0
6,AB,0,0,0,0
6,AB,0,0,0,0
6,EP,34.0613,49.5964,72.64201,40.5561
6,EP,15.821,13.4346,53.42083,103.2778
6,EP,24.9091,26.9145,90.61002,59.56667
6,EP,13.0019,50.0577,64.26869,40.17446
6,EP,58.7972,83.2583,94.47515,41.48767
6,EP,74.9823,30.4102,127.8444,75.27509
6,EP,46.2535,29.3648,71.34709,40.34373
6,EP,14.3791,18.6247,138.9662,24.81112
6,EP,47.1709,44.7934,46.69467,42.01078
6,EP,52.2004,19.6467,69.95484,66.13543
6,TS,59.4404,15.2992,72.39867,45.01051
6,TS,27.5926,37.5547,41.2993,46.00705
6,TS,28.1842,64.369,40.17052,49.84057
6,TS,27.0038,35.7332,34.8785,33.85799
6,TS,44.5699,11.0701,63.18587,38.95043
6,TS,60.9505,45.0573,31.4241,40.73034
6,TS,24.8871,31.2684,40.61458,43.162
6,TS,27.4204,18.6788,69.72979,49.72162
6,TS,31.0806,25.938,35.96617,38.81987
6,TS,60.1208,52.2398,62.36986,44.81834
6,JS,20.2733,50.7808,24.61958,39.84267
6,JS,14.963,21.2227,20.96273,43.90545
6,JS,27.4056,21.712,35.39778,63.63402
6,JS,12.8072,16.1923,25.83323,28.34123
6,JS,60.4965,69.3999,30.91953,113.3876
6,JS,41.8944,29.7357,42.97735,119.9079
6,JS,76.5219,32.8035,35.44832,65.68599
6,JS,42.0518,28.4986,20.90064,53.45064
6,JS,22.8201,24.774,43.84569,50.26133
6,JS,18.652,8.24514,21.92619,70.33126
7,AB,0,0,0,0
7,AB,0,0,0,0
