sub_num,case_nm,time_close,time_mid,time_far,time_high
4,EP,1.8667,2.5444,3.5889,3.8889
4,EP,2.1444,3.7555,6.7556,3.3333
4,EP,1.7222,2.3444,3.1889,3.4778
4,EP,1.5333,2.1444,4.6667,5.0667
4,EP,1.7444,3.5111,3.1444,3.5111
4,EP,1.5,3.9222,6.1556,3.2333
4,EP,3.0667,5.9778,4.6667,3.3
4,EP,2.1778,2.7889,4.2222,5.5778
4,EP,2.7111,3.1778,4.3555,4.1
4,EP,3.2111,3.3333,7.2778,2.8333
4,TS,4.1667,5.5445,6.3667,9.2334
4,TS,1.9889,3.0778,6.3889,6.6889
4,TS,5.0444,2.6111,4.6556,6.9111
4,TS,2.3111,5.4556,6.0111,5.9
4,TS,4,8.6112,5.3445,5.8556
4,TS,2.6111,3.4555,3.8222,3.8222
4,TS,2.5444,3.3778,4.2889,5.7445
4,TS,2.1889,3.1555,4.5778,4.2444
4,TS,4.7,3.9222,3.2,6.5445
4,TS,3.7444,4.3889,3.7222,3.2444
4,JS,3.3,1.8333,2.9889,2.5
4,JS,1.8667,4.8444,3.4444,4.2778
4,JS,5.1,3.4,2.7444,2.8111
4,JS,1.4444,4.1,3.4333,2.7889
4,JS,3.7111,2.8444,4.4778,7.6
4,JS,1.7222,2.2556,2.6,2.9333
4,JS,1.3444,2.4889,2.4556,2.6556
4,JS,2.3667,2.1222,4.8111,4.2333
4,JS,6.9,9.8001,3.1333,3.3222
4,JS,4.2889,3.0333,3.3555,2.3556
5,AB,1.2778,2.2444,1.7,1.47778
5,AB,1.0333,1.2111,2.0889,1.78889
5,AB,1.3778,2.0667,1.8333,1.7
5,AB,1.0667,1.5444,1.4333,1.52222
5,AB,1.0778,1.1778,2.1889,1.42223
5,AB,1.4333,1.3222,1.9,1.28889
5,AB,1.2222,1.3333,1.8778,1.8
5,AB,1.3556,1.4778,1.3667,1.43334
5,AB,1.1667,1.1889,1.4444,1.68889
5,AB,1.0778,1.1556,1.6,1.32222
5,EP,2.1333,1.9333,5.2222,3.01111
5,EP,2.3222,1.5444,5.0889,3.3111
5,EP,1.8222,3.1555,4.7222,2.25556
5,EP,1.4333,2.1222,3.6333,2.54444
5,EP,1.6111,1.8111,3.2778,2.24445
5,EP,1.9444,1.6111,3.5333,2.43333
5,EP,1.6111,1.5889,3.6555,2.2
5,EP,1.7556,2.9889,3.8778,2
5,EP,2.1444,2.1556,4.0333,4.23332
5,EP,1.6778,1.9333,4.4333,2.07778
5,TS,1.5667,1.5111,3.5,4.91111
5,TS,1.5333,1.9444,2.5333,2.32222
5,TS,1.9667,2.0111,3.8667,2.6
5,TS,1.4778,1.6444,2.5667,3.55555
5,TS,3.9667,2.1778,2.6222,2.05556
5,TS,3.7,1.4111,2.8111,2.57778
5,TS,1.8444,1.9222,3.0556,2.2
5,TS,1.1,1.3889,2.7889,1.85556
5,TS,2.0889,1.3889,2.2444,2.75555
5,TS,4.8222,1.4222,2.8444,2
5,JS,2.4222,1.9,5.7445,4.04443
5,JS,2.1889,1.2778,1.7111,3.86666
5,JS,2.9556,1.9222,3.7222,3.63332
5,JS,2.4222,1.4111,1.9889,2.55556
5,JS,2.1667,1.5667,2.6111,3.29999
5,JS,4.9667,1.9333,5.6667,4.08888
5,JS,5.2,1.9222,3.1889,3.02222
5,JS,3.0556,2.4222,3.3,4.09999
5,JS,1.9222,1.7556,1.9333,3.58888
5,JS,1.7556,2.0444,1.7333,10.089
6,AB,1.6,1.5667,2.9333,1.6333
6,AB,1.3111,1.4111,1.6111,1.6778
6,AB,1.2222,1.3667,1.7222,1.5778
6,AB,1.4222,1.3444,1.7333,1.6444
6,AB,1.4111,1.4,1.6222,1.7333
6,AB,1.1667,1.4444,1.4667,1.6556
6,AB,1.3444,1.6,1.7556,2.0222
6,AB,1.3778,1.5,1.7111,2.0667
6,AB,1.3,1.7111,1.7,1.6222
6,AB,1.2778,1.7444,1.6222,1.7333
6,EP,1.4778,2.6444,2.3667,2.6
6,EP,1.5889,2,2.3889,4.1333
6,EP,2.6444,2.0556,3.0333,2.7222
6,EP,2.0333,2.2889,3.7444,2.3889
6,EP,4.6,3.5111,3.7222,1.9556
6,EP,7,2.2333,4.4111,2.7889
6,EP,8.0112,1.8556,3.1667,2.0667
6,EP,1.3444,1.9444,5.7111,2.1111
6,EP,1.7222,1.8,2.5667,3.3778
6,EP,2.4667,2.8111,3.0111,2.9333
6,TS,3.4778,1.6333,3.2222,2.5556
6,TS,1.7,1.7556,2.5667,1.7444
6,TS,1.6222,2.8111,2.4222,3.7444
6,TS,1.7222,2.0333,2.4222,2.3111
6,TS,1.8333,1.6333,6.8667,1.9
6,TS,3.6555,2.9111,2.4667,2.5667
6,TS,1.4556,1.2222,2.2778,2.6
6,TS,1.7778,2.3111,2.6667,2.1
6,TS,1.7111,2.5556,2.1667,2.0778
6,TS,2.8667,2.8889,2.6222,2.4778
6,JS,1.3333,2.3222,2.1111,2.3556
6,JS,1.5,1.6556,1.7444,2.1
6,JS,3.6111,1.8444,1.9444,2.2556
6,JS,1.5333,1.4667,1.7667,2.0778
6,JS,6.4778,2.4556,2.1,2.9889
6,JS,3.4778,1.7667,2.1667,4.0222
6,JS,2.7111,1.8667,2.1889,2.6556
6,JS,1.9,1.7667,2,2.1
6,JS,1.7444,2.0333,2.2444,2.2111
6,JS,2.0889,1.6222,1.8444,3.2778
7,AB,1.8222,1.9556,2.6111,2.5111
7,AB,1.9444,1.9889,2.3667,2.3444
