sub_num,case_nm,target,s_j
6,TS,Close,-2.2365
6,JS,Close,-2.2296
6,JS,Close,-2.4893
6,JS,Close,-2.7478
6,JS,Close,-2.1441
6,JS,Close,-2.4396
6,JS,Close,-2.1396
6,JS,Close,-1.8856
6,JS,Close,-1.9095
6,JS,Close,-2.2562
6,JS,Close,-2.0392
7,AB,Close,-1.5816
7,AB,Close,-1.4869
7,AB,Close,-1.6553
7,AB,Close,-1.697
7,AB,Close,-1.5805
7,AB,Close,-1.5875
7,AB,Close,-1.5446
7,AB,Close,-1.7519
7,AB,Close,-1.4729
7,AB,Close,-1.6545
7,EP,Close,-2.185
7,EP,Close,-1.8409
7,EP,Close,-1.9015
7,EP,Close,-1.7372
7,EP,Close,-1.9754
7,EP,Close,-2.2576
7,EP,Close,-1.8482
7,EP,Close,-1.685
7,EP,Close,-1.8412
7,EP,Close,-1.955
7,TS,Close,-2.0615
7,TS,Close,-2.0426
7,TS,Close,-1.5442
7,TS,Close,-2.5618
7,TS,Close,-2.0675
7,TS,Close,-2.1907
7,TS,Close,-2.2016
7,TS,Close,-1.7989
7,TS,Close,-1.9991
7,TS,Close,-1.9252
7,JS,Close,-2.1309
7,JS,Close,-2.3084
7,JS,Close,-1.8505
7,JS,Close,-1.8889
7,JS,Close,-2.0429
7,JS,Close,-2.0872
7,JS,Close,-2.0356
7,JS,Close,-2.0507
7,JS,Close,-1.8137
7,JS,Close,-1.7427
8,AB,Close,-1.4658
8,AB,Close,-1.732
8,AB,Close,-1.7295
8,AB,Close,-1.7869
8,AB,Close,-1.6324
8,AB,Close,-1.5624
8,AB,Close,-1.7011
8,AB,Close,-1.7637
8,AB,Close,-1.5017
8,AB,Close,-1.5537
8,EP,Close,-2.5657
8,EP,Close,-2.6964
8,EP,Close,-2.3337
8,EP,Close,-2.588
8,EP,Close,-2.5515
8,EP,Close,-2.3462
8,EP,Close,-1.8161
8,EP,Close,-2.4958
8,EP,Close,-2.1525
8,EP,Close,-2.8138
8,TS,Close,-1.9899
8,TS,Close,-2.0132
8,TS,Close,-2.0346
8,TS,Close,-1.9745
8,TS,Close,-2.1297
8,TS,Close,-2.2827
8,TS,Close,-2.3287
8,TS,Close,-2.8091
8,TS,Close,-2.5843
8,TS,Close,-2.2971
8,JS,Close,-3.0183
8,JS,Close,-2.4545
8,JS,Close,-2.8493
8,JS,Close,-2.4896
8,JS,Close,-2.0425
8,JS,Close,-3.0347
8,JS,Close,-2.3626
8,JS,Close,-2.5131
8,JS,Close,-2.3215
8,JS,Close,-2.6411
9,AB,Close,-1.914
9,AB,Close,-1.749
9,AB,Close,-1.8493
9,AB,Close,-1.7294
9,AB,Close,-1.7124
9,AB,Close,-1.7029
9,AB,Close,-1.7665
9,AB,Close,-1.6724
9,AB,Close,-1.7354
9,AB,Close,-1.7251
9,EP,Close,-2.4645
9,EP,Close,-2.1747
9,EP,Close,-2.0217
9,EP,Close,-2.6979
9,EP,Close,-1.8925
9,EP,Close,-2.2295
9,EP,Close,-6.6369
9,EP,Close,-2.0764
9,EP,Close,-2.2062
9,EP,Close,-2.5804
9,TS,Close,-1.6585
9,TS,Close,-1.4749
9,TS,Close,-2.3787
9,TS,Close,-2.0227
9,TS,Close,-2.015
9,TS,Close,-2.1728
9,TS,Close,-2.1203
9,TS,Close,-2.372
9,TS,Close,-2.0298
9,TS,Close,-2.0891
9,JS,Close,-1.8573
9,JS,Close,-1.9741
9,JS,Close,-1.9634
9,JS,Close,-2.5954
9,JS,Close,-2.4637
9,JS,Close,-1.7548
9,JS,Close,-2.7125
9,JS,Close,-2.3564
9,JS,Close,-2.0594
9,JS,Close,-2.0908
10,AB,Close,-1.7628
10,AB,Close,-1.6774
10,AB,Close,-1.8583
10,AB,Close,-1.867
10,AB,Close,-1.8881
10,AB,Close,-1.9194
10,AB,Close,-1.7193
10,AB,Close,-2.1506
10,AB,Close,-1.7035
10,AB,Close,-1.6969
10,EP,Close,-2.0727
10,EP,Close,-3.0491
10,EP,Close,-2.3502
10,EP,Close,-1.7347
10,EP,Close,-1.8737
10,EP,Close,-1.8953
10,EP,Close,-2.2907
10,EP,Close,-2.0706
10,EP,Close,-3.3251
10,EP,Close,-2.3385
10,TS,Close,-1.6979
10,TS,Close,-1.8482
10,TS,Close,-1.6199
10,TS,Close,-2.8806
10,TS,Close,-1.8012
10,TS,Close,-1.7188
10,TS,Close,-2.2163
10,TS,Close,-2.3022
10,TS,Close,-2.1614
10,TS,Close,-1.8927
10,JS,Close,-1.6913
10,JS,Close,-1.9289
10,JS,Close,-2.0674
10,JS,Close,-2.2898
10,JS,Close,-2.4454
10,JS,Close,-2.161
10,JS,Close,-2.2562
10,JS,Close,-2.7417
10,JS,Close,-1.8273
10,JS,Close,-2.1458
11,AB,Close,-1.6926
11,AB,Close,-1.4675
11,AB,Close,-1.4839
11,AB,Close,-1.4484
11,AB,Close,-1.6187
11,AB,Close,-1.8044
11,AB,Close,-1.4901
11,AB,Close,-1.5323
11,AB,Close,-1.6083
11,AB,Close,-1.6707
11,EP,Close,-4.1469
11,EP,Close,-2.0438
11,EP,Close,-2.6293
11,EP,Close,-5.1589
11,EP,Close,-2.3816
11,EP,Close,-2.8082
11,EP,Close,-2.332
11,EP,Close,-2.7221
11,EP,Close,-2.0216
11,EP,Close,-2.3343
11,TS,Close,-1.8404
11,TS,Close,-1.8371
11,TS,Close,-2.2825
11,TS,Close,-1.8563
11,TS,Close,-2.9309
11,TS,Close,-2.432
11,TS,Close,-3.3557
11,TS,Close,-3.0999
11,TS,Close,-3.0903
11,TS,Close,-2.3281
11,JS,Close,-1.9961
11,JS,Close,-1.9573
11,JS,Close,-1.9292
11,JS,Close,-2.2818
11,JS,Close,-3.4078
11,JS,Close,-2.2582
11,JS,Close,-4.1827
11,JS,Close,-1.8124
11,JS,Close,-2.4718
11,JS,Close,-2.3555
12,AB,Close,-1.6072
12,AB,Close,-1.6926
12,AB,Close,-1.5016
12,AB,Close,-1.6529
12,AB,Close,-1.558
12,AB,Close,-1.5565
12,AB,Close,-1.5511
12,AB,Close,-1.4119
12,AB,Close,-1.5316
12,AB,Close,-1.4163
12,EP,Close,-2.3099
12,EP,Close,-1.8501
12,EP,Close,-1.6238
12,EP,Close,-1.9205
12,EP,Close,-1.751
12,EP,Close,-1.5297
12,EP,Close,-1.5523
12,EP,Close,-1.5034
12,EP,Close,-1.6271
12,EP,Close,-1.5976
12,TS,Close,-1.4532
12,TS,Close,-1.5887
12,TS,Close,-1.7442
12,TS,Close,-1.6014
12,TS,Close,-1.5976
12,TS,Close,-1.8486
12,TS,Close,-1.4903
12,TS,Close,-1.7651
12,TS,Close,-1.6383
12,TS,Close,-2.0085
12,JS,Close,-1.6569
12,JS,Close,-1.7409
12,JS,Close,-1.8258
12,JS,Close,-1.9599
12,JS,Close,-1.6794
12,JS,Close,-1.8961
12,JS,Close,-1.8566
12,JS,Close,-1.5289
12,JS,Close,-1.8903
12,JS,Close,-1.9275
13,AB,Close,-1.4796
13,AB,Close,-1.6627
13,AB,Close,-1.583
13,AB,Close,-1.6923
13,AB,Close,-1.5396
13,AB,Close,-1.6384
13,AB,Close,-1.7044
13,AB,Close,-1.5634
13,AB,Close,-1.6119
13,AB,Close,-1.6814
13,EP,Close,-2.6402
13,EP,Close,-2.6119
13,EP,Close,-2.2519
13,EP,Close,-2.1891
13,EP,Close,-2.5144
13,EP,Close,-2.5522
13,EP,Close,-2.2712
13,EP,Close,-1.5854
13,EP,Close,-2.0818
13,EP,Close,-1.4302
13,TS,Close,-3.1133
13,TS,Close,-2.1135
13,TS,Close,-2.0949
13,TS,Close,-2.1805
13,TS,Close,-1.9967
13,TS,Close,-1.7264
13,TS,Close,-2.303
13,TS,Close,-2.1609
13,TS,Close,-1.9261
13,TS,Close,-2.4203
13,JS,Close,-1.8226
13,JS,Close,-2.4411
13,JS,Close,-3.3092
13,JS,Close,-2.9419
13,JS,Close,-1.7158
13,JS,Close,-2.2476
13,JS,Close,-2.0026
13,JS,Close,-1.6111
13,JS,Close,-2.6698
13,JS,Close,-1.7555
14,AB,Close,-1.6864
14,AB,Close,-1.6298
14,AB,Close,-2.021
14,AB,Close,-1.6945
14,AB,Close,-1.9328
14,AB,Close,-1.6952
14,AB,Close,-1.7264
14,AB,Close,-1.6385
14,AB,Close,-1.6681
14,AB,Close,-1.6748
14,EP,Close,-2.6833
14,EP,Close,-2.5862
14,EP,Close,-2.3404
14,EP,Close,-2.2896
14,EP,Close,-3.1334
14,EP,Close,-1.905
14,EP,Close,-2.4483
14,EP,Close,-2.884
14,EP,Close,-2.4068
14,EP,Close,-1.8607
14,TS,Close,-2.0891
14,TS,Close,-2.7225
14,TS,Close,-3.5656
14,TS,Close,-2.1444
14,TS,Close,-2.6479
14,TS,Close,-2.1481
14,TS,Close,-2.7707
14,TS,Close,-1.8919
14,TS,Close,-3.1022
14,TS,Close,-2.5849
14,JS,Close,-2.3953
14,JS,Close,-2.4072
14,JS,Close,-2.554
14,JS,Close,-2.0833
14,JS,Close,-2.64
14,JS,Close,-2.3543
14,JS,Close,-1.7642
14,JS,Close,-2.1267
14,JS,Close,-2.2321
14,JS,Close,-2.1592
15,AB,Close,-1.5827
15,AB,Close,-1.8683
15,AB,Close,-1.9923
15,AB,Close,-1.8198
15,AB,Close,-1.6977
15,AB,Close,-1.7238
15,AB,Close,-1.6168
15,AB,Close,-1.8782
15,AB,Close,-1.5952
15,AB,Close,-1.6268
15,EP,Close,-1.6814
15,EP,Close,-2.0157
15,EP,Close,-1.7351
15,EP,Close,-2.0551
15,EP,Close,-1.8346
15,EP,Close,-1.8998
15,EP,Close,-2.053
15,EP,Close,-1.5821
15,EP,Close,-1.9702
15,EP,Close,-1.5763
15,TS,Close,-4.7689
