sub_num,case_nm,target,d_c7
7,AB,Close,0.074492
7,AB,Close,0.028404
7,AB,Close,0.010526
7,AB,Close,0.012398
7,AB,Close,0.024795
7,AB,Close,0.022213
7,AB,Close,0.019719
7,AB,Close,0.028698
7,EP,Close,0.01984
7,EP,Close,0.048578
7,EP,Close,0.0473
7,EP,Close,0.011767
7,EP,Close,0.073747
7,EP,Close,0.049974
7,EP,Close,0.026593
7,EP,Close,0.036713
7,EP,Close,0.039205
7,EP,Close,0.09992
7,TS,Close,0.0297
7,TS,Close,0.050871
7,TS,Close,0.0048434
7,TS,Close,0.036161
7,TS,Close,0.014044
7,TS,Close,0.052126
7,TS,Close,0.055957
7,TS,Close,0.043931
7,TS,Close,0.060275
7,TS,Close,0.080105
7,JS,Close,0.04434
7,JS,Close,0.089167
7,JS,Close,0.061599
7,JS,Close,0.03111
7,JS,Close,0.083738
7,JS,Close,0.049218
7,JS,Close,0.039193
7,JS,Close,0.040262
7,JS,Close,0.088168
7,JS,Close,0.03418
8,AB,Close,0.020685
8,AB,Close,0.006947
8,AB,Close,0.022805
8,AB,Close,0.032132
8,AB,Close,0.01711
8,AB,Close,0.022454
8,AB,Close,0.0079098
8,AB,Close,0.010571
8,AB,Close,0.017111
8,AB,Close,0.037488
8,EP,Close,0.031199
8,EP,Close,0.033651
8,EP,Close,0.0091571
8,EP,Close,0.010017
8,EP,Close,0.0091086
8,EP,Close,0.0073349
8,EP,Close,0.050483
8,EP,Close,0.036796
8,EP,Close,0.080191
8,EP,Close,0.018484
8,TS,Close,0.0089464
8,TS,Close,0.03707
8,TS,Close,0.018717
8,TS,Close,0.024279
8,TS,Close,0.019337
8,TS,Close,0.025468
8,TS,Close,0.019188
8,TS,Close,0.014596
8,TS,Close,0.017697
8,TS,Close,0.014354
8,JS,Close,0.052068
8,JS,Close,0.043079
8,JS,Close,0.025951
8,JS,Close,0.032922
8,JS,Close,0.0079197
8,JS,Close,0.050042
8,JS,Close,0.093476
8,JS,Close,0.038898
8,JS,Close,0.026317
8,JS,Close,0.032375
9,AB,Close,0.016039
9,AB,Close,0.015469
9,AB,Close,0.014994
9,AB,Close,0.0089401
9,AB,Close,0.0069689
9,AB,Close,0.02189
9,AB,Close,0.014634
9,AB,Close,0.014008
9,AB,Close,0.012106
9,AB,Close,0.0063018
9,EP,Close,0.046906
9,EP,Close,0.13021
9,EP,Close,0.1089
9,EP,Close,0.089429
9,EP,Close,0.073959
9,EP,Close,0.086487
9,EP,Close,0.073443
9,EP,Close,0.12726
9,EP,Close,0.12818
9,EP,Close,0.12227
9,TS,Close,0.11638
9,TS,Close,0.13544
9,TS,Close,0.12697
9,TS,Close,0.15317
9,TS,Close,0.09524
9,TS,Close,0.21444
9,TS,Close,0.14595
9,TS,Close,0.18453
9,TS,Close,0.21508
9,TS,Close,0.18908
9,JS,Close,0.14682
9,JS,Close,0.14923
9,JS,Close,0.20665
9,JS,Close,0.14636
9,JS,Close,0.16808
9,JS,Close,0.10447
9,JS,Close,0.18899
9,JS,Close,0.10861
9,JS,Close,0.17703
9,JS,Close,0.14465
10,AB,Close,0.02016
10,AB,Close,0.018882
10,AB,Close,0.0077691
10,AB,Close,0.025586
10,AB,Close,0.016766
10,AB,Close,0.032756
10,AB,Close,0.019201
10,AB,Close,0.021495
10,AB,Close,0.023122
10,AB,Close,0.077921
10,EP,Close,0.058313
10,EP,Close,0.027649
10,EP,Close,0.050834
10,EP,Close,0.041418
10,EP,Close,0.032104
10,EP,Close,0.051973
10,EP,Close,0.04668
10,EP,Close,0.033736
10,EP,Close,0.10524
10,EP,Close,0.070466
10,TS,Close,0.060223
10,TS,Close,0.064284
10,TS,Close,0.044887
10,TS,Close,0.11889
10,TS,Close,0.066337
10,TS,Close,0.069966
10,TS,Close,0.026917
10,TS,Close,0.015111
10,TS,Close,0.03672
10,TS,Close,0.011328
10,JS,Close,0.029647
10,JS,Close,0.064838
10,JS,Close,0.043456
10,JS,Close,0.05309
10,JS,Close,0.03785
10,JS,Close,0.051601
10,JS,Close,0.030606
10,JS,Close,0.037666
10,JS,Close,0.039825
10,JS,Close,0.050979
11,AB,Close,0.010423
11,AB,Close,0.021576
11,AB,Close,0.023943
11,AB,Close,0.013022
11,AB,Close,0.0076398
11,AB,Close,0.01308
11,AB,Close,0.032488
11,AB,Close,0.026384
11,AB,Close,0.0073537
11,AB,Close,0.010341
