sub_num,case_nm,target,s_h
6,TS,Close,-2.0584
6,TS,Close,-3.9325
6,JS,Close,-1.8109
6,JS,Close,-1.7375
6,JS,Close,-3.394
6,JS,Close,-1.9121
6,JS,Close,-3.0524
6,JS,Close,-2.9169
6,JS,Close,-2.886
6,JS,Close,-2.0914
6,JS,Close,-2.03
6,JS,Close,-2.0781
7,AB,Close,-1.4032
7,AB,Close,-1.4031
7,AB,Close,-1.398
7,AB,Close,-1.4058
7,AB,Close,-1.6401
7,AB,Close,-1.4268
7,AB,Close,-1.5114
7,AB,Close,-1.6197
7,AB,Close,-1.4482
7,AB,Close,-1.4633
7,EP,Close,-2.0354
7,EP,Close,-1.5218
7,EP,Close,-1.7903
7,EP,Close,-2.0129
7,EP,Close,-1.8575
7,EP,Close,-1.8979
7,EP,Close,-1.9753
7,EP,Close,-1.7889
7,EP,Close,-1.7331
7,EP,Close,-1.5566
7,TS,Close,-1.8899
7,TS,Close,-1.8342
7,TS,Close,-1.8602
7,TS,Close,-3.8071
7,TS,Close,-2.1709
7,TS,Close,-2.1938
7,TS,Close,-1.9154
7,TS,Close,-2.059
7,TS,Close,-2.1503
7,TS,Close,-2.0556
7,JS,Close,-1.8671
7,JS,Close,-2.2026
7,JS,Close,-1.9945
7,JS,Close,-2.0447
7,JS,Close,-2.2158
7,JS,Close,-1.6377
7,JS,Close,-1.6362
7,JS,Close,-1.7331
7,JS,Close,-1.5811
7,JS,Close,-1.8808
8,AB,Close,-1.5376
8,AB,Close,-1.7573
8,AB,Close,-1.6329
8,AB,Close,-1.5601
8,AB,Close,-1.7897
8,AB,Close,-1.6075
8,AB,Close,-1.5391
8,AB,Close,-1.8464
8,AB,Close,-1.6938
8,AB,Close,-1.6488
8,EP,Close,-2.0855
8,EP,Close,-2.7517
8,EP,Close,-1.9659
8,EP,Close,-2.5575
8,EP,Close,-2.6101
8,EP,Close,-1.9754
8,EP,Close,-1.8713
8,EP,Close,-2.2576
8,EP,Close,-3.3846
8,EP,Close,-2.063
8,TS,Close,-1.8426
8,TS,Close,-1.9715
8,TS,Close,-2.0137
8,TS,Close,-2.132
8,TS,Close,-2.296
8,TS,Close,-2.2339
8,TS,Close,-2.6086
8,TS,Close,-2.1219
8,TS,Close,-1.8933
8,TS,Close,-2.1164
8,JS,Close,-2.1033
8,JS,Close,-1.898
8,JS,Close,-1.9826
8,JS,Close,-1.9104
8,JS,Close,-2.1303
8,JS,Close,-1.7732
8,JS,Close,-3.1877
8,JS,Close,-2.1035
8,JS,Close,-1.7776
8,JS,Close,-2.0179
9,AB,Close,-1.4103
9,AB,Close,-1.6242
9,AB,Close,-1.7803
9,AB,Close,-1.592
9,AB,Close,-1.4024
9,AB,Close,-1.5062
9,AB,Close,-1.656
9,AB,Close,-1.4089
9,AB,Close,-1.8065
9,AB,Close,-1.3933
9,EP,Close,-3.8488
9,EP,Close,-2.7342
9,EP,Close,-2.3323
9,EP,Close,-2.8391
9,EP,Close,-2.982
9,EP,Close,-2.5732
9,EP,Close,-5.1542
9,EP,Close,-2.2415
9,EP,Close,-2.9175
9,EP,Close,-2.5848
9,TS,Close,-1.9049
9,TS,Close,-1.9098
9,TS,Close,-2.0209
9,TS,Close,-2.6032
9,TS,Close,-2.09
9,TS,Close,-2.455
9,TS,Close,-2.5298
9,TS,Close,-3.145
9,TS,Close,-4.0414
9,TS,Close,-2.9869
9,JS,Close,-2.924
9,JS,Close,-4.7558
9,JS,Close,-2.0906
9,JS,Close,-5.078
9,JS,Close,-3.5776
9,JS,Close,-3.4796
9,JS,Close,-4.6797
9,JS,Close,-3.0283
9,JS,Close,-2.9629
9,JS,Close,-2.4545
10,AB,Close,-1.5283
10,AB,Close,-1.6188
10,AB,Close,-1.8772
10,AB,Close,-1.6052
10,AB,Close,-1.5683
10,AB,Close,-1.6533
10,AB,Close,-1.4807
10,AB,Close,-1.9602
10,AB,Close,-1.6339
10,AB,Close,-1.5102
10,EP,Close,-1.8505
10,EP,Close,-2.145
10,EP,Close,-1.6125
10,EP,Close,-1.7541
10,EP,Close,-1.6727
10,EP,Close,-1.9065
10,EP,Close,-1.8099
10,EP,Close,-1.9122
10,EP,Close,-4.368
10,EP,Close,-1.8018
10,TS,Close,-1.7721
10,TS,Close,-1.8047
10,TS,Close,-2.2091
10,TS,Close,-3.4678
10,TS,Close,-1.8615
10,TS,Close,-2.1007
