target,ep_slope,ts_slope,js_slope,ep_inter,ts_inter,js_inter
Close,1.7188,0.22296,0.22337,8.626033,48.95376,51.09854
Mid,0.030072,-0.18258,-0.11557,40.4134,51.71489,43.56122
Far,-1.2515,-2.1998,0.34608,116.2627,119.6496,40.93295
High,-1.6108,-2.3487,0.11175,98.68723,128.7186,62.1513
