sub_num,case_nm,target,iteration,hdiff
1,TS,High,13,239.6531
1,TS,High,14,276.7243
1,TS,High,15,44.33538
1,TS,High,16,186.4313
1,TS,High,17,25.723
1,TS,High,19,49.96986
1,TS,High,20,160.8558
1,TS,High,21,259.7395
1,TS,High,22,122.8143
1,TS,High,23,113.0346
1,TS,High,24,108.8699
1,TS,High,25,179.8515
1,TS,High,26,110.4795
1,TS,High,27,155.7907
1,TS,High,28,204.4831
1,TS,High,29,115.8691
1,TS,High,30,97.28305
1,JS,Close,1,588.8307
1,JS,Close,2,437.067
1,JS,Close,3,212.6902
1,JS,Close,4,61.0022
1,JS,Close,5,46.60214
1,JS,Close,6,40.76491
1,JS,Close,7,141.2829
1,JS,Close,8,79.7956
1,JS,Close,9,158.8207
1,JS,Close,10,39.6241
1,JS,Close,12,33.94819
1,JS,Close,13,291.5642
1,JS,Close,14,72.4295
1,JS,Close,15,88.55531
1,JS,Close,16,71.61132
1,JS,Close,17,55.84078
1,JS,Close,19,192.389
1,JS,Close,20,57.43254
1,JS,Close,21,22.48941
1,JS,Close,22,265.8314
1,JS,Close,23,14.10131
1,JS,Close,24,53.37661
1,JS,Close,25,68.0057
1,JS,Close,26,146.7618
1,JS,Close,27,71.76147
1,JS,Close,28,70.50075
1,JS,Close,29,28.66808
1,JS,Close,30,22.46629
1,JS,Mid,1,262.5508
1,JS,Mid,2,60.6039
1,JS,Mid,3,116.8651
1,JS,Mid,4,116.3719
1,JS,Mid,5,47.02147
1,JS,Mid,6,48.07254
1,JS,Mid,7,47.63217
1,JS,Mid,8,52.64115
1,JS,Mid,9,81.02574
1,JS,Mid,10,106.6826
1,JS,Mid,12,59.23591
1,JS,Mid,13,35.29891
1,JS,Mid,14,181.9529
1,JS,Mid,15,110.7415
1,JS,Mid,16,18.67182
1,JS,Mid,17,18.26268
1,JS,Mid,19,17.90907
1,JS,Mid,20,28.78171
1,JS,Mid,21,38.32464
1,JS,Mid,22,27.65919
1,JS,Mid,23,55.41712
1,JS,Mid,24,134.7204
1,JS,Mid,25,174.0586
1,JS,Mid,26,275.8431
1,JS,Mid,27,112.02
1,JS,Mid,28,38.31321
1,JS,Mid,29,15.02293
1,JS,Mid,30,114.649
1,JS,Far,1,260.73391
1,JS,Far,2,360.63874
1,JS,Far,3,213.9033
1,JS,Far,4,100.46167
1,JS,Far,5,131.99416
1,JS,Far,6,129.51169
1,JS,Far,7,118.82715
1,JS,Far,8,81.241049
1,JS,Far,9,124.504
1,JS,Far,10,54.865076
1,JS,Far,12,61.49745
