loc,t,aDotUA,bDotUA,gDotUA,aUA,bUA,gUA,xUA,yUA,zUA,qE,qDotE,emgA,emgB,aDotSH,bDotSH,gDotSH,aSH,bSH,gSH,xSH,ySH,zSH,aDotUB,bDotUB,gDotUB,aUB,bUB,gUB,xUB,yUB,zUB,xHand,yHand,zHand,aHand,bHand,gHand,enable
3,0,-0.1878046,-0.4315851,-0.03491865,-1.268144,-3.923075,-3.027744,0.568525,1.243534,0.4552798,-1.163606,0.01171566,0.1,3.7,-0.1561124,0.0686921,0.04427374,-0.6082181,-4.466696,5.45948E-05,0.6606232,1.442481,0.4086113,-0.06433172,0.05511586,0.003224945,-0.8578846,0.2225889,-0.06923366,0.7516763,1.489071,0.2269483,0.4092346,1.034456,0.2519245,311.9715,214.5468,3.728032,True
3,0.01111111,-0.1856404,-0.4443674,-0.0327283,-1.267198,-3.917367,-3.027427,0.5677702,1.243586,0.4548824,-1.163522,0.007561246,0.1,3.7,-0.1584115,0.0709524,0.02727246,-0.6083438,-4.465175,0.0007547399,0.6602476,1.442525,0.4085772,-0.06752456,0.05938794,0.001120526,-0.8578835,0.2236087,-0.06906482,0.7516993,1.489028,0.2270942,0.4096947,1.034188,0.25068,312.3135,213.4538,4.371102,True
3,0.02222222,-0.1877639,-0.4475747,-0.03377323,-1.266201,-3.91209,-3.026844,0.5670058,1.243728,0.4544101,-1.163339,0.01679856,0.1,3.7,-0.1756169,0.06793061,0.0125072,-0.6087257,-4.464034,0.002361425,0.6598639,1.442587,0.4085975,-0.0707043,0.0647279,7.441547E-05,-0.8579858,0.2248105,-0.06896069,0.7516943,1.489008,0.2272706,0.4102736,1.033797,0.2493144,312.5775,212.9231,4.465064,True
3,0.03333334,-0.1803144,-0.4432811,-0.0295514,-1.265429,-3.907034,-3.02664,0.5661703,1.243896,0.4539428,-1.163748,-0.03752335,0.1,3.7,-0.1873267,0.07651153,0.0105551,-0.608633,-4.462075,0.003257046,0.6594638,1.442697,0.408613,-0.07488895,0.0743329,0.003289554,-0.8579752,0.2262128,-0.06903553,0.7516645,1.489041,0.2274303,0.4109112,1.033413,0.2478686,312.7952,212.5244,4.37393,True
3,0.04444445,-0.1718101,-0.4325604,-0.01897694,-1.26496,-3.902255,-3.026419,0.5654513,1.243989,0.4534724,-1.163699,0.004799587,0.1,3.7,-0.193635,0.08715649,0.01495861,-0.6083086,-4.459758,0.003708185,0.659086,1.442754,0.4086158,-0.07805555,0.08073925,0.003307565,-0.8580108,0.2276905,-0.06902381,0.7516567,1.489026,0.2276151,0.4115552,1.033134,0.2464198,312.9353,212.1311,4.260439,True
3,0.05555556,-0.1750234,-0.4240224,-0.0147604,-1.264436,-3.89768,-3.025751,0.5646777,1.244093,0.4530475,-1.164152,-0.04147244,0,3.9,-0.191344,0.1073264,0.02361417,-0.6076423,-4.456449,0.003016829,0.6587435,1.442747,0.4084768,-0.08760086,0.08930115,0.004448366,-0.857851,0.229279,-0.06868745,0.7516422,1.489078,0.2277465,0.4120938,1.033016,0.2449892,313.0437,211.7524,4.161716,True
3,0.06666667,-0.1696892,-0.4228996,-0.006246445,-1.264133,-3.892721,-3.025547,0.5638247,1.24432,0.4525938,-1.164259,-0.009436085,0,3.9,-0.1847758,0.1189241,0.03641632,-0.6068332,-4.45351,0.002359827,0.6583329,1.442735,0.4084492,-0.09286777,0.09891535,0.006612466,-0.8577738,0.2311709,-0.06872021,0.7516356,1.489044,0.2279661,0.4124678,1.03309,0.2436154,313.0806,211.3898,4.11434,True
3,0.07777778,-0.1686097,-0.4293006,-0.008342104,-1.263376,-3.887538,-3.025277,0.5630442,1.244415,0.4521644,-1.163862,0.03635954,0,3.9,-0.1794317,0.1242203,0.03640504,-0.6064284,-4.451126,0.002235457,0.6579688,1.442659,0.4084589,-0.1003278,0.1021407,0.004539423,-0.8578601,0.232747,-0.06841768,0.7516749,1.489105,0.228159,0.412682,1.033333,0.2423308,313.0294,211.0585,4.131178,True
3,0.08888889,-0.1643549,-0.4260947,-0.008358574,-1.262777,-3.88266,-3.025068,0.5622633,1.244503,0.4516778,-1.164157,-0.02735863,0,3.9,-0.1720374,0.1285071,0.02890149,-0.6063735,-4.448414,0.00173425,0.6575044,1.442685,0.4084961,-0.09925503,0.1074603,0.002395444,-0.8579917,0.2345389,-0.06851781,0.7516618,1.48911,0.2283609,0.4127283,1.033704,0.2411235,312.9566,210.7502,4.188258,True
3,0.1,-0.1537343,-0.4122005,-0.005253123,-1.262347,-3.878435,-3.025007,0.5615888,1.244585,0.4511986,-1.164053,0.009791103,0,3.9,-0.1699804,0.1285556,0.02142632,-0.6063512,-4.445915,0.001456749,0.657079,1.442711,0.4084802,-0.1035132,0.1042792,0.004571905,-0.8577871,0.2357802,-0.06809942,0.7515914,1.489073,0.228493,0.4126672,1.034171,0.2399854,312.8602,210.4283,4.315032,True
