loc,t,aDotUA,bDotUA,gDotUA,aUA,bUA,gUA,xUA,yUA,zUA,qE,qDotE,aDotSH,bDotSH,gDotSH,aSH,bSH,gSH,xSH,ySH,zSH,aDotUB,bDotUB,gDotUB,aUB,bUB,gUB,xUB,yUB,zUB,xHand,yHand,zHand,aHand,bHand,gHand,enable
0,0,-0.09477371,-1.018541,-0.01293132,-1.51041,-4.120797,3.032963,0.5914426,1.323503,0.5130348,-1.412354,0.005871865,-0.1351031,0.1996449,0.07080796,-0.8304408,-4.055506,-0.3289143,0.548493,1.574436,0.4219303,-0.05490978,0.05155022,0.05789922,-0.5372486,0.513509,-0.2684549,0.6448478,1.689384,0.2225823,0.4086462,1.127213,0.300624,310.451,241.025,344.7529,False
0,0.01111111,-0.1022974,-0.9983371,-0.01517266,-1.511293,-4.11033,3.033729,0.5902063,1.323594,0.5127673,-1.412445,-0.008217471,-0.1233063,0.1740183,0.08339904,-0.8294868,-4.053569,-0.3292629,0.5485375,1.574613,0.4217026,-0.04643384,0.03764988,0.05987422,-0.5365268,0.5137637,-0.2684584,0.6449535,1.689389,0.2223914,0.409021,1.127488,0.2988915,310.4385,240.7419,344.6903,False
0,0.02222222,-0.1141422,-0.9621935,-0.02068315,-1.512071,-4.100805,3.034846,0.5891848,1.323612,0.5125158,-1.412641,-0.01769985,-0.1104402,0.147328,0.09597677,-0.8284023,-4.051822,-0.3296053,0.5487438,1.574825,0.4215262,-0.02836091,0.02157309,0.06387762,-0.5358291,0.5138779,-0.2688522,0.6451104,1.6894,0.2221861,0.4099742,1.127905,0.2964264,310.403,240.2743,344.5118,False
0,0.03333334,-0.1227424,-0.930231,-0.01660901,-1.513001,-4.091674,3.035986,0.5881634,1.323739,0.512254,-1.412831,-0.01720715,-0.1072445,0.1292033,0.09800331,-0.8276455,-4.050407,-0.3294357,0.5490586,1.575015,0.4212775,-0.01462071,0.003424644,0.06045442,-0.5351819,0.513213,-0.2686019,0.6453354,1.689402,0.2219722,0.4113406,1.128409,0.2933739,310.3298,239.609,344.2179,False
0,0.04444445,-0.1453827,-0.8504816,-0.02769239,-1.513987,-4.075185,3.039004,0.5864847,1.324124,0.5116842,-1.412683,0.01377004,-0.1030369,0.1089832,0.09256546,-0.8264939,-4.047216,-0.3294932,0.5496149,1.575455,0.4207978,0.01207631,0.01287456,0.06348056,-0.534,0.5150102,-0.2710552,0.64582,1.689296,0.2215605,0.4130256,1.128992,0.2900058,310.2147,238.8831,343.817,False
0,0.05555556,-0.151948,-0.8079981,-0.04287876,-1.513666,-4.06752,3.04043,0.585694,1.324553,0.5113511,-1.411058,0.1485394,-0.1158892,0.100498,0.08517104,-0.8261467,-4.045983,-0.3284575,0.5500691,1.575879,0.4206014,0.02288657,0.02660847,0.07519118,-0.5330317,0.5174139,-0.2736979,0.6461258,1.689342,0.221324,0.4148907,1.129612,0.2864991,310.1049,238.1818,343.4556,False
0,0.06666667,-0.1553375,-0.7612508,-0.06023146,-1.513043,-4.060591,3.041877,0.5851332,1.324938,0.5109849,-1.412399,-0.1236813,-0.122171,0.0983098,0.1001248,-0.8248518,-4.043937,-0.3281994,0.5506751,1.57633,0.4203556,0.02515983,0.03184248,0.08905088,-0.5317512,0.5193442,-0.2757506,0.6464815,1.689339,0.2210302,0.4169017,1.130306,0.2827096,310.1041,237.2893,343.2779,False
0,0.07777778,-0.164034,-0.714509,-0.07329171,-1.512565,-4.053978,3.0436,0.5847999,1.325364,0.5106592,-1.413068,-0.05973933,-0.1070822,0.06943452,0.1254618,-0.8225147,-4.043316,-0.3280056,0.551438,1.576872,0.4201534,0.03453551,-0.005458827,0.08447612,-0.5307201,0.5169333,-0.274308,0.6470084,1.689382,0.2206073,0.4189081,1.131199,0.2791625,310.0565,236.4577,342.8559,False
0,0.08888889,-0.1695655,-0.6592295,-0.08855564,-1.511679,-4.048364,3.045281,0.5843447,1.325785,0.5103612,-1.413238,-0.01511703,-0.08879591,0.01391726,0.1538594,-0.8194184,-4.044487,-0.3268399,0.5523762,1.577418,0.419908,0.05537273,-0.06934658,0.06367208,-0.5299531,0.5109546,-0.2704933,0.647461,1.689415,0.2201972,0.4206298,1.13225,0.2761794,309.9332,235.772,342.4089,False
0,0.1,-0.175029,-0.6209459,-0.09625501,-1.510836,-4.042809,3.047079,0.5840368,1.326262,0.5101032,-1.413059,0.01652685,-0.06648482,-0.03082898,0.1503137,-0.8172879,-4.046409,-0.3256047,0.5533674,1.57796,0.419728,0.07000117,-0.09592777,0.04420411,-0.5297278,0.5068573,-0.2682445,0.647987,1.689398,0.2197838,0.421943,1.133375,0.2739132,309.7271,235.2242,342.1596,False
0,0.1111111,-0.1859362,-0.5443717,-0.1095231,-1.509526,-4.039322,3.049178,0.5839759,1.326878,0.5099638,-1.413203,-0.01332536,-0.05381674,-0.04783297,0.1373561,-0.8161806,-4.047374,-0.3247347,0.5542264,1.578604,0.4195778,0.08172223,-0.08957626,0.04201579,-0.5291222,0.5060658,-0.2687172,0.6483507,1.689493,0.2194409,0.4228182,1.134501,0.2723444,309.5123,234.8215,342.1261,False
0,0.1222222,-0.192611,-0.4710245,-0.1302411,-1.507541,-4.036593,3.051376,0.5840604,1.327576,0.50983,-1.413173,0.002966379,-0.03670762,-0.05960165,0.1467655,-0.8139701,-4.047965,-0.3245749,0.555454,1.579356,0.4194543,0.08825257,-0.07688068,0.05162695,-0.5281011,0.5058957,-0.2698008,0.6488661,1.689537,0.2190485,0.4232064,1.135545,0.2713472,309.3289,234.5164,342.2625,False
