loc,t,aDotUA,bDotUA,gDotUA,aUA,bUA,gUA,xUA,yUA,zUA,qE,qDotE,aDotSH,bDotSH,gDotSH,aSH,bSH,gSH,xSH,ySH,zSH,aDotUB,bDotUB,gDotUB,aUB,bUB,gUB,xUB,yUB,zUB,xHand,yHand,zHand,aHand,bHand,gHand,enable
1,0,0.1277147,-0.3434798,0.07447035,-1.564935,-4.270651,-2.977233,0.5945727,1.291812,0.4900591,-1.302019,-0.04210387,-0.2408685,0.2634766,-0.08295179,-0.7651507,-4.0215,-0.105981,0.6247568,1.598311,0.4104259,-0.1168713,0.3214343,0.09855604,-0.8623902,0.5813935,-0.2548818,0.8111194,1.703735,0.2649341,0.3608754,1.148178,0.2839964,300.7607,253.0222,339.0925,False
1,0.01111111,0.1286595,-0.3147146,0.07434074,-1.565312,-4.268025,-2.978568,0.5938861,1.291514,0.4893968,-1.302014,0.0007308344,-0.2387444,0.2719896,-0.08077788,-0.7663246,-4.016882,-0.1067475,0.6237881,1.597988,0.4098418,-0.1104559,0.3160866,0.1016682,-0.862061,0.586053,-0.2568986,0.8105993,1.703707,0.2650902,0.3603182,1.147263,0.2822182,300.7208,254.6046,337.4307,False
1,0.02222222,0.1253967,-0.2976856,0.07320841,-1.565628,-4.265195,-2.979845,0.5930284,1.291162,0.4887192,-1.301579,0.03954406,-0.2333813,0.2783299,-0.07330036,-0.7670825,-4.012505,-0.1075494,0.6230524,1.597581,0.4091024,-0.1115112,0.3128822,0.103806,-0.861613,0.5908515,-0.2586667,0.8100685,1.70374,0.2651911,0.3603694,1.14617,0.2798643,300.8114,254.6894,336.7809,False
1,0.03333334,0.1263369,-0.2689557,0.06456129,-1.565753,-4.263053,-2.9813,0.5924382,1.290834,0.4880958,-1.301112,0.04234833,-0.232284,0.281486,-0.06689411,-0.7679667,-4.007924,-0.1082895,0.6221622,1.597274,0.4085333,-0.1061693,0.304341,0.1069164,-0.861164,0.5953437,-0.260512,0.8095731,1.703725,0.2653003,0.360524,1.145228,0.2776287,300.5731,253.1887,337.9478,False
1,0.04444445,0.1284028,-0.2551321,0.05811372,-1.56588,-4.26048,-2.982808,0.591706,1.290507,0.4873843,-1.300949,0.01454937,-0.2215837,0.2708314,-0.06382954,-0.7687705,-4.004383,-0.1088117,0.6213734,1.597167,0.4080665,-0.1041195,0.2873111,0.1015034,-0.860895,0.5989872,-0.2617421,0.8091656,1.703706,0.2653196,0.360726,1.14516,0.2766375,300.4639,251.1669,339.8823,False
1,0.05555556,0.1357863,-0.2370086,0.05376106,-1.56606,-4.258418,-2.984612,0.591089,1.290244,0.4868011,-1.301082,-0.01231015,-0.2077255,0.2538558,-0.0693572,-0.7700376,-4.001338,-0.1091829,0.6206092,1.596961,0.4075985,-0.1009838,0.2841321,0.09613235,-0.8608503,0.6031992,-0.2634087,0.8087969,1.703671,0.2654061,0.3606803,1.14503,0.2757938,300.4448,251.773,339.2513,False
1,0.06666667,0.1474212,-0.2135169,0.05683404,-1.56653,-4.256653,-2.98661,0.5905126,1.290095,0.4861395,-1.30111,-0.002456889,-0.1874695,0.2400633,-0.07276019,-0.7710746,-3.998507,-0.1098679,0.61989,1.596897,0.4071176,-0.1011349,0.2650054,0.08326872,-0.861016,0.6063606,-0.264343,0.8084315,1.703676,0.2653744,0.3606173,1.144823,0.2751082,300.4337,252.1131,338.9126,False
1,0.07777778,0.1473823,-0.2039377,0.05466295,-1.566767,-4.254677,-2.988226,0.5899256,1.289916,0.4855533,-1.301356,-0.02254223,-0.1777389,0.2197683,-0.06015804,-0.7713649,-3.995898,-0.1103025,0.6191249,1.596637,0.406666,-0.1000817,0.2554154,0.08322256,-0.8607587,0.6098296,-0.2655571,0.8081063,1.703632,0.2654326,0.3605678,1.14472,0.2747564,300.4573,251.9144,339.1333,False
1,0.08888889,0.1505313,-0.1889984,0.05885846,-1.567361,-4.252916,-2.989984,0.5893878,1.289723,0.4850061,-1.301505,-0.01352335,-0.1604155,0.1865661,-0.02745885,-0.7706767,-3.994431,-0.110188,0.6186289,1.596598,0.4063036,-0.09690812,0.2309014,0.08416245,-0.8602431,0.6123238,-0.2662399,0.8077884,1.703568,0.2653677,0.3605177,1.144606,0.2744525,300.4803,252.0187,339.0974,False
1,0.1,0.1526156,-0.1794317,0.0534848,-1.567481,-4.251103,-2.991732,0.5888681,1.28964,0.4844515,-1.301061,0.04067038,-0.1486044,0.1673807,-0.02337857,-0.7707907,-3.992786,-0.1104008,0.6180503,1.596348,0.4058754,-0.09160157,0.2191651,0.08405664,-0.8599331,0.6150646,-0.2671635,0.8074105,1.703605,0.2654419,0.3604804,1.144489,0.2741168,300.4915,252.1369,339.0598,False
1,0.1111111,0.1493836,-0.1752184,0.04495063,-1.567416,-4.249293,-2.99324,0.5884443,1.289571,0.4839165,-1.301096,-0.00360022,-0.1262117,0.1387239,-0.03116603,-0.7715103,-3.991952,-0.1103598,0.6174982,1.596273,0.4054914,-0.08533368,0.2053496,0.07328732,-0.8599816,0.6174737,-0.2679987,0.8071185,1.703628,0.265378,0.3604494,1.144384,0.2737177,300.4828,252.1084,339.1461,False
1,0.1222222,0.1482857,-0.1710028,0.03534524,-1.567224,-4.247529,-2.9949,0.5879803,1.289459,0.4833367,-1.301054,0.003905653,-0.1187519,0.1281023,-0.03657663,-0.7717532,-3.990788,-0.1103068,0.6170216,1.596094,0.4048507,-0.0789348,0.1957486,0.07530894,-0.8597313,0.6201975,-0.2691066,0.8067337,1.703678,0.2653432,0.3604304,1.144292,0.2732722,300.4546,251.9966,339.305,False
1,0.1333333,0.1493066,-0.1614374,0.02891225,-1.567161,-4.246067,-2.996639,0.5876229,1.289397,0.4828176,-1.300776,0.02536315,-0.1070148,0.12175,-0.03776695,-0.7724872,-3.989188,-0.1107934,0.6166105,1.595969,0.4044063,-0.0725609,0.1818906,0.0751913,-0.8593541,0.6224086,-0.269987,0.8065368,1.703694,0.2652278,0.3604275,1.144221,0.2727981,300.4068,251.8198,339.5203,False
1,0.1444445,0.1450284,-0.15934,0.02464721,-1.56701,-4.244394,-2.998095,0.5872673,1.289374,0.4823964,-1.300879,-0.009683055,-0.1059301,0.1206657,-0.03671265,-0.7729229,-3.987648,-0.1108988,0.6162161,1.59574,0.4039104,-0.06627205,0.1744621,0.06550966,-0.8594425,0.6246367,-0.2709242,0.8063091,1.70371,0.2650797,0.3604309,1.144164,0.2723078,300.3456,251.6153,339.7561,False
1,0.1555556,0.1407,-0.1476838,0.01395344,-1.566605,-4.243232,-2.99948,0.5870129,1.289327,0.4819765,-1.300958,-0.007076807,-0.09951989,0.1270494,-0.03245474,-0.7734193,-3.985325,-0.1117774,0.6158284,1.595651,0.4034133,-0.06105603,0.161708,0.05582068,-0.8595054,0.6264531,-0.2716216,0.8061036,1.703731,0.2650144,0.360428,1.144104,0.2718175,300.2769,251.431,339.9644,False
1,0.1666667,0.1300215,-0.1413368,0.01394996,-1.566587,-4.241794,-3.000522,0.5868217,1.289257,0.481689,-1.300664,0.02685179,-0.09840204,0.1344544,-0.0249288,-0.7733079,-3.982895,-0.1128232,0.615524,1.595776,0.4032159,-0.06222105,0.1500247,0.04726347,-0.859629,0.6281034,-0.2719665,0.8059396,1.703743,0.2648823,0.3604386,1.144045,0.271358,300.1881,251.3072,340.1101,False
1,0.1777778,0.1203583,-0.1232871,0.008567743,-1.566402,-4.241013,-3.001572,0.5867064,1.289259,0.481447,-1.300564,0.008958013,-0.08877875,0.1418878,-0.01748757,-0.7735673,-3.980204,-0.1141718,0.6152312,1.595731,0.4027524,-0.06231966,0.1383482,0.03869211,-0.859866,0.6297876,-0.272358,0.8058373,1.703766,0.2647505,0.3604494,1.143993,0.2709247,300.0902,251.2211,340.2116,False
