loc,t,aDotUA,bDotUA,gDotUA,aUA,bUA,gUA,xUA,yUA,zUA,qE,qDotE,emgA,emgB,aDotSH,bDotSH,gDotSH,aSH,bSH,gSH,xSH,ySH,zSH,aDotUB,bDotUB,gDotUB,aUB,bUB,gUB,xUB,yUB,zUB,xHand,yHand,zHand,aHand,bHand,gHand,enable
1,0,-0.3732558,-1.260913,0.5821158,-1.436756,-4.292853,-2.929494,0.6690643,1.22534,0.4182272,-1.059127,-0.09785432,81.4,70.1,-0.6949306,0.3326737,0.09533015,-0.5948607,-3.607993,-0.7325627,0.7023504,1.424913,0.3281178,-0.3124132,0.4504927,0.03825974,-0.7334458,-0.1540655,-0.01449798,0.7981489,1.478708,0.1540382,0.456397,1.028845,0.2677674,310.054,252.3869,347.6462,False
1,0.01111111,-0.3563392,-1.225751,0.5723299,-1.439986,-4.279172,-2.927877,0.6667531,1.224837,0.4170303,-1.059328,-0.01749016,81.4,70.1,-0.6947387,0.3410941,0.1145519,-0.5961443,-3.600396,-0.7310867,0.7013307,1.424695,0.327903,-0.3241792,0.4547853,0.03198123,-0.7334106,-0.1461533,-0.01647485,0.7983786,1.478696,0.1546171,0.4551577,1.028936,0.2618196,309.5811,246.9334,351.6546,False
1,0.02222222,-0.3342264,-1.160788,0.5517526,-1.442958,-4.267511,-2.926364,0.6646853,1.224391,0.4158812,-1.059437,-0.009898089,81.4,70.1,-0.6848772,0.3612028,0.1411975,-0.5975084,-3.591374,-0.7314596,0.7004211,1.424505,0.3276548,-0.3295221,0.4505309,0.02987988,-0.7332221,-0.1389709,-0.01801495,0.7985204,1.478709,0.1551042,0.4551904,1.028359,0.2551228,309.7524,245.3986,351.6887,False
1,0.03333334,-0.3239713,-1.059743,0.5160542,-1.445431,-4.257882,-2.924187,0.6628178,1.223865,0.4147058,-1.059696,-0.02367779,81.4,70.1,-0.6750668,0.3664269,0.1624289,-0.5986333,-3.582858,-0.7313373,0.6994718,1.424302,0.3274333,-0.3327014,0.4473289,0.03202297,-0.7328939,-0.1316024,-0.01968289,0.7987443,1.478711,0.1556349,0.4561939,1.027189,0.2481053,310.1397,244.6501,350.6176,False
1,0.04444445,-0.3212382,-0.9352833,0.4781417,-1.448001,-4.250366,-2.921625,0.661039,1.223519,0.4136112,-1.060043,-0.03155361,86.7,64.6,-0.6568433,0.355723,0.1728296,-0.5993875,-3.575561,-0.7305554,0.6985352,1.424136,0.3272905,-0.3433277,0.4483901,0.0342457,-0.7325525,-0.1239703,-0.02121341,0.7988909,1.478657,0.1562626,0.4579277,1.025779,0.2412761,310.6755,243.7717,349.5523,False
1,0.05555556,-0.3249362,-0.8109149,0.4263873,-1.449902,-4.244298,-2.918417,0.6593209,1.223145,0.4127088,-1.059598,0.04079988,86.7,64.6,-0.6185678,0.3590026,0.1649813,-0.6011639,-3.568152,-0.7308742,0.6976158,1.423887,0.3271515,-0.3487134,0.4558794,0.02792391,-0.73261,-0.1156876,-0.02317723,0.7990813,1.478665,0.1567795,0.4598987,1.024399,0.2350652,311.239,242.8895,348.5815,False
1,0.06666667,-0.3284132,-0.737635,0.3834031,-1.451338,-4.237704,-2.915448,0.6575975,1.222859,0.411732,-1.059363,0.02101684,86.7,64.6,-0.5898964,0.3452244,0.1550241,-0.6023852,-3.561939,-0.7302721,0.6967273,1.423828,0.3269603,-0.3540913,0.447378,0.02154953,-0.7326196,-0.1086437,-0.02433037,0.7992836,1.478698,0.1572173,0.4615167,1.023225,0.229761,311.7639,242.1519,347.7399,False
1,0.07777778,-0.336154,-0.6750381,0.3362212,-1.45212,-4.231784,-2.91192,0.6558726,1.22263,0.4109054,-1.058853,0.04652437,86.7,64.6,-0.551689,0.3155204,0.1384741,-0.6034446,-3.557477,-0.7290555,0.6959351,1.423674,0.3268619,-0.3477186,0.4388634,0.01933294,-0.7325983,-0.1017176,-0.02579618,0.7994354,1.478676,0.1576786,0.462352,1.022452,0.2255519,312.1816,241.6117,347.0929,False
1,0.08888889,-0.3524401,-0.6010327,0.2367573,-1.450142,-4.227755,-2.90807,0.654386,1.222768,0.4101715,-1.058982,-0.01214448,100,60.6,-0.510079,0.2761127,0.1420957,-0.6033956,-3.552909,-0.7283687,0.6952823,1.423704,0.3267038,-0.3424386,0.4218429,0.01283365,-0.7327965,-0.09553265,-0.02686118,0.7995616,1.478654,0.1579852,0.462177,1.022204,0.2224906,312.3943,241.2395,346.7706,False
1,0.1,-0.3717855,-0.5683981,0.1716228,-1.448752,-4.222348,-2.903823,0.6526064,1.222927,0.4095876,-1.058551,0.03953731,100,60.6,-0.4691712,0.2258744,0.1797408,-0.601738,-3.547798,-0.7285951,0.6945201,1.423616,0.3265979,-0.3275499,0.3962846,0.01047931,-0.7328758,-0.09009208,-0.02765533,0.7997072,1.478621,0.1583495,0.4610645,1.022542,0.2204402,312.3526,240.9935,346.8371,False
