loc,t,aDotUA,bDotUA,gDotUA,aUA,bUA,gUA,xUA,yUA,zUA,aDotE,bDotE,gDotE,aE,bE,gE,xE,yE,zE,aDotSH,bDotSH,gDotSH,aSH,bSH,gSH,xSH,ySH,zSH,aDotUB,bDotUB,gDotUB,aUB,bUB,gUB,xUB,yUB,zUB,xHand,yHand,zHand,aHand,bHand,gHand
1,0,-0.3983425,-2.992235,-0.6695707,-1.335315,-4.517159,3.093458,0.75734,1.142881,0.3835948,-0.1357498,0.5312307,-3.037256,-1.39574,-4.405757,1.548572,0.6330093,1.028312,0.3732727,-0.2152283,0.1600589,0.1700821,-0.5407602,-4.36135,-0.1714548,0.7513353,1.343829,0.2860825,0.01912374,-0.04697505,0.001923959,-0.941869,0.02754987,-0.04458265,0.8193015,1.404606,0.1328137,0.5019708,0.9823622,0.266564,289.8661,262.0602,345.0054
1,0.01111111,-0.4597597,-2.92729,-0.6262414,-1.331193,-4.48471,3.092946,0.7530341,1.143362,0.3845043,-0.2078739,0.5026367,-2.990423,-1.391542,-4.373716,1.547778,0.6290389,1.028704,0.3706748,-0.2410289,0.1646634,0.1212587,-0.5408965,-4.357837,-0.1710636,0.750766,1.34388,0.2859993,0.006480123,-0.02771651,0.010469,-0.9414647,0.02797091,-0.04447239,0.8192461,1.404582,0.1328406,0.5003416,0.9826868,0.259712,289.7799,258.7778,346.07
1,0.02222222,-0.5537618,-2.779821,-0.5675291,-1.323022,-4.424053,3.09309,0.7446162,1.144103,0.3859608,-0.3193117,0.4633853,-2.8553,-1.383089,-4.313648,1.547288,0.6210839,1.029603,0.3652897,-0.2978507,0.1588306,0.05332126,-0.5425019,-4.351673,-0.1680809,0.749137,1.344171,0.2863474,-0.03562868,0.05989858,0.03492133,-0.9401928,0.03292293,-0.04530729,0.8189629,1.404672,0.1332638,0.4970912,0.9834558,0.2463736,289.58,251.8853,348.8018
1,0.03333334,-0.6272466,-2.649589,-0.5190363,-1.320392,-4.397874,3.096512,0.7397709,1.144083,0.3858266,-0.4088669,0.4273705,-2.743269,-1.379646,-4.287644,1.55002,0.6165183,1.029928,0.3620431,-0.3703347,0.2168149,0.01033575,-0.5446814,-4.343464,-0.1684282,0.7477326,1.344158,0.2864351,-0.0692545,0.1187499,0.06477045,-0.9385006,0.03733499,-0.04589852,0.8187258,1.404734,0.1335981,0.494809,0.9842773,0.2402211,289.2182,248.5269,350.6835
1,0.04444445,-0.6910166,-2.511571,-0.4615033,-1.318259,-4.371943,3.100302,0.7348001,1.144033,0.3853703,-0.4957631,0.3852913,-2.640783,-1.376967,-4.263599,1.553921,0.6115927,1.030303,0.3585494,-0.4533149,0.2799968,-0.004845396,-0.5459406,-4.333456,-0.1690894,0.7463506,1.34409,0.2860973,-0.1008402,0.1732888,0.08609852,-0.9369139,0.04224932,-0.04655712,0.8185602,1.404826,0.1339743,0.4919218,0.9855753,0.2343765,288.6614,245.8949,352.2302
1,0.05555556,-0.7180761,-2.424063,-0.411114,-1.315763,-4.346508,3.104889,0.7301041,1.144097,0.3851416,-0.5706717,0.3665624,-2.558659,-1.37455,-4.238353,1.556102,0.6066127,1.030717,0.355011,-0.5182272,0.3292647,-0.01808358,-0.5473824,-4.323694,-0.1693746,0.7450531,1.344151,0.2860372,-0.1283024,0.2234934,0.09462359,-0.9358204,0.04760933,-0.04736459,0.8183957,1.404907,0.1344137,0.4895239,0.9868075,0.228318,288.1407,243.4628,353.5091
1,0.06666667,-0.7380493,-2.269261,-0.3143623,-1.314649,-4.327684,3.117175,0.725193,1.143903,0.3841891,-0.7564093,0.3415952,-2.367704,-1.373939,-4.218354,1.559999,0.6010619,1.031068,0.3511462,-0.6033636,0.3946213,-0.03752618,-0.5496227,-4.311333,-0.1702966,0.7433505,1.344246,0.2861388,-0.1664332,0.2864792,0.09679264,-0.9349725,0.05435192,-0.04823757,0.8182371,1.404929,0.1348863,0.4853587,0.9889215,0.2234673,287.1232,242.8411,353.9966
1,0.07777778,-0.8038743,-2.083796,-0.2409531,-1.315011,-4.31102,3.131099,0.7201252,1.143544,0.3832679,-0.9328153,0.2945299,-2.182262,-1.372498,-4.200847,1.566692,0.5954202,1.031576,0.3472195,-0.6502168,0.4300068,-0.05412948,-0.551848,-4.300326,-0.1707622,0.7419121,1.344186,0.2860816,-0.1929008,0.3302575,0.1000146,-0.9340297,0.06083632,-0.04900083,0.8180507,1.405048,0.1353912,0.4819058,0.9905391,0.2179235,286.3734,241.2007,355.0754
1,0.08888889,-0.8506488,-1.95772,-0.1786932,-1.314976,-4.29555,-3.138483,0.714841,1.143189,0.3823524,-1.070345,0.2604694,-1.996874,-1.371394,-4.183008,1.573439,0.589806,1.032106,0.3435457,-0.706552,0.5027008,-0.06941482,-0.5546342,-4.285198,-0.1736647,0.7400184,1.344085,0.2862306,-0.2436904,0.402923,0.11184,-0.9327354,0.06991757,-0.04988021,0.8178483,1.405083,0.1360476,0.4773084,0.9929566,0.2133128,285.4075,240.4031,356.0508
1,0.1,-0.9776922,-1.670603,-0.09913152,-1.314527,-4.280241,-3.125223,0.7097528,1.142718,0.3813732,-1.154537,0.2263801,-1.872222,-1.371344,-4.173707,1.586451,0.5834515,1.033127,0.3394902,-0.7690472,0.5922827,-0.05154898,-0.5563988,-4.26652,-0.1787591,0.7379745,1.344049,0.2859805,-0.281671,0.4649224,0.1310594,-0.9309447,0.07901306,-0.05077343,0.817536,1.405176,0.1367528,0.4726104,0.9956194,0.2088847,284.5874,240.0854,356.4734
1,0.1111111,-1.047337,-1.520583,-0.05574524,-1.315197,-4.270004,-3.108751,0.7043643,1.142144,0.3799312,-1.265685,0.1933188,-1.675257,-1.370028,-4.160606,1.596997,0.577484,1.034047,0.3357832,-0.7913013,0.6114556,-0.03960958,-0.5577341,-4.252928,-0.1808217,0.7362032,1.343922,0.2858407,-0.3102002,0.5044869,0.1428477,-0.929285,0.08789563,-0.05159502,0.8172911,1.405306,0.1373379,0.4677359,0.9983248,0.2043627,283.8736,240.0156,356.5247
1,0.1222222,-1.125738,-1.282708,0.003059357,-1.31567,-4.264009,-3.091101,0.6989944,1.141567,0.3783679,-1.362951,0.1659195,-1.426359,-1.370046,-4.15432,1.611072,0.5710728,1.035402,0.3321581,-0.836991,0.6296238,-0.02861009,-0.5588591,-4.238994,-0.1818303,0.7343291,1.343694,0.2854731,-0.3461569,0.5674871,0.1503259,-0.9277622,0.09849501,-0.05281155,0.8170097,1.40537,0.1381402,0.4617112,1.001943,0.2005181,283.1541,242.7095,354.1936
1,0.1333333,-1.196664,-1.049822,0.02544716,-1.31592,-4.257606,-3.07439,0.693731,1.141217,0.3769164,-1.415139,0.14657,-1.258228,-1.368921,-4.149302,1.625389,0.5646526,1.037009,0.3284006,-0.8827148,0.6093613,-0.0007950217,-0.5589901,-4.227489,-0.1801703,0.7323844,1.343586,0.2852488,-0.3621007,0.58776,0.147177,-0.9266421,0.1075455,-0.0537125,0.8168062,1.405403,0.1388419,0.456263,1.005179,0.1962563,282.3643,244.0414,352.8712
1,0.1444445,-1.196664,-1.049822,0.02544716,-1.31592,-4.257606,-3.07439,0.693731,1.141217,0.3769164,-1.415139,0.14657,-1.258228,-1.368921,-4.149302,1.625389,0.5646526,1.037009,0.3284006,-0.8827148,0.6093613,-0.0007950217,-0.5589901,-4.227489,-0.1801703,0.7323844,1.343586,0.2852488,-0.3621007,0.58776,0.147177,-0.9266421,0.1075455,-0.0537125,0.8168062,1.405403,0.1388419,0.456263,1.005179,0.1962563,282.3643,244.0414,352.8712
1,0.1555556,-1.235821,-0.7357254,0.1153888,-1.321526,-4.256128,-3.036444,0.6826478,1.141153,0.3731658,-1.550612,0.05651975,-0.8043733,-1.369878,-4.140445,1.65211,0.5516255,1.040489,0.3212593,-0.9304383,0.6114029,0.0388824,-0.5593272,-4.201784,-0.1801003,0.7282605,1.343445,0.2848079,-0.4249248,0.6539032,0.1271843,-0.9254261,0.1282713,-0.05513223,0.8164467,1.405552,0.1403599,0.4435634,1.013384,0.1889931,280.6848,246.7832,350.9958
