loc,t,aDotUA,bDotUA,gDotUA,aUA,bUA,gUA,xUA,yUA,zUA,aDotE,bDotE,gDotE,aE,bE,gE,xE,yE,zE,aDotSH,bDotSH,gDotSH,aSH,bSH,gSH,xSH,ySH,zSH,aDotUB,bDotUB,gDotUB,aUB,bUB,gUB,xUB,yUB,zUB,xHand,yHand,zHand,aHand,bHand,gHand
1,0,-0.346522,-2.569066,-0.60115,-1.392874,-4.572019,3.091918,0.7514727,1.141903,0.3916473,-0.01864976,0.3627117,-2.52566,-1.446906,-4.457267,1.581085,0.6274455,1.030086,0.3826966,-0.1012848,0.1192679,-0.02771789,-0.5372757,-4.355276,-0.1413403,0.7392882,1.34797,0.3039513,0.06751256,-0.09571566,0.0667901,-0.9613372,0.06762898,-0.03597052,0.8150553,1.406781,0.1531401,0.4931386,0.9868518,0.2622769,289.4825,271.5342,327.4672
1,0.01111111,-0.346522,-2.569066,-0.60115,-1.392874,-4.572019,3.091918,0.7514727,1.141903,0.3916473,-0.01864976,0.3627117,-2.52566,-1.446906,-4.457267,1.581085,0.6274455,1.030086,0.3826966,-0.1012848,0.1192679,-0.02771789,-0.5372757,-4.355276,-0.1413403,0.7392882,1.34797,0.3039513,0.06751256,-0.09571566,0.0667901,-0.9613372,0.06762898,-0.03597052,0.8150553,1.406781,0.1531401,0.4931386,0.9868518,0.2622769,289.4825,271.5342,327.4672
1,0.02222222,-0.4190567,-2.619032,-0.6028709,-1.382153,-4.507472,3.09191,0.7436736,1.142477,0.3929162,-0.1449552,0.3953109,-2.672702,-1.43629,-4.395452,1.580117,0.6202877,1.030949,0.3773646,-0.2569112,0.2245712,-0.1018956,-0.5426899,-4.341374,-0.1431449,0.7373632,1.347948,0.3037078,0.01497273,0.03778674,0.09744102,-0.9585286,0.07315211,-0.03798334,0.8144436,1.406841,0.1531718,0.4907585,0.988126,0.2478235,288.2483,262.0582,332.6
1,0.03333334,-0.4645068,-2.593426,-0.5769999,-1.377801,-4.478845,3.093122,0.7398723,1.142825,0.393338,-0.2076543,0.387234,-2.65388,-1.431998,-4.366767,1.581079,0.6163655,1.03137,0.3746998,-0.3229307,0.2771083,-0.1257153,-0.545474,-4.332381,-0.1448909,0.7363217,1.347771,0.3033631,0.006530695,0.05912645,0.09846956,-0.9574549,0.07494122,-0.03877988,0.814183,1.406887,0.1531491,0.4891688,0.9888722,0.2411017,287.7235,257.8523,334.8304
1,0.04444445,-0.5335371,-2.517779,-0.5214418,-1.374991,-4.453238,3.097831,0.7355078,1.142863,0.3933218,-0.3217082,0.3584523,-2.579303,-1.428737,-4.341061,1.584316,0.6119471,1.031811,0.3716083,-0.3983363,0.361508,-0.1290533,-0.547752,-4.319388,-0.1488537,0.7351192,1.347595,0.3031125,-0.02410306,0.1242457,0.1037264,-0.9563289,0.07963025,-0.04002225,0.8138981,1.406933,0.153322,0.4869945,0.9900976,0.2349276,287.0303,254.4485,336.7801
1,0.05555556,-0.6343896,-2.419261,-0.4725362,-1.371873,-4.427011,3.102175,0.7310423,1.142814,0.3933642,-0.4015903,0.3330026,-2.535038,-1.425575,-4.316944,1.590095,0.6069421,1.032424,0.3683915,-0.4958761,0.4190131,-0.07491535,-0.5476269,-4.306061,-0.1511565,0.7337055,1.347494,0.3028116,-0.0704252,0.1789455,0.1432823,-0.9534181,0.08476029,-0.04043025,0.8135822,1.407028,0.1535797,0.484558,0.9913118,0.2287608,286.4415,251.3047,338.6105
1,0.06666667,-0.7477112,-2.331763,-0.4296262,-1.36962,-4.402781,3.111564,0.7254852,1.142445,0.3928735,-0.5686966,0.3066294,-2.458436,-1.421777,-4.292992,1.597415,0.6017154,1.033165,0.3649149,-0.5446166,0.4327688,-0.03621107,-0.5474176,-4.296533,-0.1519025,0.732628,1.347414,0.3025317,-0.09446526,0.2505324,0.1676162,-0.9510164,0.09131154,-0.04236583,0.8133932,1.407282,0.1539388,0.4815593,0.9933795,0.2236633,285.7813,249.745,339.5299
1,0.07777778,-0.8703077,-2.242827,-0.4011596,-1.366161,-4.377736,3.120993,0.7200761,1.142171,0.3923678,-0.7045316,0.3047764,-2.418977,-1.417578,-4.269888,1.60623,0.5959861,1.033996,0.3613672,-0.5806555,0.432683,-0.002989184,-0.546903,-4.287004,-0.1522311,0.731424,1.347328,0.302213,-0.122995,0.3060516,0.1729089,-0.9491122,0.09811938,-0.04394988,0.8131642,1.407407,0.1542509,0.4777386,0.9955692,0.2184768,285.1529,249.3671,339.7625
1,0.08888889,-0.9252254,-2.186751,-0.3823254,-1.362221,-4.351347,3.127278,0.7151718,1.142142,0.3921144,-0.7545836,0.3001888,-2.408096,-1.413586,-4.246624,1.613282,0.5903026,1.034876,0.3577688,-0.596595,0.4294834,0.007721549,-0.5474581,-4.277789,-0.1529584,0.7302355,1.347412,0.3021398,-0.1485751,0.3380247,0.1601891,-0.9480981,0.1039191,-0.04486201,0.8130335,1.407427,0.1544263,0.4741006,0.9979286,0.2134047,284.4326,249.7386,339.5822
1,0.1,-0.95178,-2.083989,-0.2983683,-1.359161,-4.333536,-3.135564,0.7096523,1.142082,0.3911188,-1.022496,0.3290808,-2.256101,-1.411392,-4.226469,1.619951,0.5839405,1.035966,0.3537655,-0.6274511,0.412435,0.0237693,-0.5471923,-4.270133,-0.1514846,0.7289006,1.347412,0.30182,-0.1592897,0.3465302,0.1506553,-0.9469583,0.1091206,-0.0457302,0.8128344,1.407524,0.1546733,0.4699735,1.00022,0.2084485,283.6474,250.3828,339.0277
1,0.1111111,-1.022505,-1.955594,-0.2745009,-1.356736,-4.314706,-3.118271,0.7036808,1.141986,0.390219,-1.216521,0.3200908,-2.132913,-1.407097,-4.208587,1.62985,0.5772763,1.037254,0.3498683,-0.6487344,0.4060569,0.03131175,-0.5471219,-4.261891,-0.1505512,0.7275555,1.347232,0.3014119,-0.1754821,0.3634709,0.1219536,-0.9468156,0.1147328,-0.04656484,0.8126,1.407606,0.1550262,0.4649965,1.003154,0.2041819,282.5974,252.468,337.5023
1,0.1222222,-1.083416,-1.809966,-0.2360468,-1.353378,-4.298464,-3.099749,0.697926,1.142021,0.3891411,-1.361421,0.3347237,-1.996042,-1.403442,-4.192491,1.640162,0.5705299,1.038567,0.3460994,-0.6784489,0.4092395,0.04960198,-0.5466138,-4.252538,-0.1499261,0.7260464,1.3473,0.3010588,-0.2061686,0.407283,0.128399,-0.9453572,0.1223621,-0.04764954,0.8123683,1.407759,0.1554205,0.4596633,1.006325,0.2000051,281.6416,254.0164,336.7321
1,0.1333333,-1.162725,-1.643435,-0.2174402,-1.350724,-4.285002,-3.081595,0.6918465,1.141839,0.3879449,-1.472027,0.3261447,-1.827576,-1.399161,-4.179307,1.652607,0.5635661,1.040322,0.3424199,-0.7144667,0.4198407,0.07968157,-0.5455608,-4.242056,-0.1498185,0.7243741,1.347425,0.3007958,-0.2336321,0.4500458,0.1380146,-0.9437018,0.1306101,-0.048971,0.8119931,1.40783,0.1558249,0.4538584,1.009944,0.1962942,280.8029,256.1057,335.5365
1,0.1444445,-1.204137,-1.515951,-0.1904473,-1.34861,-4.273277,-3.064426,0.6861013,1.141813,0.3868301,-1.530589,0.3125827,-1.668987,-1.395383,-4.166264,1.663805,0.5568817,1.041984,0.3387911,-0.736805,0.4273636,0.08091589,-0.5454564,-4.232253,-0.1493868,0.7228323,1.347514,0.3004494,-0.2463001,0.4756716,0.1411926,-0.9423169,0.138283,-0.0503452,0.8117206,1.407929,0.1562312,0.4483276,1.01347,0.1923216,280.0248,258.4154,333.676
1,0.1555556,-1.243895,-1.319101,-0.1586167,-1.346468,-4.269067,-3.044782,0.6800165,1.141945,0.3851004,-1.600273,0.3184232,-1.388686,-1.392042,-4.15836,1.676954,0.5497751,1.044113,0.3353078,-0.7953905,0.4232595,0.08440807,-0.5450559,-4.223377,-0.1460749,0.7210327,1.347584,0.3000317,-0.2750798,0.5129719,0.1263463,-0.9417923,0.1469118,-0.05139288,0.8114399,1.40811,0.1567247,0.4412112,1.017895,0.1891495,279.1938,263.5637,329.3518
1,0.1666667,-1.285771,-1.153632,-0.1745878,-1.343082,-4.260725,-3.026398,0.6741086,1.142128,0.3835866,-1.641188,0.3324493,-1.248,-1.387058,-4.150576,1.689931,0.5425496,1.046499,0.3316872,-0.8241423,0.4211965,0.08880538,-0.544691,-4.21419,-0.1438347,0.7191857,1.347535,0.2997754,-0.2889094,0.5289748,0.1221293,-0.9408916,0.1547711,-0.05249037,0.8110482,1.408174,0.1572552,0.4349303,1.022024,0.1863383,278.3154,267.1177,326.4765
1,0.1777778,-1.316493,-1.032881,-0.2169674,-1.338632,-4.254304,-3.00574,0.6680098,1.142594,0.3818541,-1.707308,0.3770661,-1.131282,-1.380546,-4.142571,1.702845,0.5350292,1.049031,0.3281605,-0.8709283,0.4169698,0.1071471,-0.5434468,-4.205191,-0.140196,0.7173198,1.347618,0.2993274,-0.3026662,0.5599083,0.1210249,-0.9400058,0.1638764,-0.05402515,0.8107347,1.408277,0.1577251,0.4280947,1.026667,0.1833123,277.2853,270.2696,324.5859
1,0.1888889,-1.329425,-0.9881096,-0.2749672,-1.330898,-4.244372,-2.985137,0.6621695,1.142994,0.3801699,-1.765345,0.4670119,-1.112896,-1.372463,-4.133171,1.714962,0.5276159,1.05165,0.324492,-0.9144191,0.4265125,0.1351465,-0.541631,-4.195078,-0.1374447,0.7154217,1.347584,0.2986774,-0.3144185,0.5769391,0.11146,-0.9394034,0.172475,-0.05525234,0.8103721,1.408535,0.1582694,0.4210293,1.031952,0.1810793,276.2925,275.177,320.9781
1,0.2,-1.343547,-0.9078312,-0.3470879,-1.324336,-4.240729,-2.960835,0.6561317,1.143568,0.3783236,-1.861689,0.5410284,-0.9746112,-1.362941,-4.126161,1.727597,0.5198714,1.054484,0.3210652,-0.9398232,0.4338961,0.1608967,-0.5396065,-4.184582,-0.1351371,0.7135553,1.347714,0.2981629,-0.3454213,0.6067464,0.08921801,-0.9396111,0.1821211,-0.05601906,0.8101057,1.40856,0.1587873,0.4143966,1.036574,0.1779702,275.3899,283.6982,313.6688
