loc,t,aDotUA,bDotUA,gDotUA,aUA,bUA,gUA,xUA,yUA,zUA,qE,qDotE,emgA,emgB,aDotSH,bDotSH,gDotSH,aSH,bSH,gSH,xSH,ySH,zSH,aDotUB,bDotUB,gDotUB,aUB,bUB,gUB,xUB,yUB,zUB,xHand,yHand,zHand,aHand,bHand,gHand,enable
1,0,0.02611966,-0.5342682,-0.01982603,-1.451683,-4.152261,3.065388,0.6369953,1.178969,0.5141549,-1.691221,-0.004249203,34.52,9.21,-0.2246401,0.3605303,-0.01336883,-0.7778406,-4.151353,-0.05044853,0.6504757,1.446424,0.4243953,-0.2208932,0.2023843,0.06211885,-0.7795754,0.3196291,-0.009851832,0.7792422,1.532738,0.2364607,0.4318452,1.080289,0.2921809,292.1364,235.7148,349.6643,False
1,0.01111111,0.03143906,-0.5140002,-0.01245894,-1.452305,-4.147037,3.064189,0.6357028,1.178805,0.5135679,-1.691249,-0.002578062,34.38,9.21,-0.2224588,0.3679636,-0.01014863,-0.7781384,-4.145212,-0.05251887,0.6494185,1.446398,0.4238813,-0.2240592,0.2023884,0.0653442,-0.7787685,0.3228027,-0.009537845,0.7788389,1.532751,0.236429,0.4317808,1.080119,0.2906251,292.2097,234.9409,350.0976,False
1,0.02222222,0.03462829,-0.4979682,0.0002612937,-1.453275,-4.141828,3.063112,0.634577,1.178692,0.5131345,-1.691245,0.0004224273,34.24,9.21,-0.2213132,0.3753756,-0.002651557,-0.7781112,-4.138844,-0.05462383,0.6483566,1.44643,0.4233098,-0.2261704,0.1991995,0.06750467,-0.7778901,0.3258415,-0.009155948,0.7786598,1.532775,0.2363381,0.4318868,1.079845,0.2887847,292.2955,234.453,350.1516,False
1,0.03333334,0.03780346,-0.4713082,0.004386399,-1.453778,-4.137524,3.062074,0.6334754,1.178639,0.5125299,-1.691394,-0.0137098,34.07,9.17,-0.2202678,0.3711275,-0.003751535,-0.7783765,-4.13312,-0.05624277,0.6474218,1.446458,0.422792,-0.2251256,0.1970665,0.06536627,-0.7772697,0.3288261,-0.008833705,0.7783736,1.532814,0.2362576,0.4321024,1.079497,0.286768,292.3838,234.1269,349.9793,False
1,0.04444445,0.03245702,-0.4489623,0.003204833,-1.454099,-4.133051,3.061458,0.6324371,1.178648,0.5119398,-1.691256,0.01271773,33.91,9.13,-0.2223963,0.3721965,-0.003724799,-0.7786497,-4.127284,-0.05789339,0.6464173,1.446453,0.4222755,-0.2209179,0.1895997,0.06000777,-0.7768303,0.3313432,-0.008377505,0.7780826,1.532908,0.2362235,0.4324202,1.079069,0.2847128,292.4428,233.8249,349.7618,False
1,0.05555556,0.02710598,-0.4127156,0.008341985,-1.454641,-4.129735,3.060898,0.6314571,1.178616,0.5113649,-1.691272,-0.001602349,33.68,9.13,-0.2214158,0.371198,-0.01332898,-0.77939,-4.121459,-0.05968037,0.6454535,1.446382,0.4217615,-0.2208785,0.1906718,0.06427601,-0.7759088,0.3345383,-0.00818922,0.777885,1.533035,0.2361529,0.4328535,1.078592,0.2827603,292.5309,233.5587,349.523,False
1,0.06666667,0.02176327,-0.3754442,0.009223765,-1.45513,-4.126434,3.060384,0.6304406,1.178568,0.5107989,-1.690817,0.04153946,33.46,9.13,-0.2150033,0.3690446,-0.01127913,-0.779797,-4.115609,-0.06166816,0.6444867,1.446316,0.4212689,-0.2166102,0.1874755,0.06424467,-0.7751572,0.3374209,-0.008047806,0.7775977,1.533065,0.2361021,0.4332471,1.078093,0.2809403,292.658,233.2611,349.3706,False
1,0.07777778,0.01961066,-0.3413381,0.01223862,-1.455543,-4.123679,3.059838,0.6295255,1.178524,0.510133,-1.690854,-0.003662971,33.34,9.2,-0.2064975,0.3615694,-0.01140354,-0.7801192,-4.110192,-0.063461,0.6436135,1.446319,0.4207287,-0.205972,0.1821468,0.06308879,-0.7744728,0.3401766,-0.008007593,0.7773423,1.53312,0.2359903,0.433528,1.077632,0.2792926,292.8142,232.9593,349.2813,False
1,0.08888889,0.01427442,-0.316811,0.01850768,-1.456275,-4.120831,3.059422,0.6285486,1.178501,0.5095725,-1.690839,0.001432199,33.23,9.26,-0.1969511,0.3327825,-0.01061975,-0.780409,-4.106288,-0.0643433,0.6428858,1.446302,0.4202914,-0.2060194,0.1714947,0.05884137,-0.7738928,0.3425412,-0.007293333,0.777048,1.533124,0.2359147,0.4336037,1.077258,0.2778515,292.9435,232.7455,349.1717,False
1,0.1,0.006787762,-0.2763207,0.02043074,-1.456728,-4.119172,3.059443,0.6277665,1.178421,0.5089984,-1.690949,-0.01004669,33.17,9.24,-0.1873738,0.3061089,-0.006621731,-0.7805305,-4.102581,-0.06518007,0.6421436,1.446346,0.4198899,-0.2007289,0.1693614,0.05559709,-0.7733788,0.3452578,-0.007026218,0.776822,1.533091,0.2358365,0.4334455,1.076994,0.2766169,293.0222,232.6303,349.0765,False
