loc,t,aDotUA,bDotUA,gDotUA,aUA,bUA,gUA,xUA,yUA,zUA,qE,qDotE,aDotSH,bDotSH,gDotSH,aSH,bSH,gSH,xSH,ySH,zSH,aDotUB,bDotUB,gDotUB,aUB,bUB,gUB,xUB,yUB,zUB,xHand,yHand,zHand,aHand,bHand,gHand,enable
1,0,-0.1404838,-0.7487578,0.3902088,-1.336051,-4.115219,2.967609,0.6345141,1.121253,0.4704449,-1.677659,0.07988016,-0.2637104,0.3135791,-0.1601077,-0.8957915,-3.84429,-0.5107461,0.6357754,1.317567,0.3681183,-0.02714628,0.2092249,0.1282242,-0.9388096,0.4476103,-0.1598118,0.7689213,1.412304,0.2352955,0.4729735,0.9950723,0.292698,298.8984,223.7261,3.566527,False
1,0.01111111,-0.1809603,-0.7702975,0.3702074,-1.341007,-4.106469,2.968915,0.6329801,1.120273,0.468987,-1.677965,-0.02840659,-0.2825313,0.3367927,-0.1235402,-0.8980749,-3.83936,-0.5099349,0.6348103,1.317144,0.367672,-0.03892732,0.215654,0.121972,-0.9380947,0.4510295,-0.1609583,0.7684773,1.412281,0.2354476,0.4725255,0.9944341,0.28988,299.1624,222.6623,4.222191,False
1,0.02222222,-0.228892,-0.7918655,0.3491597,-1.345895,-4.097667,2.970827,0.6314093,1.119356,0.4675634,-1.677046,0.08454754,-0.3026051,0.3912072,-0.1250799,-0.9024025,-3.833503,-0.5096273,0.6338347,1.316784,0.3671234,-0.0560022,0.2370076,0.1125406,-0.9377012,0.4552103,-0.1622608,0.7680805,1.41232,0.2355149,0.4727456,0.9934706,0.2863248,299.251,222.4751,3.780574,False
1,0.03333334,-0.2694119,-0.7867143,0.3374962,-1.350619,-4.089597,2.973372,0.6297839,1.118476,0.4661124,-1.677199,-0.01444206,-0.3129555,0.4433132,-0.1086043,-0.9062439,-3.82665,-0.510076,0.632911,1.316552,0.3665886,-0.0634052,0.2508893,0.1115265,-0.9370396,0.4594212,-0.1638116,0.7676411,1.412311,0.2355542,0.4735186,0.9923438,0.2821594,299.3839,222.3895,2.959514,False
1,0.04444445,-0.3024946,-0.761206,0.3395273,-1.355712,-4.082651,2.976169,0.6280289,1.117705,0.4646266,-1.677092,0.01027812,-0.3126854,0.4622864,-0.08288421,-0.9090769,-3.820529,-0.5104678,0.632075,1.316549,0.3660488,-0.07101484,0.2519462,0.1009821,-0.9366013,0.4629292,-0.1648015,0.7673377,1.41225,0.2354984,0.4747157,0.9912518,0.2776267,299.526,222.1619,2.071023,False
1,0.05555556,-0.3292044,-0.720736,0.3467633,-1.360831,-4.076499,2.979395,0.6263422,1.116847,0.4631093,-1.677088,0.000572603,-0.3057937,0.4649962,-0.02326021,-0.9102008,-3.813719,-0.5115698,0.6312671,1.316595,0.3655751,-0.07793957,0.2273665,0.07133736,-0.9370668,0.4650207,-0.1649029,0.7670797,1.412234,0.2354228,0.4760908,0.9903639,0.2729554,299.6393,221.8348,1.174703,False
1,0.06666667,-0.3484452,-0.6898429,0.3529888,-1.366038,-4.070331,2.982574,0.6245767,1.115954,0.4615726,-1.67755,-0.04189422,-0.2969958,0.429429,0.02540255,-0.9102365,-3.808561,-0.5116537,0.6305576,1.316593,0.3652301,-0.07501599,0.2081217,0.05858578,-0.9370369,0.466989,-0.1653687,0.7668463,1.412167,0.2353921,0.4773011,0.9898104,0.2683266,299.6922,221.4973,0.2907022,False
1,0.07777778,-0.3698065,-0.6578749,0.3613373,-1.371273,-4.064759,2.986366,0.6228269,1.115105,0.4600322,-1.67777,-0.01947294,-0.2780589,0.3045637,0.04556965,-0.908612,-3.808861,-0.5090784,0.6301603,1.316498,0.364742,-0.07145227,0.1621682,0.02461251,-0.9379686,0.4670088,-0.1647013,0.7666503,1.41211,0.235311,0.4780638,0.9896873,0.2639196,299.6252,221.255,359.4538,False
1,0.08888889,-0.4081827,-0.6398395,0.3645007,-1.376417,-4.05872,2.990912,0.6208712,1.114272,0.4585614,-1.678218,-0.04059512,-0.2786256,0.1961177,0.0191471,-0.9086897,-3.811156,-0.5045004,0.6295255,1.316317,0.3642874,-0.07519636,0.142885,-0.008299531,-0.9394162,0.4678978,-0.1642835,0.7663704,1.412015,0.235342,0.4782741,0.9900053,0.2598885,299.3816,221.1191,358.7723,False
1,0.1,-0.4539759,-0.6677976,0.3424256,-1.380545,-4.050808,2.996001,0.6189526,1.113597,0.4570427,-1.678129,0.008747877,-0.2830555,0.07229024,-0.08300529,-0.9109236,-3.817844,-0.4970915,0.6289903,1.316106,0.364059,-0.0882102,0.1684224,-0.03378536,-0.9411915,0.4709689,-0.1646228,0.7662328,1.411938,0.2353759,0.4779576,0.9906948,0.2562978,298.9884,221.0945,358.2498,False
